id,trans
filename,scene_evt190131_cp4_q2_s10
info,scene_evt190131_cp4_q2_s10
61,在我调查时向我介绍这座岛的老师。
60,咦？<br>是谁呢？
59,不，在那之前我要去见一位老师。
58,总之，咱们去玛奥·梅拉之丘看看吧？
57,啊哈哈……
56,嗯……
55,<span class='scene-font-katari'>碧和旦特几乎同时发言，露莉亚眨了眨眼睛。</span>
54,咦？
53,有千在，应该不会出什么事。
52,有利贝拉老师他们在，应该不会有事。
51,总之先去找千他们吧。
50,咱还是不明白，为什么猫会变成危险的动物呢……
44,嗯……<br>以前不是这样的……
43,为什么会变成这样？
42,那边已经变成垃圾场了，没什么好去的。
41,嗯。叫做<span class='scene-font-spword'>“玛奥·梅拉之丘”</span>。是那些凶暴的猫的根据地。
40,山丘？<br>那地方很危险吗？
39,希望她没有走到<span class='scene-font-spword'>“山丘”</span>那边去……
38,……哎，糟糕。<br>忘记告诉那个女孩子了。
37,啊、好的……
36,你们也要当心。
35,它们会攻击人类，卫生方面也有很大问题……
34,我不知道其他岛上的猫是怎样的，但是密切诺斯岛的猫非常凶暴和危险。
33,为、为什么呢？
32,我也不喜欢……<br>其他人应该也一样。
31,在这里，人们不太喜欢猫。
30,<span class='scene-font-katari'>女性一听到猫这个字眼就皱起了眉。</span>
29,岛上的猫啊……
28,啊，那能和我们说说这座岛上的猫吗？
27,那肯定是千他们了！
26,真的吗！？
25,她说她是骑空士，今早才到这座岛。
24,嗯，上午的时候我们遇到过一个和猫在一起的女孩子。
18,嗯，拜托了。
17,虽然我们不能想旦特先生一样和猫沟通，但是向别人打听情报的事就交给我们吧！
16,那咱们也能帮上忙！
15,……所以，我们现在去街上向「人类」打听情报。
14,可能有<span class='scene-font-spword'>“人类”</span>插手。
13,你的意思是？
12,……这个，似乎并不只是老师们内部的问题。
11,可是，被带走是被带去哪里呢？
10,猫和猫之间在抢地盘吗？
9,如果抵抗，就会被带走。
8,唔。其中一位老师以压倒性的力量控制了岛的大部分地方……
7,这座岛上的猫咪们出了什么事吗？
6,<span class='scene-font-spword'>“老师”</span>……<br>是在说猫吧？
5,我的老师们就在这座岛上，而我听说他们遇到了一些麻烦。
4,旦特先生去调查什么了？
3,这和我今天下船去调查的事情有关。
2,<span class='scene-font-katari'>离开骑空艇后，姬塔他们想听旦特进一步说明。</span>
1,那么……<br>大叔你说你有头绪？
0-synopsis,姬塔和旦特一行出发前往岛上调查。旦特告诉姬塔他们，密切诺斯岛上的猫之间存在冲突，有时会把人类也卷进去。众人通过调查得知岛民认为猫是凶暴危险的生物，而那些凶暴的猫都聚在一个名叫玛奥·梅拉的山丘上。
0-chapter_name,第4话 千，大显身手
