id,trans
filename,主线剧情第87章第3节第1幕
info,scene_cp87_q3_s10
41,作为雷姆王国的客将，我们就打开天窗说亮话吧。
40,伊迪尔瓦王国将军凯恩——我现在的工作，就是要抓捕你和千里眼的贤者。
39,<span class='scene-font-katari'>拉卡姆没有回应卡塔莉娜，而是坚毅地转身朝向凯恩。</span>
38,拉卡姆？
37,不愧是你们，果然还是隐瞒不住啊。
36,…………
35,拉卡姆先生，你到底是为了何事来这座岛的呢？
34,也就是说，你最初来到这座岛，就是阿碧发现骑空艇——也就是昨晚的时候。
33,昨天伊欧酱也没有提到拉卡姆先生的事。
32,抵达此地的经由，我确实也很在意。
31,嗯，那就听听看你对这样登场的家伙怎么看的好了。
30,我只是想听听看罢了，问心无愧的话就大大方方说出缘由如何。
29-sel2_txt,<span class='scene-font-katari'>你在怀疑他吗？</span>
29-sel1_txt,<span class='scene-font-katari'>打住吧</span>
29,有什么不能使用港口的理由吗？
28,…………
27,战舰停泊的那个港口，我记得可没停其他的骑空艇。
26,你是乘骑空艇来这座岛的吧，为什么要特意停在港口之外的地方呢？
25,是的。
24,你说你就是拉卡姆。
23,…………
22,这样啊，果然你们伊迪尔瓦王国的…
21,<span class='scene-font-katari'>蕾欧娜向拉卡姆介绍了自己以及其他几位是来自伊迪尔瓦王国的军人。</span>
19,啊，就是你们失散的伙伴之一呢。
18,啊，方才忘记介绍了，这位是我们骑空团的操舵士，他叫拉卡姆。
17,那个，不好意思，请问这位是？
16,？
15,这样啊，被你们看到了啊。
14,<span class='scene-font-katari'>碧的这句话让拉卡姆心情复杂的皱起眉头。</span>
13,啊！难道说，昨天那个格兰赛法并不是我们看错了啊！？
12,啊啊，不，那个啊…我是之后才来这里的。
11,总之汇合了就很好，你是和伊欧酱一起呆在这座岛上的吗？
10,嗯？啊啊…刚才和魔物战斗了不是嘛？想着不能放松注意了。
9,嗯？你怎么啦？从刚才开始就慌慌张张的样子呦。
8,…………
7,嘛，发生了很多事啊…
6,嗯？为什么，那个啊…嘛，该说是顺其自然吧…
5-sel2_txt,<span class='scene-font-katari'>怎么到这座岛上的？</span>
5-sel1_txt,<span class='scene-font-katari'>为什么在这座岛上？</span>
5,不，该怎么说呢…该说是这个状况很难向你们搭话吗…
4,真是的，为什么要躲起来啊，一开始就出来不就好了。
3,啊，那啥…你们看上去还是那么精神啊。
2,这不是拉卡姆嘛！在搞什么呢！？
1,拉、拉卡姆？骗人的吧。
0,呦。
0-synopsis,姬塔一众询问拉卡姆为何要躲在那里，拉卡姆解释刚才的情况不太好搭话，而且在回答问题时表现出十分不自然的疏远感。凯恩询问拉卡姆是出于何目的时，拉卡姆下定决心，挑明了自己作为雷姆王国的客将，来到这座<span class='scene-font-place'>克尔加岛</span>就是为了抓捕凯恩和泽恩。
0-chapter_name,第87章 未预之再会
