id,trans
filename,主线剧情第150章第4节第一幕
translator,雨降星
info,scene_cp150_q4_s10
81,在一片昏暗中，她那不知是啜泣还是喜悦的\n声音久久地回荡着。
80,终于……！\n哈哈哈……哈哈……！
79,伸过来了……终于……
78,她死死地盯着一根不知从哪里伸过来的线，\n好像要把它给吃了似的。
77,呜……哈哈……！
76,她睁大的眼睛，\n就像她的绰号红玉糖一样鲜红——
75,这，是……！
73,啊……
69,就在那里──
68,但是当她的视线再次落在石柜上时，\n她又一次屏住了呼吸。
67,…………！！
66,女人似乎平静了下来，\n从石柜上抬起头。
65,…………
64,男人转身离开了头也不抬地趴在石柜上\n哭个不停的女人。
61,拜托了……呜呜……
60,当然。\n我会通知所有人现在不要采取行动。
59,现在，呜呜……\n我们还不能自削战力啊……\n呜……
58,但是还不行。\n现在还不能……\n从这里出去。
57,对不起……\n为了我，连你们都要……
56,如果有必要，我们也会采取行动。\n哪怕是拼上性命。
55,是的……\n不能再被夺走了……\n因为我的过错……呜呜……
54,救死刑犯拉克雷斯，是吗。
53,呜呜……\n不，现在我们就留在这里吧……\n我们得救他……
52,我们是否要转移据点呢？\n虽然我想他应该不会找到这个地方……
51,呜、呜呜……
50,真王的心腹白骑士似乎正在这座岛上\n到处嗅探。
49,就连现在这位称呼她为伊洛缇斯的、\n系着蓝色围巾的男子，也并不知晓。
48,……伊洛缇斯大人。
46,她究竟是在向什么道歉呢──
45,对不起……对不起……
44,然后，女人趴在一口石柜上，\n用沙哑的声音吐露着道歉的话语。
42,都是……我的错……
41,好像是再也不忍看下去了，\n她从少年的幻影身上移开视线。
40,呜呜……对不起……
39,……就算我将被处以极刑，\n我也绝不会放弃希望。
38,一个兜帽盖过眼睛的女人眼前摇曳着模糊的\n幻影。
37,我……我该怎么办……
36,是的。\n我想在毕业后对维持治安有所贡献，\n所以希望入伍——
35,──这样啊。\n所以你是在锻炼身体。
33,昏暗的石室中，\n响起了女人的啜泣声。
32,呜……呜呜……
27,拉克雷斯擦了擦汗，\n从水瓶里舀出一杯水，\n一饮而尽。
26,引体向上。\n可不能让身体变迟钝了。
25,是的，我以为自己也是。\n你在做什么？
24,居然……\n我还以为这里只关着我一个……
23,是这里的囚徒，和你一样。
22,你呢？
21,……嗯。我还好。\n只是一时没喘过气来。
20,你还好吗？\n你听起来好像很痛苦。
19,他把手从吊着的铁栅栏上拿开，\n侧耳倾听。
11,哈啊，哈啊……\n刚才好像听到了人的声音……？
10,拉克雷斯慢慢地把两腿夹着的沉重的水瓶放到地板上。
8,…………！？
7,……喂。
6,还有一次……唔唔……！
4,在连看守都没有的静寂的监狱塔中，\n响起了拉克雷斯痛苦的声音。
3,呜哈……！\n哈啊、哈啊……！
2,唔……唔呃……！
1,在杜亚特岛的监狱塔上──
0-synopsis,被囚禁在牢里的拉克雷斯，突然被关在别的牢里的女性搭话。苍蓝解放战线的头目伊洛提斯从另一个空间窥视着两人说话的样子。伊洛缇斯一边流泪一边反复道歉，为了拯救拉克雷斯而指示其他成员现在要静观其变。这时，不知从哪里伸过来一条“线” 。伊洛缇斯凝视着它，好像已经等了很久似的。
0-chapter_name,第150章 审判，予罪人以制裁
