id,trans
filename,scene_chr486_ep4_s10
info,scene_chr486_ep4_s10
65,<span class='scene-font-katari'>芙拉乌睁开低垂的眼睛，像往常一样微笑着。</span>
64,那已经……<br>是往事了。
63,……呵呵。
57,嗯，谢谢。<br>你就是我的……
51,芙拉乌，没事的。<br>你能对我笑我就很高兴了。
45,真的、真的——
44,我还是真的很喜欢大家……
43,你们不理解我也没关系。<br>不爱我也无所谓。<br>尽管如此……
42,<span class='scene-font-katari'>过于强大的力量，过于炫目的光芒，带来丑恶的阴影。</span>
41,<span class='scene-font-katari'>芙拉乌与生俱来的耀眼光芒，不只是照亮了周围。</span>
40,没关系的……<br>别再管那孩子了……
39,我受不了了……<br>我已经管不了那孩子了。<br>太吓人了……
33,嘿嘿嘿……<br>先让我来好好享受一下吧。
32,我们这么多人，就算是她也敌不过吧。
31,要不是她，一切都很顺利的！
30,一个女的还这么多管闲事！
29,那家伙算什么！<br>只不过长得漂亮一点就得意忘形！
23,我的力量是……
22,这么，就没人能与我匹敌了。
21,对不起呢，我已经……<br>决定不放过任何攻击我的家伙了。
20,<span class='scene-font-katari'>瞬间的闪光过后，魔兽已经燃成了渣。</span>
19,呼……
13,<span class='scene-font-4'>咕哦哦哦哦哦！！</span>
12,<span class='scene-font-katari'>魔兽向表情毫无变化、微微歪着头的芙拉乌袭来。</span>
11,嗯？<br>是从战场上游荡过来的吗？
10,<span class='scene-font-4'>咕哦哦哦哦哦！！</span>
9,嗯……？
7,最近没怎么听到声音呢。<br>已经差不多到觉醒的时候了吧……
6,<span class='scene-font-katari'>芙拉乌用手指轻抚胸前的红石。</span>
5,不过，说起来……
4,这下已经收集到很多数据了，不知还要进行多少次呢。
3,那孩子能够充当我们模拟战中的棋子，真是太好了。
2,<span class='scene-font-katari'>芙拉乌和之前一样，站在高台俯瞰战场。</span>
1,……嗯。<br>这次也很不错呢。
0-synopsis,在旁观战的芙拉乌瞬间燃尽了游荡过来的魔兽。随后芙拉乌想起了曾经因自己的存在太过耀眼而被人们嫉妒憎恨的记忆。即便如此芙拉乌依旧爱着人们，支撑着她的是一个温柔的声音。「那都是往事了」，芙拉乌说着将那幻影封入心底，又像平时那样露出微笑。
0-chapter_name,消逝在光芒中的面影
