id,trans
filename,scene_evt230329_cp2_q3_s10
translator,煌月夜
info,scene_evt230329_cp2_q3_s10
79,是啊。
78,是啊。话说回来……托莫亲刚才那副样子，让人很不安啊。
77,……想耍帅，但是方向性很差?
76,真是由着自己性子来啊，托莫亲。
75,等等，等等，托莫亲!
74,托莫伊刻意地笑了笑，咆哮着跑了出去。
73,我一定要阻止这场争斗!
72,和刚才那些真混道上的比，不良少年根本就不算什么。
71,啊，也是……但你稍微冷静一点。
70,你太天真了。如果没赶上，他们会把街上的人卷进去的!
69,就算真是吵架，翼君是个好孩子，好好和他说就行。
68,别这么冲动。如果担心，就一起去确认一下呗。
67,不，这个……有种快要打起来的感觉?真是那样地话……就轮到我出场了。
66,他们之前搞集会，一起飚脚踏机的时候不也是这种感觉吗?
65,嗯? 是吗?
64,他们，是在吵架?没事吧，翼他们。
63,怎么了，托莫亲?
61,还是老样子啊～精力过剩。不愧还是青少年。
60,当然! 全力上吧!
59,嘿，真会虚张声势。既然你这么说，我们也没必要干看着了……！
58,噢噢噢噢，你们这帮垃圾！我来当你们的对手！！
57,嗯?这个引擎声……是翼他们吧?
54,看到托莫伊露出微笑，罗艾英和艾尔塞姆松了口气。
53,嘿嘿……太感谢你们了。
52,耶!
50,What!？别让我掉下去，让我往上爬啊，型男主义!
49,噗哈哈哈哈!脚一滑，直接滑到天底?
48,没错没错，再挑战一次不就好了。从滑到的地方开始。
47,别这么沮丧。一点点前进呗，一点一点。
46,我也知道型男不是一朝一夕就能练成的啊。
45,不如说……让我重新演算一次。
44,别说了。我已经隐约察觉到了，遇到这种事有够倒霉的。
43,以偶然的机率来说，托莫亲已经算是不幸了。
42,这不是罗艾因的错。这次是偶然?运气不好吗?
41,抱歉。我想的办法有点太心急了。
40,感觉突然变得过于硬核?
39,哇，艾尔西涅话里的刺。全插上了。
32,真是宝贵的经验啊。
31,话说回来，没想到会遇到真正的袭击……
30,我们都没事。艾尔也在帮我。
29,啊，是的。比起我们，优PP老师你们更加……
28,看来你们没事。
21,他的心情……也不是不能理解。
20,喂，托莫亲，怎么萎靡不振的样子?整个都趴下了。
19,哎～～～……
18,总之，活着真好。
17,真是太糟了。差点崩溃。
16,哎～～～……
9,就这样，三个人挤在另一个房间的角落里，直到优希斯把敌人打退。
8,……艾尔亲，托莫亲……我们别妨碍她们了，总之先躲起来!
7,是啊。和魔物不同，面对有杀意的人类，需要更彻底的觉悟!
6,那边的!有时间闲聊不如赶紧躲起来!
5,托莫亲，你这都吓出bibidi babidi boo了!
4,哦。是哦哦哦哦……哦哦。
3,不，我们才要道歉。谢谢你的帮助。
2,对不起，把你们卷进来了……
1,遇到敌对组的人来砸场子，3人组被那气势完全压倒。
0-synopsis,被优希斯和艾尔西涅保护，没有受伤的三人组。罗艾因和艾尔塞姆安慰过于害怕什么都没能做到的托莫伊。这时，从广场那边传来引擎声和怒吼声。托莫伊向广场跑去，他认为翼和不良少年一定给人们带来了麻烦。罗艾因和艾尔塞姆对他感到不安。
0-chapter_name,第2话花花公子的阶梯
