id,trans
filename,scene_evt230428_cp5_q4_s10
translator,psyche
info,scene_evt230428_cp5_q4_s10
115,感受到她的热忱，\n艾尔塔和卡洛一齐用力点头。
114,并没有确凿的证据。\n但是，鼓足勇气的塞尔菲拉的声音\n有着令人信服的重量。
113,坎塔特和费鲁齐欧先生\n一定能合作的。\n他们的心愿可以同时实现。
112,边走边细说吧。\n首先……
111,是什么呢？
110,或许坎塔特太过拘泥于\n演奏者的声音，\n忽略了一件重要的事。
109,关于坎塔特，我意识到一件事。
108,大家都迈开了步子，\n唯独塞尔菲拉驻足原地。
107,我们也是，\n早些离开广场比较好。\n回卡洛先生的工作室去吧？
106,我们也一起去吧。\n好嘛，姬塔？
105,那老夫送你回工房吧。
104,是、是是、是啊。\n都这么晚了……
103,你该回去了。\n加斯帕雷他们在担心你。
102,卡洛缓缓点头，\n将她的手轻轻地放下。
101,……！\n嗯……
100,往后也是这样。\n如果你觉得难受，就大声说出来。\n无论是怎样的牢骚，我都想听。
99,记住。\n阿尔特大人和卡洛\n都在支持你。
98,卡洛握住坎塔特的手，\n怜爱地摩挲她那因为制作乐器\n而略显粗糙的手指。
97,如果没有别人认可你，\n那就由我来认可。\n我想成为唯一理解你的那一个。
96,正是因为如此，\n阿尔特大人会祝福\n这座岛上的每一个人。
95,人类会有各种各样的情况，\n就连“喜欢”这种心情\n有时也会变得朦胧不清……
94,卡洛……
93,所以看到你因为音乐而苦恼，\n我很难过。正是因为\n我如此在乎你，才会难过。
92,我喜欢坎塔特创造的东西。\n小提琴也好，骂人的音乐也好。
91,哇！？\n我我我、我在呢！
90,坎塔特。
86,谢谢。\n因为你，我知道该怎么做了。
85,卡洛的脸上浮现出含泪的微笑，\n望向坎塔特。
84,（太好了。\n他好像如释重负了。）
83,哈哈哈！\n我真是敌不过艾尔塔呢。
82,是这样吗……\n既然从岛外来的艾尔塔\n都这么说了，也许真的是这样吧。
81,祝福……\n我的力量吗……
80,因为守护热爱艺术之心的\n卡洛先生的力量，在大家看来是祝福。\n是这样没错吧？
79,我想，就算卡洛先生\n撤掉星晶兽的力量，\n大家一定也会继续热爱艺术的。
78,但是这座岛上的艺术品\n全部都是精心制作的，\n它们的制作者们看起来也很幸福。
77,岛民们也是这样。\n也许最初真的是被强制的……
76,新生、真正的……？
75,在热爱艺术的漫长岁月里，\n你的心也会获得新生，\n变成真正的心吧？
74,所以，就算卡洛先生的心\n真的是被谁设定好的，\n最初是虚假的……
73,嗯，是啊。
72,艺术的核心在于创造，\n无论是想法，还是有形之物……
71,尽管我完全不知道卡洛先生\n原先是怎样的星晶兽，\n过去有过什么经历，但是……
70,突然被叫名字，卡洛不由得愣了一下。\n艾尔塔怯生生地说道——
69,那个，卡洛先生。
68,（果然是这样。和他合奏，\n让我确信了一件事。）
67,是啊，我的心情和你一样。
66,这让我由衷地觉得，\n音乐真是美妙的东西。
65,嗯……怎么说好呢？\n不过……
64,你能这么说，我真高兴。\n感觉好点了吗？
63,呵呵，谢谢你陪我。\n有艾尔塔的伴奏，拉起来好容易。
59,（声音……\n难道费鲁齐欧先生说的是……）
58,（但聆听演奏的人们也会感动，\n会情不自禁地高声喝彩。）
57,（乐器确实拥有着\n释放演奏者心声的力量……）
51,<span class='scene-font-4'>Bravo、Bravo！</span>\n姐姐，你们的演奏果然好厉害！
50,Bravo！\n实在太优美了！
44,…………
43,糟糕……我好想哭。\n卡洛的、阿尔特大人的温柔，\n传达给了我……
42,明明想要鼓、鼓励某个人，\n却不愿意把声音传递出来，\n觉得就算没被注意到也很好。
41,嘻嘻嘻……\n真有卡洛的风格。
40,坎塔特把手放在颤动的胸口，\n看起来感慨万千。
39,（卡洛一直在为我演奏这把琴……\n我做的第一把小提琴……）
38,（真是无法置信……\n它真的成为了卡洛的声音……）
37,（凌乱的声音成为了个性……\n走音的地方也有其韵味……）
36,……是啊。
35,然而，它的音色很美。
34,琴弦的间距不一致，\n琴颈也歪掉了。那那、那种东西，\n怎么可以拿来演奏。
33,这是我做做、做的第一把琴，\n完全、不行啊。
32,仔细听的话确实是这样，\n不过没必要这么在意吧？
31,低音和、高音的平衡，太烂了……
30,是啊。卡洛的演奏感觉很虚幻。\n与其说存在感淡薄，不如说是像微风一般\n有着温柔的温度……
29,演奏者一旦换了人，听起来\n就好像变成另一首曲子了。\n音乐真是非常深奥。
28,塞尔菲拉演奏的这首曲子，\n老夫早就听过无数次，\n简直就成了身体的一部分，不过……
27,这音色能够触动心弦。\n光是听着，心情就变得温柔起来。
26,画笔哥哥还会拉小提琴啊。\n他真的是什么都会。
25,仿佛受到这祈祷般的\n温柔音色的邀请，塞尔菲拉\n等人出现在了广场上。
24,这是两人首次进行合奏。\n但他们是如此地默契无间，\n就好像已经经历过无数次的合作。
23,卡洛的小提琴编织出的旋律，\n被艾尔塔奏响的柔润低音\n如同张开双臂拥抱一般地包裹着。
22,在空无一人的广场上，\n艾尔塔与卡洛开始了他们的二重奏。
19,当然是，<span class='scene-font-spword'>祈祷般的</span>。
18,当然。\n要以什么风格来演奏？
17,我想演奏那首摇篮曲。\n可否与我合奏，艾尔塔？
16,他调整好肩托的位置，\n舒张了弓毛，架起这把儿童尺寸的\n小提琴，看起来有点不趁手。
15,音色非常好听。\n演奏时会有种不可思议的感觉，\n好像心被解放了一般。
14,这是坎塔特小的时候\n为我制作的乐器。
13,卡洛回收了木雕，\n开始为小提琴调弦。
12,卡洛先生……？
11,这样看起来，我和人类\n确实完全不一样……\n真的是星晶兽。
10,现在岛民们心情平静，\n果然是不会变成魔物的……
9,啊哈哈，看起来可以。
8,小动物变成了木雕……\n卡洛先生，你可以办到这种事！？
6,——！！
5,谢谢你们帮我取来，\n可以变回原来的模样了。
4,艾尔塔瞪大了眼睛。\n有两只小动物踏着轻快的步子，\n带着乐器和琴弓出现在他面前。
1,咦？
0-synopsis,卡洛从小动物手中拿到小提琴，与艾尔塔进行了二重奏。演奏结束后，艾尔塔表示，就算最初大家的想法都是虚假的，但在这基础之上也会诞生真心。这些话让卡洛重新变得开朗。坎塔特回家后，塞尔菲拉对艾尔塔和卡洛说，音乐不只属于演奏者，也属于听众，坎塔特和费鲁齐欧应该能相互理解。
0-chapter_name,第5话 pregando
