id,trans
filename,scene_ult_chr059_ep2_q3_s20
translator,碘
info,scene_ult_chr059_ep2_q3_s20
66,<span class='scene-font-katari'>作为国家的守护者、作为父亲的孩子、</span><br><span class='scene-font-katari'>塞鲁艾尔从此以后将</span><br><span class='scene-font-katari'>走向未知的未来。</span>
65,<span class='scene-font-katari'>就算已经无法再次交谈了、</span><br><span class='scene-font-katari'>知道了父亲复杂的心境对于</span><br><span class='scene-font-katari'>塞鲁艾尔也是一个契机。</span>
64,<span class='scene-font-katari'>流下一行眼泪、</span><br><span class='scene-font-katari'>塞鲁艾尔回忆着已经不在的父亲。</span>
63,……父王……
62,……是呢，就拜托你了。
61,塞鲁艾尔殿下，需要我去续上下一壶茶吗？
60,…………
59,……我能够知道父亲不仅仅是恨着我，真是意想不到的幸运。
58,而且比起其他身份，作为科诺尔的孩子、塞鲁艾尔……
57,只是……作为我个人、我也觉得父王是悲惨的。
56,……是的。
55,无论在那背后、有着怎么样的感情……
54,我……作为王子。无法原谅父亲下达了讨伐迪亚朵拉的命令。
53,在。
52,……诺伊修。
51,……谢谢。
50,塞鲁艾尔殿下，茶已经泡好了。需要来一些吗？
48,…………
47,<span class='scene-font-katari'>塞鲁艾尔一行无言地</span><br><span class='scene-font-katari'>回到了骑空艇。</span>
41,…………
40,……父王……
33,为什么分不清憎恶和爱情呢…………我真是愚蠢啊……
32,…………！？父、王……
31,……同时……我爱着妻子留下的孩子们。你们是无可替代的……
30,…………
29,……夺走妻子的孩子们是可憎的。
28,……父王！
26,…………
23,这阵光是……？
21,……这样就结束了。你毕竟只是吾的愤怒有了形态的产物罢了。
7,<span class='scene-font-4'>啊啊啊啊啊啊啊啊！！</span>
0-synopsis,打到了斯卡蒂之后，从戈姆·格拉斯里出现了科诺尔的幻影。科诺尔说着夺走妻子的孩子们是可憎的，但他同时也深爱着孩子们，就这样消失了。回到骑空艇后，塞鲁艾尔对诺伊修坦白了自己的想法：虽然父王讨伐迪亚朵拉作为王子是无法原谅的、但是作为个人觉得父亲很可怜。塞鲁艾尔说着知道父亲不仅仅是憎恨自己是一种幸运，流下了眼泪。
0-chapter_name,科诺尔的孩子、塞鲁艾尔
