id,trans
filename,scene_fate_chr598_ep1
info,scene_fate_chr598_ep1
66,<span class='scene-font-katari'>就这样，格里姆尼尔和碧和露莉亚一起，再度回到了街上。</span>
65,<span class='scene-font-katari'>因为觉得露莉亚和碧随行就没关系，姬塔安心了。</span>
64,真的吗？<br>谢谢你们俩~！
63,算了……<br>你都说到这份上了我就去吧……
62,拜托了~？赤龙~？<br>好嘛！请你答应嘛！
61,算啦算啦碧！<br>反正很闲不也挺好的嘛！
60,喂喂！<br>我们看上去很闲吗？
59,好啊！可以的话我就跟着去！
58,所以作为代替……<br>就让赤龙和苍之少女<br>跟我一起去如何？
57,不……那个……对了！<br>姬塔你这之后不是有委托之类的要忙吗？
56,<span class='scene-font-katari'>姬塔觉得格里姆尼尔很可疑，</span><br><span class='scene-font-katari'>坚持自己也要跟去。</span>
55,……啊！对了对了！<br>我，我想起有要事要办，<br>你们先走吧！
51,<span class='scene-font-katari'>结束购物的姬塔他们，</span><br><span class='scene-font-katari'>和举止可疑的格里姆尼尔，</span><br><span class='scene-font-katari'>一起快步返回骑空艇。</span>
50,啊，啊啊……
49,算了，怎样都行啦。<br>比起这个早点回骑空艇去吧！
48,我是觉得神明也可以送情人节巧克力的~
47,是，是啊，本来我对情人节<br>也没有什么兴趣——！
46,你这么说也是啦……<br>我也没听过有神明<br>会在情人节送巧克力的。
45,我，我可是军神哦？<br>不如说是被人类送礼物吧？
44,<span class='scene-font-4'>你问给，给给给，给给给谁，</span><br><span class='scene-font-4'>送巧，巧克力？</span>
42,算了，讨厌的话也没必要逼人吃。<br>比起这个早点回骑空艇去吧！
41,巧克力明明很好吃的，真遗憾……
40,嘿——是这样吗？<br>觉得你会有兴趣所以很意外呢。
39,才，才没有呢~！<br>我对情人节巧克力之类的<br>一点兴趣都没有呢～♪
38,<span class='scene-font-4'>我，我我我，我我我吗？</span><br><span class='scene-font-4'>你问我是不是想要巧，巧克力？</span>
36-sel2_txt,<span class='scene-font-katari'>想送给谁巧克力呢？？</span>
36-sel1_txt,<span class='scene-font-katari'>想要巧克力吗？</span>
36,<span class='scene-font-katari'>走在旁边的姬塔，</span><br><span class='scene-font-katari'>察觉到格里姆尼尔紧盯的视线，</span><br><span class='scene-font-katari'>回了他一个笑脸。</span>
35,<span class='scene-font-kokoro'>（姬塔要给谁巧克力，</span><br><span class='scene-font-kokoro'>那是姬塔的自由吧！）</span>
34,<span class='scene-font-kokoro'>（啊算了算了，别想了！</span><br><span class='scene-font-kokoro'>深究下去也太没眼色了！）</span>
33,<span class='scene-font-kokoro'>（会给露莉亚和碧吗？</span><br><span class='scene-font-kokoro'>难道说……也会给我……？）</span>
32,<span class='scene-font-kokoro'>（姬塔也会送给谁情人节巧克力吗……？）</span>
31,<span class='scene-font-katari'>突然，格里姆尼尔看向走在旁边的姬塔。</span>
30,给谁……<br>送什么样的巧克力吗……
29,呵呵呵……<br>考虑要给谁送巧克力的时候，<br>也很开心呢！
28,是啊是啊，刚刚擦肩而过的人也是，<br>在聊要把情人节巧克力送给谁呢~
27,我记得，在每年情人节之前，<br>大家为了准备手制巧克力，<br>都会很忙碌的对吧？
26,……啊，原来如此啊！！<br>这就是传说中的情人节啊！<br>我之前有在书里读到过哦！
25,情人节是，<br>对平时照顾自己的重要的人，<br>赠送巧克力之类礼物的日子。
24,情人节是……？
23,啊，看来在热烈谈论着情人节的话题呢。
22,没事……就是觉得她们看上去，<br>好像很高兴的样子啊~
21,格里姆尼尔，你怎么了吗？
20,<span class='scene-font-katari'>格里姆尼尔一脸稀奇地，</span><br><span class='scene-font-katari'>看着喧闹着擦身而过的女孩子们。</span>
19,嗯……？
17,<span class='scene-font-4'>诶诶！？</span><br>真的假的啊！总觉得好意外——！
15,呵呵，那么就告诉我吧！<br>什么什么……
13,真是的，一定要告诉我哦——？<br>那你耳朵过来点……
12,诶——？是决定好了……<br>你先告诉我你要送谁，<br>我就告诉你！
11,呐呐，你已经决定情人节要送谁巧克力了吗？
8,<span class='scene-font-katari'>这时，走在路上的一行人前方，</span><br><span class='scene-font-katari'>有两个女孩子，边谈笑着边走了过来。</span>
7,喂喂你也说过头了吧——！<br>被你那样夸，我会害羞的吧——！
6,因为有格里姆尼尔的风之力，<br>能帮我们搬运很多东西，<br>所以就能买很多东西了呢！
5,搬运这种程度的东西，<br>交给飓风化身的我，<br>不过轻而易举。
4,呵……为了守护人类的安宁，<br>我不会吝惜使用我的力量的。
3,哎呀~多亏了暴风的小哥跟着来了，<br>真的帮我们大忙了~！
2,<span class='scene-font-katari'>那天，格里姆尼尔和姬塔和露莉亚和碧，一起到街上买日用品。</span>
1,<span class='scene-font-katari'>情人节将近的某天。</span>
0-synopsis,情人节将近的某天，姬塔他们和格里姆尼尔一起出门购物。在聊着情人节的事的时候，格里姆尼尔在意起姬塔会给谁送巧克力。结束购物的姬塔他们要回骑空艇的时候，格里姆尼尔突然说「想起有要事要办」，于是和露莉亚、碧一起回到街上。
0-chapter_name,为巧克力而狂的暴风
