id,trans
filename,scene_evt180228_cp5_q4_s10
info,scene_evt180228_cp5_q4_s10
80,<span class='scene-font-katari'>怪物的咆哮声响彻天际，</span><br><span class='scene-font-katari'>云层撕裂岩石粉碎，像是要把</span><br><span class='scene-font-katari'>眼前的一切破坏殆尽。</span>
79,<span class='scene-font-4'>哦哦哦！</span>
78,<span class='scene-font-katari'>但迦南的景色已经完全变了，</span><br><span class='scene-font-katari'>一只不祥的巨大怪物停在那里。</span>
62,<span class='scene-font-katari'>姬塔等人抓着双子天司，</span><br><span class='scene-font-katari'>逃出了神殿。</span>
61,总之，明白了！
60,黑色怪物……？
59,好了，大家快逃出去吧！<br>和格兰赛法汇合！再不快点这里<br>要被那黑色怪物毁掉了！
58,怎么会这样……<br>但是再这样下去可不好……！
57,唔唔……那个……<br>虽然我不知道具体的状况……
56,那，那翅膀是……<br>也就是说天司长大人他……
55,…………
54,什么……！<br>你，你是圣德芬！？
53,是你们啊！<br>帮大忙了，格兰赛法呢——
52,大家没受伤吧？<br>飞着逃出去吧，抓住我们！
51,姬塔，碧，露莉亚！
48,喂，圣德芬！<br>要离开这儿了，振作点啊！
47,…………
46,哇，哇哇哇……！？<br>摇，摇的好厉害！<br>没法往前……！
45,大家！<br>总之赶紧逃出去吧！
44,刚刚的声音是！？<br>喂喂，真的很恐怖啊……！
43,<span class='scene-font-4'>哦哦哦！</span>
42,神殿里面有什么……<br>无数的，但又结为一体……<br>这个异常难以言表……！
41,怎么了，<br>是星晶兽的气息吗！？
40,唔唔……<br>这是什么……<br>这个气息是什么……！？
39,这，这是……！
35,啊！？
34,什，什么！地震吗！？
30,<span class='scene-font-katari'>突然——</span>
29,<span class='scene-font-katari'>姬塔等人被这超常的现象所震惊，</span><br><span class='scene-font-katari'>不知道该说什么。</span>
28,<span class='scene-font-katari'>路西菲尔消灭，</span><br><span class='scene-font-katari'>拥有代行机能的圣德芬继承</span><br><span class='scene-font-katari'>力量成为新的天司长……</span>
27,<span class='scene-font-katari'>露莉亚通过圣德芬的变化和气息，</span><br><span class='scene-font-katari'>察觉到了这里发生的事。</span>
26,圣德芬……！？
25,…………
22,<span class='scene-font-katari'>他们到达的，</span><br><span class='scene-font-katari'>是被神圣的六翼照耀的房间。</span>
6,<span class='scene-font-katari'>姬塔等人醒过来后，</span><br><span class='scene-font-katari'>追寻着圣德芬的气息在</span><br><span class='scene-font-katari'>神殿走廊中奔跑着。</span>
5,是，是的……！<br>但这个气息是怎么回事……<br>快走吧，姬塔！
4,就，就是在那扇门里吧！？
3,哈啊……哈啊……！
0-synopsis,醒过来的姬塔众人找到了因为路西菲尔消灭而精神恍惚的圣德芬。接下来的瞬间，迦南神殿伴随着异样的咆哮开始崩塌。姬塔等人在千钧一发之际抓住哈露特和玛露特逃离了神殿，然而迦南的风景完全变了。
0-chapter_name,第5话 首
