id,trans
filename,主线剧情第122章第1节第1幕
translator,rei
info,scene_cp122_q1_s10
156,这种充满了复杂感情的环境，<br>促使着人偶少女的成长。
155,紧接着紫之骑士后面登场的洛基，<br>让人偶少女周围的情况<br>时刻变化着。
154,我想着多多少少，<br>也该站到这个舞台上来了。
153,客人什么的，<br>还希望你不要太把我当外人啊。
151,诶……<br>这还真是罕见的客人啊。
150,唔！？你是……
149,那么……再加个星之民又如何呢。
148,如今再加一两个佣兵什么的……
147,为什么如此血气旺盛呢……<br>就这么不珍惜生命吗？
146,看着拿出武器的斯特姆等人，<br>紫之骑士大大地叹了口气。
145,你那么自信满满地说这些话，<br>可是会让我们受伤的啊。
144,别看我们这样，也是佣兵啊。
143,全灭……？<br>面对这样的人数差，<br>多亏你能说这样的话啊。
142,别这样，别做这种事。<br>你们不觉得被全灭很傻吗？
141,看着害怕的人偶少女的模样，<br>欧姬丝和欧尔姬丝立刻把少女<br>挡在了身后。
140,决不允许……
138,噫……！
136,真是让人困扰。<br>果然还是由我自己来做啊，这种事。
135,明明说了要处分掉，<br>为什么还精神地活动着啊……
134,啊，抱歉——<br>我现在找的只是，<br>那边那个人偶而已。
132,真王旗下的紫之骑士，呢……
131,啧！？这家伙怎么回事！？<br>到刚才为止都没有任何气息！？
130,真是让人困扰啊。<br>你们居然在这里。
129,你存在着。<br>即使什么都不做，你也确实存在——
128,这么一来，我就……
127,从指间传来的你的感觉……<br>那并不是假货或是仿制的。
126,现在被我握住手的人是谁？<br>倒映在我瞳孔里的人又是谁？
125,不是假货也不是仿制品哦。<br>你不是正好好地存在于这里吗。
124,假货也好……仿制品也好……<br>我可以活着吗……？
123,可以……吗？<br>不成为原型也……
122,不成为任何人也没有问题。<br>即便如此，你也存在于这里。
121,真货和假货什么的……<br>并不是这种问题……
120,答案就是……就算什么都不做也可以。<br>就算什么都不做，什么都不是，<br>你也是你自己啊。
119,你应该怎么办这件事，<br>其实，非常简单。
