id,trans
filename,主线剧情-第49章第2节第1幕
info,scene_cp49_q2_s10
37,走吧，姬塔！再一次前往那片森林……！
36,嘿嘿……现在咱们已经没有理由停滞不前了！
35,看来我们还是尽快突击进入岛屿为好……
34,怎么会这样……
33,这也太过分了……宰相阁下是想把整座岛击沉吧？
32,喂喂，骗人的吧……萝赛塔和黑骑士还在岛上呢……
29,起动所有武装，调动最大火力！宰相阁下的命令是牺牲战舰也要撬开覆盖岛屿的那些荆棘！
28,继续射击！补给舰马上就到！绝对不要停下！
27,<span class='scene-font-katari'>埃尔斯特帝国的战舰包围了岛屿，将所有炮口瞄准森林不停地攻击。</span>
21,咦？可是，岛周围好像有什么……
18,<span class='scene-font-katari'>两人看着前方宛如巨型森林的岛屿。</span>
17,现在……姬塔还要去救出最重要的同伴。
16,那就是Lumacie群岛……在那里……发生了很多事……
13,唔……能看到了……
12,咦！？你这样说的话我反而难以否定了啊！！
11,我觉得……可疑……是德朗克的特色。
10,咦？你这话的意思是，我很可疑吗！？
9,连德朗克都这么说了，看来魔晶真的很可疑啊……
8,魔晶有各种各样的传闻……总之这东西真的充满疑云啊。
7," 没有没有！那也不是！"
6,不如说，这类东西你是最最了解的吧，德朗克。
5,说什么傻话……怎么可能是万能的。
4,听你们说那东西好像很厉害？哎呀魔晶这玩意儿真是万能啊！
3,可是……接下来我们还要和那个怪物战斗么……
2,<span class='scene-font-katari'>姬塔一行乘坐格兰赛法前往Lumacie群岛。</span>
1,是啊……真是的……感觉过了好久了……
0,我们……终于回来了呢……
0-synopsis,前往Lmumacie群岛的姬塔等人回忆起留在岛上的萝赛塔与黑骑士，以及击败他们的存在尤格多拉希尔·恶意。众人怀揣各自的决心远眺渐渐靠近的岛屿。越是接近岛屿，越能清楚地看见岛上的惨状。埃尔斯特帝国的军舰正在集中火力不停攻击萝赛塔等人所在的岛屿。
0-chapter_name,第49章  回到森林
