id,trans
filename,scene_evt140531_cp6_q4_s20
info,scene_evt140531_cp6_q4_s20
22,……来吧……就让我来展示一下，<br>和你们这些人，实力上的差距呢~！
21,哼……<br>好歹看上去不像个纸老虎。
20,这……怎样的形态啊……
19,──────！ ！
7,……好啊。<br>以魔晶之力超越人类智慧……<br>我的真正形态就让你们见识一下吧！
6,伯梅伦！<br>和某人在此决一死战！
5,逃？ 呵呵呵呵……<br>就你们这样，不足为惧呢~！
4,你无路可逃了！<br>伯梅伦！
3,真是的，一群无能的乐色……<br>就打败了几个这种水平的魔物，<br>希望你们不要得寸进尺呢~！
2,好了，伯梅伦！<br>乖乖投降！<br>你已经没有胜算了！
1,哼。看我立刻打败你这家伙<br>然后封印玛娜维丹！
0,唔……真是的……<br>你们还真是相当顽强呢~……
0-synopsis,为了阻止玛娜维丹的觉醒，追赶伯梅伦的姬塔等人向残存的魔物发起攻击。
0-chapter_name,第6话 前往阴谋的涡心
