id,trans
filename,主线剧情第71章第3节第1幕
info,scene_cp71_q3_s10
48,虽然你这样说，<br>但人手看来还是不太够啊！<br>就由我们处理这些魔物吧！
47,咕嗷嗷！
45,现在姑且委托了骑空团协助警备，<br>维持着城内的治安。
44,说起来上次来的时候，<br>城里可是没见到一个士兵呢。
43,帝国统治时期，<br>这座城市基本都已经被去军事化了。
42,虽然规模很小，<br>但还是有的。
41,<span class='scene-font-place'>美佛拉修</span>这里<br>没有军队或者是警备队这样的组织吗？
40,莉夏环视周围，<br>然后向亚当发问：
39,说起来，从刚才起，<br>我就有些在意……
38,哈哈！<br>小鬼们充满活力的笑容<br>才是最重要的啊。
37,才是我们在那场战斗中取胜的<br>最好证明呢。
36,这些孩子能如此开心地笑着……
35,她可能是下意识地<br>想要取回失去的时间。
34,欧尔姬丝陛下在这十年间，<br>一直都以意识体的形态<br>被关在宫中。
33,这么看着，<br>欧尔姬丝和露莉亚、伊欧她们<br>像是差不多年纪的孩子啊。
31,不、不要丢下我啊！
29,慢点儿跑！<br>这么跑摔着了我可不管哦！
27,哦！那家店！<br>以前我和阿波罗经常去那儿！<br>过去看看吧！
26,那里面包的口味还是和以前一样，<br>真的超棒的！
25,——然后呢，那边的面包房<br>已经经营了十年以上了呢。
24,然后，欧尔姬丝、亚当与姬塔等人一起<br>来到了<span class='scene-font-place'>美佛拉修</span>的市街。
18,好极了！<br>谢谢你，亚当！
17,请去吧，女王陛下。<br>今天的公务就是视察城内的情况。
16,你是说！
15,对于这样的贵客如果不能倾力相待，<br>恐怕有伤王室的名誉。
14,更何况姬塔等人是拯救了埃尔斯特的，<br>于我们有大恩的骑空团。
13,但是，与民众的交流，视察城市情况，<br>对于埃尔斯特王室来说<br>也是极其重要的公务。
11,即便如此，<br>要处理的文书仍然堆积成山。
10,数日以来，<br>女王陛下为了处理事务<br>一直把自己关在宫中。
9,作为回应，亚当平和地说道。
8,欧尔姬丝向亚当投去了期待的目光。
7,啊……嗯，是这样呢。<br>我……果然很忙？
6,听到伊欧这么说，<br>欧尔姬丝的兴奋劲儿突然止住了。
5,哇！<br>但是这样真的好吗？<br>欧尔姬丝你好像很忙的样子。
4,对了！机会难得，<br>就让我带你们去参观<br><span class='scene-font-place'>美佛拉修</span>的大街吧！
3,但是我很欢迎<br>各位留在这座岛上！
2,考虑到她的心情，<br>得到这个结果也是无可奈何……
1,这样啊，<br>果然芙莉西雅<br>什么都不愿意说呢……
0,姬塔等人回到了埃利亚·海姆王宫，<br>向欧尔姬丝说明了探狱时发生的事。
0-synopsis,姬塔等人返回王宫后，向欧尔姬丝说明了探狱时发生的一系列事情。欧尔姬丝提出带众人参观<span class='scene-font-place'>美佛拉修</span>的大街。来到<span class='scene-font-place'>美佛拉修</span>的大街后，欧尔姬丝像是要取回自己失去的十年一般，与露莉亚和伊欧一起尽情玩耍。
0-chapter_name,第71章 被囚的真相
