id,trans
filename,scene_evt231228_cp6_q2_s10
translator,煌月夜
info,scene_evt231228_cp6_q2_s10
81,一道闪光瞬间照亮了四周，库鲁发出巨大的爆炸声。
80,咯、咯……！ ？
71,咯咯哒——……
70,米莉喃喃自语着，从怀里取出一个小装置，按下开关。
69,反抗的话……就处理掉吧。
68,……哈啊。这些愚蠢的怪物……
67,噢噢噢！ ！
66,好，去吧！这个僵尸暴龙就交给我们！
65,你们愿意帮我们吗……！
64,接着是杜拉，莎莉，扭扭，还有戴比。阿诺也一起动了起来。
63,噢噢噢噢噢噢噢噢噢噢噢噢噢！ ！
62,恐龙鸡库鲁衔着自己的盘子朝缇拉冲过去。
61,咯咯哒！ ！
59,啊……？
58,不……
57,终于有战斗的意思了？好慢啊……
56,似乎是回应了姬塔的声音，一只暴龙生物发出了咆哮。
55,咯咯哒！ ！ ！ ！
54,…………！！
52-sel1_txt,感到迷茫的话就动起来！！
52,……咕咕……
49,<span class='scene-font-4'>你们也是！ ！</span>\n别傻站着，动起来，你们这群怪物！
46,这是礼物！ ！接下来就一起吃饭吧！然后我们就是一家人了！
45,拉缇也有对吧！虽然是临时准备的，你看，还做了缇拉的盘子……
44,啾！
43,看，我在盘子上刻了你们名字。缇拉的暴龙家族的每个人都有！
40,咕…………
39,然后它们盯着各自脚边的饭盆上缇拉给它们取的名字。
38,…………
37,<span class='scene-font-4'>你们在干什么！！</span>\n废物！！不中用的东西！！
36,霸王生物们相继看向缇拉和米莉，原地踏步了几下。
35,…………
34,<span class='scene-font-4'>暴龙生物！！</span>\n你们也别傻站着了，快点战斗吧！ ！
33,啧，真是一群烦人的家伙……
32,求你了，醒醒吧！
31,缇拉……！ ！看，你的家人这么努力！
30,尽管如此，暴龙们还是毫不退缩，和姬塔他们一起一次又一次地站了起来。
29,噢噢噢噢噢噢噢噢！ ！ ！
28,但它们也被巨大的僵尸暴龙轻而易举地甩飞，装甲不断地破损剥落。
26,噢噢噢……
25,看到缇拉就要被带走，剩下的暴龙们咆哮着奔向米莉。
24,咕奥奥、咕奥奥奥奥奥奥奥奥奥奥！ ！
23,可、可是……
22,喂，不准看那些。你要只看着妈妈。
21,啊……
20,呀……
19,哇……噜噜噜噜……！ ！
18,你，你要去哪里啊！把缇拉放了……！
15,我还为你准备了一个家呢？呵呵，呀呵呵……
14,来，缇拉～♪我们一起回家吧～
13,…………
12,那不是很好嘛。赶紧把这些打扰我们家庭团聚的虫子给捣碎吧！
11,不想办法解决那个僵尸暴龙的话……就无法接近米莉小姐……！
10,暴龙们也被压制了……铠甲也破破烂烂了……
9,咕啊……！ ！
7,唔，好强力的一击啊……不是其他暴龙能比的……
6,呜哇！ ？
5,僵尸暴龙挥舞着枯朽却依旧巨大的尾巴，将姬塔一行人弹开。
2,哦哦哦哦哦哦哦……
0-synopsis,为了救出缇拉，姬塔他们和缇拉的暴龙们一起对抗僵尸暴龙。另外，暴龙生物也为了愿意与自己成为家人的缇拉而奔跑。暴龙生物们衔着家人的证明——缇拉的盘子，想要跑到缇拉身边，但米莉只要按下小装置的开关，就会发生爆炸。
0-chapter_name,第6话 真正的家人
