id,trans
filename,主线剧情第125章第4节第2幕
translator,rei
info,scene_cp125_q4_s30
33,虽然看不到骑士的真面目，<br>但看着站在自己身边的身姿，<br>露莉亚莫名感到了一阵安心。
32,面对着在千钧一发之中，<br>拯救了自己姓名的铠甲骑士，<br>露莉亚恐惧地叫出了声。
31,你是……？
30,…………
29,在随着坚硬冲击声睁开眼的露莉亚面前，<br>正是一位铠甲骑士将幽世的居民<br>一刀劈成两半的瞬间。
24,——！？<br>——……
21,哈啊啊啊！！
20,诶……？
17,这个时候，<br>就像是迎来了终结一般。
16,（卡塔莉娜……！<br>姬塔……！）
15,面对向着自己迫近的危机，<br>身体反射性的缩了起来，<br>并且闭上了双眼。
14,面对用力挥向自己的幽世的住民，<br>露莉亚意识到了自己就要死了。
13,（难道我……就要在这里……？）
12,唔……！
11,————！！
10,（好可怕……好可怕啊……）
9,（怎么办……<br>怎么办、怎么办……！！）
8,唔……！？
7,————
6,曾经在危机之中被拯救了的<br>星晶兽们也没有任何反应，<br>露莉亚就连防御都无法做到。
5,提亚马特、科隆萨斯、<br>利维亚桑、尤格多拉希尔。
4,露莉亚运用自己的力量，<br>不论进行多少次呼唤，<br>都没有任何星晶兽对此作出回应。
3,不论呼唤谁都没有回应……<br>为什么……<br>到底发生了什么……？
2,————
1,唔唔……咳……
0-synopsis,不论呼唤多少次，星晶兽们都没有任何反应，露莉亚正被幽世的住民追赶着。正当露莉亚有了死亡觉悟的时候，一位穿着铠甲的骑士突然出现，将幽世的住民一刀两断。虽然露莉亚感到困惑，但这位站在身边的骑士却给了她一种安心的感觉。
0-chapter_name,第125章 寻找碎片
