id,trans
filename,scene_chr606_q3_s20
translator,SETSU_XY
info,scene_chr606_q3_s20
120,<span class='scene-font-4'>啊啊！</span><br><span class='scene-font-4'>让他们看看实力的差距！</span>
119,<span class='scene-font-4'>斯特姆阁下！</span><br>该结束战斗了吧！
118,<span class='scene-font-katari'>此时，两人的周围</span><br><span class='scene-font-katari'>失去意识的强盗团叠起来，</span><br><span class='scene-font-katari'>形成了巨大的山坡。</span>
117,<span class='scene-font-katari'>斯特姆和德朗克。</span><br><span class='scene-font-katari'>周围的佣兵记住了他们的名字，</span><br><span class='scene-font-katari'>表达出敬畏之情。</span>
116,这就是来自法塔·格兰迪的<br>佣兵组合……<br>斯特姆和德朗克……！
115,互相支援对方的同时<br>让敌人无机可乘……<br>多么有默契的组合啊……
114,<span class='scene-font-katari'>在强盗团看到同伴陆续倒下</span><br><span class='scene-font-katari'>而害怕的同时，</span><br><span class='scene-font-katari'>佣兵们也目瞪口呆。</span>
112,<span class='scene-font-katari'>或是斯特姆用剑回避敌人的攻击时，</span><br><span class='scene-font-katari'>德朗克用魔法使其无效等</span><br><span class='scene-font-katari'>两人陆续使用了多种多样的组合招数。</span>
111,<span class='scene-font-katari'>德朗克用魔法牵制住敌人</span><br><span class='scene-font-katari'>以斯特姆的追击</span><br><span class='scene-font-katari'>结束战斗……</span>
102,<span class='scene-font-4'>哈！</span>
101,<span class='scene-font-4'>斯特姆阁下！</span>
96,<span class='scene-font-4'>嘿！</span>
86,交给我~！<br>来~！
84,<span class='scene-font-4'>走！</span><br>支援我，德朗克！
83,<span class='scene-font-katari'>或许是最后的挣扎，</span><br><span class='scene-font-katari'>强盗团集中剩下的所有人力</span><br><span class='scene-font-katari'>包围了一行人。</span>
82,<span class='scene-font-4'>现在是聊天的时候吗！</span><br>集中精神战斗！
81,嗯~怎么怎么？<br>斯特姆阁下，说了些什么？<br>她夸我了？　说呀说呀！
80,你就是斯特姆<br>所说的搭档啊。<br>我记得……是叫德朗克？
79,啊~，好的好的，刚才的人啊！<br>果然斯特姆阁下<br>很会照顾人啊~
78,那人就是你。
77,不出意料，陷入了危险，<br>但是这种战场上，<br>居然出现了帮助他的怪人。
76,你、你好……
75,我是看见了他而已。<br>他是同一个工会的新手佣兵。<br>现在还有点靠不住。
74,但是，这样的乱战里<br>你竟然能找到我！<br>这就是组合的纽带啊——
73,啊，这样……
72,我是经由别的佣兵工会来的。<br>这个讨伐队是<br>很多个工会共同组成的。
71,但是，斯特姆阁下……<br>为什么在这里？<br>难道追着我——
70,是你丢人现眼的惩罚。<br>对你的评价会影响到我。<br>因为你和我是组合。
68,<span class='scene-font-4'>好痛啊！？　为什么！？</span>
66,<span class='scene-font-4'>德朗克！</span><br>你怎么能粗心大意！
65,<span class='scene-font-4'>斯特姆阁下！？</span>
60,<span class='scene-font-4'>呼！</span>
59,<span class='scene-font-katari'>两人之间的距离变短，</span><br><span class='scene-font-katari'>为了拉开距离，</span><br><span class='scene-font-katari'>德朗克正要向后退时……</span>
57,什么都有可能！<br>看我的！！
56,<span class='scene-font-4'>咦！</span><br>还有这种的吗！？
55,<span class='scene-font-katari'>小喽啰因德朗克的魔法受到惊吓，</span><br><span class='scene-font-katari'>摔倒之时偶然</span><br><span class='scene-font-katari'>逃离了魔法的轨道。</span>
50,<span class='scene-font-4'>唔哦！？</span>
46,哎哟……！
45,<span class='scene-font-4'>就你还东张西望！</span>
44,<span class='scene-font-kokoro'>（啊，这样……</span><br><span class='scene-font-kokoro'>确实啊……）</span>
43,<span class='scene-font-katari'>德朗克不顾自己仍处于战斗之中，</span><br><span class='scene-font-katari'>盯着自己的手，</span><br><span class='scene-font-katari'>歪起脑袋。</span>
42,好奇怪啊……<br>我应该让他失去意识了才对……
41,<span class='scene-font-katari'>看见一边叫唤着疼痛</span><br><span class='scene-font-katari'>一边站起来的喽啰，</span><br><span class='scene-font-katari'>德朗克瞪大了眼睛。</span>
40,疼死我了……<br>是魔法啊……可恶……
38,这……<br>咦—……为什么？
37,没事没事~小心点哦~<br>虽然人数比听说的多，<br>但是距离镇压应该只差一点了。
36,原、原来如此……<br>谢谢你，救了我……
35,老鼠走投无路的时候，<br>还会咬猫呢。<br>可不能掉以轻心。
34,目前虽然我们占优势，<br>但他们也是拼出性命。<br>毕竟已经没有后路了。
33,好了，受伤了吗？　没事吧？<br>可不能只关注<br>眼前的对手哦。
32,咕啊……！？
27,行了行了……<br>这种，我不会放过的。
26,呜哇，呜哇哇！？
25,<span class='scene-font-4'>唔哦哦哦哦！</span>
24,<span class='scene-font-katari'>此时，在姬塔附近战斗的</span><br><span class='scene-font-katari'>年轻佣兵背后，</span><br><span class='scene-font-katari'>强盗团的一人正在靠近。</span>
23,但是，似乎没有统率的人。<br>完全是零散的感觉。<br>他们只是聚集起来，作为组织而言……
22,空域的形式不稳定<br>所以大家才会忐忑不安，一定是这样。<br>所以强盗也成群结队。
21,现在是说这种话的时候吗！<br>不觉得人数比听说的还要多吗！？
20,这种时候，<br>就会想起和斯特姆阁下相遇的时候啊~<br>那个国家，当时正在武装政变……
13,<span class='scene-font-4'>嘿！</span>
8,<span class='scene-font-4'>哼！</span>
3,<span class='scene-font-katari'>然而，敌人数量却比</span><br><span class='scene-font-katari'>在工会里了解到的</span><br><span class='scene-font-katari'>要多出几倍……</span>
0-synopsis,姬塔等人来到强盗团的领地。正当对付数量远在情报之上的敌人之时，德朗克不知哪里出了问题，无法随心所以战斗。此时突然，经由其他佣兵工会赶来的斯特姆出现。和斯特姆合作攻击的德朗克恢复了往常的状态，两人瞬间打倒了强盗团。其他的佣兵们感到敬佩与恐惧的同时把斯特姆与德朗克的名字刻在了心里。
0-chapter_name,来自异域的二人组
