id,trans
filename,scene_chr434_q3_s20
info,scene_chr434_q3_s20
94,<span class='scene-font-katari'>披风在温和的风中飘动着，她回想起紧紧抱在一起的新郎新娘，恍惚地吐了口气。</span>
93,<span class='scene-font-katari'>伊尔莎柔和地笑着挥了挥，随后果断地走了起来。</span>
91,哦！也非常感谢吓人的姐姐请客我们吃芭菲冰激凌。
90,谢谢你们陪伴我度过甜食休憩时间。帮了很大的忙。
89,哎呀，差不多是交班的时间了。
87,结果皆大欢喜。我也看到了很不错的东西。
86,虽然我把我的梦想推给了他……
85,是吗~有这样的理由啊。
84,那是人生中最美好的一天的话更是要这样。
83,如果我是她的话，比起从未见过的陌生人，我会想被所爱的他拯救。
82,咦，是这样吗？
81,不，那并不是单纯的我相信他才交给他的。
80,因为你非常温柔，而且新郎那边，你不是也相信他能救出新娘吗。
79,但是我觉得，伊尔莎小姐一定会有很棒的恋人的。
78,但是把女人的魅力和教官的义务放在天平上比较的话，着实让人烦恼啊……
77,我也不是喜欢说才说的。训练需要所以才这么说。
76,说起来，要是被说扔大粪之类的我也会退缩的……
75,嗯……是啊，工作忙的连找对象的时间都没有。
74,吓人的姐姐现在没有恋人之类的吗？
73,……我也想结婚。
72,唉……
69,啊啊，祝你们永远幸福。
68,那么，我们就此告辞。
67,是、是这样吗。啊哈哈哈……
66,啊，这里说的大粪是指训斥的信。
65,唉……大粪……？
64,是，我明白了。
63,如果你又回到了原来轻浮的状态，我就往你的信箱里扔大粪。明白了吗？
62,那份觉悟绝对不要忘记。你要让她幸福。
61,哼……多少让我看到了你的骨气嘛。
60,也感谢伊尔莎教官阁下的指导。这份恩情我永远不会忘记。
59,不要在意！我们没法放下有困难的人不管。是吧，姬塔？
58,非常感谢你们帮助了我们。不知道该怎么想你们道谢……
52,<span class='scene-font-katari'>响应伊尔莎的呼叫而来的组织的士兵将男人绑起带走了。</span>
46,这是伊尔莎。我抓住了目标。要求尽快支援。
45,我的工作是训练新兵啊，这种程度当然能做到。
44,好、好厉害。吓人的姐姐你也很擅长扭打啊。
43,<span class='scene-font-katari'>然后抓住他的脖子用力一捏，让男人立刻晕了过去。</span>
42,─────！
41,<span class='scene-font-katari'>伊尔莎靠她准确无比的射击精度将男人手中的刀射落，随后迅速抓住他的手把他摁在地面上。</span>
36,哈！
35,啊…？
32,不好了！我们去帮忙吧，姬塔。
31,<span class='scene-font-4'>呀！</span>
30,<span class='scene-font-katari'>吃了强有力的一拳倒下的男人忽地站了起来，从口袋里拿出刀。</span>
29,我不要……不要抢走我的……
27,嘿嘿，平安救出新娘太好了。
26,<span class='scene-font-katari'>互相凝视对方的眼睛后，新郎与新娘紧紧拥抱在一起。</span>
25,当然。绝对不放手。
24,不要再离开我了……永远都这样跟我一起……
23,你很努力了。已经没事了。
22,啊啊……我好害怕。
19,咕哈……
17,<span class='scene-font-4'>啊！！！</span>
15,咦？为什么阻止？
14,你们等一下！
13-sel1_txt,<span class='scene-font-katari'>上了！</span>
13,只剩下你了！觉悟吧！
12,你们等一下！
11-sel1_txt,<span class='scene-font-katari'>上了！</span>
11,只剩下你了！觉悟吧！
8,…………
5,噶……
0-synopsis,讨伐掉魔物以后，伊尔莎阻止姬塔等人去救新娘。新郎用拳头给了绑架犯全力一击以后救出了新娘。平安解决事件以后，伊尔莎向露莉亚等人吐露心声，说将自己的希望被所爱的人拯救的梦想推到了新郎身上。结束休息时间回到任务中的伊尔莎想起紧紧抱在一起的新郎新娘，恍惚地吐了口气。
0-chapter_name,人生中最美好的一天
