id,trans
filename,scene_chr591_q3_s30
info,scene_chr591_q3_s30
75,创世神话的内幕是什么？姬塔和冒险者的共通之处是怎么回事？众人眼前出现了许多新的谜题。
74,为了了解自己的过去，和这个世界的过去，夏蕾姆再度开启了空之旅程。
73,……呵呵呵！
72,是这样吗？你也有你自己的奇怪之处呢。
70,是吗……但愿如此。
68,谢谢。虽然你就是你，但这一点也和他很像。
66-sel3_txt,我也想知道
66-sel2_txt,是有意义的
66-sel1_txt,当然可以
66,我想知道自己的事，冒险者他们的事。即使它已经毫无意义。
65,现世与幽世……空与星与赤色地平……
64,姬塔，我能在船上再多待一阵吗？我想看看如今这个世界。
63,…………
62,抱歉。之前一直用别的名字叫你。总觉得你和他非常相似。
61,嗯……？冒险者——啊是姬塔啊。
59,但是如今才明白这已经是未来——
58,只要失去的记忆恢复，就能知道真相了吧。
57,都与冒险者有关。<br>与他在那个世界结束的旅途。
56,创世神话的内幕……<br>人与神战斗的理由……<br>我在箱子里沉眠的原因……
52,啊……<br>是夏蕾姆那里……
51,嗯？<br>姬塔？要去哪啊？
49,（必须先看看情况才行……）
48,（轻易地刺激她不知道会发生什么）
47,(现在的夏蕾姆还是不确定因素……)
46,…………
45,看起来很悲伤……<br>虽然我也很想为她做些什么……
44,嗯……夏蕾姆好像一直在烦恼啊……
40,这里已经谁都……<br>在这个世界，冒险者和他的同伴已经……
39,这里就是现实……<br>是在我生活的世界的延长线上……
38,不是梦啊……
37,再次起航的甲板前方，<br>夏蕾姆在眺望着天空。
36,虽然与预料的形式不同，<br>但总算还是完成了委托。
35,在打倒洞窟里的幽世存在后，<br>一行人发现了昏迷的魔法学者。
29,冒险者。<br>告诉我更多关于旅行的事，那些你走过的路——
28,看来有必要观察一下……
27,这种价值观是异端……？还是天意的范畴……？
26,但是我想看看——。<br>冒险者的眼中燃着好奇心的火焰。
25,实际上你确实快饿死了。<br>然后就会成为肉食动物的食物吧。
24,愚蠢。<br>就为了这个离开定居的地点到处漂泊？
23,…………
22,旅行……？<br>为了见到这个世界的尽头……？
21,冒险者急忙解释，<br>自己是在环游世界时由于太饿而在这里失去了意识。
20,哈……？<br>你在开玩笑吗……？
18,所以我要求你立刻回答我的问题。<br>你是阻碍这个世界完成的异端者吗——
17,用人类也能听懂的话说……<br>如果你怀有不安定的思想，我就会把你排除掉。
16,笨蛋。<br>我可以把你的沉默视作反抗。<br>你应该听说过审问者的传闻吧。
15,但是当内心斟酌着如何回答时，<br>少女的目光暗了下来。
14,渐渐地，<br>由于昏迷造成的意识混乱逐渐恢复，<br>冒险者想起了在这里的经过。
13,为什么在这……？<br>为什么会问这种问题？
12,那么我问你。<br>你为什么在这里？这可不是人类居住的地方。
11,回过神来了吗。<br>你打算麻烦我到什么程度啊。
10,眼前站着一位少女，<br>投来高傲不逊的锐利视线。
9,冰冷的手指捏着脸颊，<br>冒险者的眼睛很快睁开了。
3,你该醒了。<br>你的心脏还在跳动。<br>你想就这么死在这吗。
2,喂……<br>我说 喂。
0-synopsis,姬塔他们击退了幽世的存在。之后，夏蕾姆想起了一部分过去的记忆，是关于对“冒险者”的思念。但是她的记忆并没有全部恢复。为了弄清创世神话的真相，了解自己和冒险者的事，她想看看现在这个世界，于是提出和姬塔他们一同踏上旅程。
0-chapter_name,宵之梦路
