id,trans
filename,scene_chr734_q3_s10
translator,雨降星
info,scene_chr734_q3_s10
173,尤妮品尝着在口中滚来滚去的糖珠，\n脸颊微微松弛下来。
172,嗯……很甜。
171,怎么样？好吃吗？
170,……啊呜。
169,那……
168,当然可以啦。\n都已经送你了。
167,我可以吃掉它吗？
166,等你吃下去再作评价啦。
165,我大概也很喜欢。
164,尤妮再次把淡紫色的糖珠举到面前。
163,还有这颗糖……
162,没事。我拿着。
161,抱歉哦，小尤妮。\n糖没弄掉吧？
160,你看看，都把人家吓坏了。
159,哇……！
158,呀——!！\n真可爱！！
157,还有……\n我好像也很喜欢你们。
156,接着，除了科斯莫斯，\n我好像也喜欢姬塔和露莉亚。
155,嗯嗯♪\n这件衣服很漂亮，很适合你！
154,但我喜欢科斯莫斯给我的这件衣服，\n想再穿一阵子。
153,嗯，我今天……\n本来是来买新衣服的……
152,小尤妮也来一起做些开心的事、\n寻找新的爱好吧！
151,你们两个，好开心哦。
150,等等，萨提洛斯！？\n别说胡话啦！
149,不过很快就能习惯的！
148,小美杜这种性格叫做“傲娇”啦。\n稍微有点麻烦呢。
147,是哪边呢？
146,我也没说讨厌吧！？
145,哎——！\n那是讨厌喽——！？
144,别随口替我回答！
143,一定很喜欢啦——！
142,美杜莎喜欢萨提洛斯吗？
141,超——喜欢的！
140,萨提洛斯喜欢美杜莎吗？
139,啊——真是的！\n大庭广众的不要随便抱过来啊！
138,我好开心——！！
137,呀——！\n原来小美杜眼中的我是这样的呀——！？
136,而且，寻找爱好正是萨提洛斯所擅长的。
135,这家伙嗨成这样就什么话都听不进去了，\n放弃吧，尤妮。
134,那是当然啦~
133,是这样吗？
132,连人类和星晶兽都能成为朋友。\n我们要做朋友肯定很简单啦！
131,呵呵！\n那种小事不用在意啦~！\n我们都是自星而生的对吧？
130,我也不清楚自己严格意义上\n到底算不算星晶兽……
129,星友……\n是指星晶兽朋友对吧？
128,然后和大家一起，\n去探索更多兴趣爱好怎么样？
127,小尤妮也来加入星友会吧！
126,我想出个非常棒的点子！
125,！？干嘛，突然叫这么大声！
124,对啦！！
123,很有趣呢。
122,那些事听起来……
121,他还说要画画，\n我都觉得他马上就要办个人画展了。
120,他说读书是自己的兴趣，\n结果连观光手册都看得津津有味……
119,哪吒他超认真的，\n做什么事情都非常投入呢~
118,看看哪吒吧。\n那家伙这也感兴趣那也感兴趣，\n就像人类一样呢。
117,喜欢的东西，想做的事，越多越开心！
116,对啊~！
115,科斯莫斯以外的？
114,除了科斯莫斯，\n你也可以去寻找更多喜欢的东西啊。
113,……嗯。\n可能是这样吧。
112,喜欢的东西尽情喜欢就好！
111,我会喜欢姐姐们，\n也不单是因为我们被创造出来的时候是姐妹。
110,是啊。\n创生的时候是什么关系，\n不过是个契机罢了。
109,因为能从你身上感到浓厚的爱。
108,果然小尤妮很喜欢科斯莫斯小姐啊。\n你真的很重视她。
107,嗯。这不就行了？
106,不是因为她拜托了我……\n也没有把它当作任务，\n我只是想这么做。
105,但是，也许，完成科斯莫斯的心愿\n就是我想做的事。
104,我还不太清楚……
103,不仅是完成科斯莫斯小姐的心愿，\n尤妮你也可以去做自己想做的事啊。
102,同时追求好几种也是可以的。
101,是的。\n所以该做的事、想做的事，\n还有喜欢的东西……
100,全部……
97,职责、心愿、祈祷……\n是可以全部拥有的！
94,听我说，小尤妮。\n露莉亚不是说过嘛。
93,还能有别的原因吗？
92,只是因为这样？
91,是的。
90,所以才会跟姬塔他们一起旅行啊。
89,为了见证科斯莫斯无法见到的、\n空之世界的未来。\n所以……
88,是的。\n因为科斯莫斯的心愿，\n我现在才能以这个姿态存在于此。
87,嗯？\n听说你原来是那两只白龙来着。
86,能称得上喜欢吗……\n我曾是科斯莫斯的使者。\n身为那种存在，自然会……
85,你真的好喜欢科斯莫斯啊。
84,亮闪闪的……\n科斯莫斯也会喜欢吗……？
83,尤妮从美杜莎手里接过糖珠，\n轻轻地举起它，对准日光。
82,是吗……
81,是啊。\n是漂亮的淡紫色！
80,我的眼睛，是这种颜色？
79,美杜莎从袋子里掏出一颗淡紫色的糖珠。
78,这个怎么样？\n像你的眼睛一样，很漂亮吧？
77,哦——是嘛。\n也是，那么……
76,我没吃过，所以不知道。
75,尤妮看着敞开的糖袋，摇了摇头。
73,看，你喜欢哪种？
71,正好，我也分点糖给你吧。\n你要什么样的？
70,不过，跟我们在一起就没事了。
69,这样啊。\n这附近人太多了。
68,嗯，我们走散了。
67,哟这不是尤妮嘛。\n你一个人？\n你本来不是在跟姬塔他们一起购物嘛？
66,呀——送给我吗？\n谢谢你~
65,啊，萨提洛斯！\n找到你喜欢的了！
64,但我就是喜欢小美杜这一点啊~
63,不过，小美杜属于那种会把自己的好恶\n表现得格外明显的类型……
62,……嗯。\n我见过，大致能理解。
61,呵呵！\n星晶兽也是有自己喜欢和不喜欢的东西的。
60,是吗……
59,是啊。\n颜色、口味什么的，有很多不同之处呢~
58,糖之间有差别吗？
57,各种的数量是不是放得不太均匀啊……？\n嗯嗯……我记得哪吒确实说过他喜欢这种来着……
56,她刚才买了一袋糖果，\n正在找她喜欢的颜色和口味的糖~
55,美杜莎在做什么？
54,哦，这种我不是很喜欢，\n回去给巴尔好了。\n还有……嗯……
53,顺着萨提洛斯指的方向看过去，\n美杜莎正露出一副非常头疼的表情，\n朝手上拿着的袋子里张望。
52,嗯……没有……
51,看啊，看那边~
50,萨提洛斯？
49,小尤妮！
48,咦？
47,我想会这样的不只是人类哦？
46,人类……表情变化得真快。\n一定是因为他们拥有多种多样的情感吧……
45,尤妮呆呆地目送老婆婆\n牵着两个孙子的手远去。
43,那我们回去吧。
42,真的吗！\n我要吃薄饼！
41,奶奶回家就给你们烤松松软软的薄饼。
40,不！\n现在就要吃！
39,等回家了就给你吃小点心。
38,奶奶！\n我饿了！\n买糖吃嘛！
37,女孩摇晃着老婆婆的手大声吵闹起来，\n尤妮只是静静地注视着她。
35,哎——为什么！？\n猫咪~！
34,是啊。\n但是不可以一个人追过去哦。
33,猫咪真可爱啊。
32,奶奶快看！\n那里有猫咪耶！
31,向尤妮点头致意后，\n老婆婆握起不远处的一个小孩的手。
30,嗯，我没事。\n我才应该向你道歉。
29,抱歉撞了你。\n没事吧？
28,哎呀。
27,啊……
25,尤妮一冲动差点飘起来，\n她急忙刹住脚步停在地上。
24,对了，不行……
22,尤妮试图追上前往道路另一侧的露莉亚等人，\n改变了身体的方向。
21,我们出发吧！
20,好嘞！\n去下一家看看吧！
19,这片街区很大。\n还有很多地方可以逛！
18,还没有……
17,说到衣服，你找到喜欢的了吗？
16,露莉亚说的对……
15,啊！但衣服还是要穿的……！
14,是啊。\n稍微飘起来一点不要紧的。
13,这样啊……\n我倒是觉得你也不用太在意。
12,在人多的地方，\n还是低调点为好。
11,嗯。因为人不会轻动不动就飘起来对吧？
10,话说，今天你没有飘，\n而是好端端地在地上走呢。
9,我之前一直在看着空之世界，\n但亲自来这里还是头一回。
8,奇妙？
7,不是的，我不累。\n只是心情变得有些奇妙……
6,是人太多让你觉得累了吗？
5,你怎么了？\n一副呆呆的样子。
4,小尤妮？
2,啊，那边也有服装店！\n这回去那儿看看吧。
1,当天下午。\n一行人领着尤妮走在热闹的街道上。
0-synopsis,在街头购物的途中，尤妮遇到了萨提洛斯和美杜莎。尤妮说自己来这里是为了见证科斯莫斯无法看到的、空之世界的未来。但萨提洛斯和美杜莎告诉她，她也可以去寻找其他喜欢的东西和想做的事情。尤妮在萨提洛斯的提议下加入星友会。在与萨提洛斯她们的对话中，尤妮受到了启发，开始逐渐察觉到自己心中多种多样的“喜欢”。
0-chapter_name,我的喜好
