id,trans
filename,scene_chr551_q2_s10
translator,九鸟&炎溪
info,scene_chr551_q2_s10
90,90.两位长着翅膀的邮递员拿着珍贵的货物，迅速地向天空的另一端飞去。
89,当然了哈酱，让我们保护着花、全速向下一个岛进发吧！
88,玛酱，小心别让花被风吹散了。
83,母子俩朝飞向下一座岛的双子挥手道别。
82,能帮上你们的忙真是太好了。那么，请一路小心。
81,谢谢你婆婆！多亏了您的帮忙，我们会把这封信送到的！
80,我明白了，交给我们吧。我们会把新鲜的花束送到您女儿手上的。
79,她很喜欢这些花，可花在送到那座岛上时就已经枯萎了。
78,我的女儿也去了那个女孩搬去的岛，她已经在那结婚成家了。
77,老妇人从她家的花园里摘了一些花，并将它们包成了一个漂亮的花束。
76,没问题，您想让我们送什么呢？
75,真厉害啊，这样的话，能麻烦你们也帮我一个忙吗？
74,是啊，她们刚从山那边帮我的朋友把他的结婚贺卡送来呢。
73,哦呀，真的吗？
72,奥古斯特对我们来说也只是一箭之遥而已。
71,不必担心，我们有翅膀！
70,除此之外，因为飞艇几天才会来这座岛一次，所以想去别的岛甚至要花上一个月。
69,根据老妇人的记忆，那个女孩搬去了一座乘飞艇都要花上数天的岛。
68,唔...让我想想...
67,这样啊...那婆婆，你知道她们搬到哪去了吗？
66,66.不。在她们的村子即将被袭击的前几天，她们一家就收拾行李离开，去了别的岛。
65,那她现在住在这个村子吗？
64,她是那个村庄唯一去过奥古斯特岛的女孩。
63,你们说的一定是曾住在这附近的那个孩子了。
62,玛露特给她看了老人信封上写的名字并解释了前因后果。老妇人专心地听着，然后会意地点了点头。
61,是的，这个名字您觉得耳熟吗?
60,哦呀，这儿好久都没来客人了。你们是在找被毁村子的幸存者吗？
59,59.男人说完便转身进了屋，不一会儿，一位老妇人拖着脚到了门口。
53,对了，也许我妈会知道些什么。
52,这样啊..这下难办了，这可是我们唯一的线索了
51,抱歉，我对她没有什么印象呢。
50,当哈露特和玛露特描述完女孩的一些细节后，这个男人皱着眉陷入了沉思。
49,其实我们正在寻找其中的某个人。
48,啊..是有几个人呢，他们怎么了吗？
47,你的朋友告诉我们很久以前有个村子被怪兽袭击，而幸存者都逃到这个村子来了。
46,啊，对了对了，小哥你有听过这件事吗？
45,双子也回以男人微笑。
44,哈哈..都已经习惯了，无论如何谢谢你们把信送来。
43,原来如此，这边的住民一定很难受吧。
42,所以一般来说信要过个好几周才能送到。
41,不，我们这里没什么邮递员，所以都是拜托旅行者送信。
40,他很久才会回一次信吗？
39,不，只是平时不会这么快就收到回信，所以有些吃惊。
38,你们之间发生过什么吗？
37,37.双子交换了一个疑惑的眼神，这并不是她们所期待的反应。
36,你们说的难道是山那边的那家伙吗？难以置信..
35,你好，你的朋友托我们送信给你。
34,哈露特和玛露特飞过了这座山，来到了一个森林中的村庄。刚落地，她们就去送了结婚贺卡。
29,29.双子再次道了别后，飞向空中，朝着另外一个村庄出发。
28,小哥你的信件一定会安全送达的。
27,没关系，我们是邮递员呀，这点小事轻轻松松。
26,谢谢，虽然我真的很想亲自交给他，但一直没时间。
25,25.双子点了点头接过了卡片。
24,我的一位童年玩伴最近结婚了，所以我想给他送一张结婚贺卡。
23,嗯，当然！你要给谁寄信呢？
22,两位小姐也要往山的那边走对吧，那能不能顺便也帮我送一封信呢？
21,21.在双子准备出发时，村民叫住了她们。
20,请等一下！
19,山那边的村子么，谢谢！我们会去看看的。
18,我记得还有一些幸存者，他们逃去山那边的村子里避难了。
17,毁坏了？！那住在村子的人们也...
16,但我听说这村子以前倒了大霉，好像被一群魔物完全毁坏了。
15,啊...这大概就是附近的那个村子吧。
14,14.哈露特把写着目的地名字的纸递给这个村民看。
13,我们在找这个村子，请问你知道怎么去那里吗？
12,不好意思吓到你了，我们正在找人。
11,哇，什么鬼？！
4,真的诶，过去看看吧！
3,看，哈酱，那边有个房子！
2,根据老爷爷的话，那个女孩以前住的村子应该就在这附近...
1,1.哈露特和玛露特根据老人的指示来到了一座离奥古斯特很远的岛上。
0-synopsis,双子到达了女孩最后所居住的岛上，却发现她的村子早已被魔物摧毁了。一位当地的岛民说女孩一家已经搬到别的岛上去了。得知双子要前往那座岛，岛民便也请求双子帮他送些东西去那。
0-chapter_name,送去我们的思念
