id,trans
filename,scene_chr128_q3_s20
info,scene_chr128_q3_s20
50,<span class='scene-font-katari'>就这样，萨拉萨</span><br><span class='scene-font-katari'>在与姬塔的旅行中，</span><br><span class='scene-font-katari'>寻求真正的强大。</span>
49,<span class='scene-font-katari'>接受了残酷的现实，</span><br><span class='scene-font-katari'>萨拉萨有了新的觉悟。</span>
48,不会被谁吃了……<br>也不会不见的吧……<br>我们约好了。
47,我说，姬塔。<br>我会变得更强的……<br>姬塔会陪在我身边的吧。
46,我想变得更强……<br>我不想再尝到这样的滋味了，<br>我要变得更强……
45,我……<br>虽然是最强的，但还很弱……
44,我相信你们<br>会告诉我<br>我痛苦的理由……
43,嗯……我明白了。<br>那与我约定吧。
42,我虽然是笨蛋……<br>但我觉得这就算不是笨蛋，<br>也很难找出答案。
41,是吗…<br>是这样的……
40-sel2_txt,<span class='scene-font-katari'>我们一起想吧</span>
40-sel1_txt,<span class='scene-font-katari'>不知道</span>
40,告诉我……最强是什么啊？<br>我明明是最强的……<br>为什么会觉得这么痛苦？
39,看见那孩子的脸……<br>不知道为什么……<br>不知道为什么做不到……
38,想从那些家伙手中<br>夺回森林……<br>但我做不到……
37,看到那座城镇的时候……<br>当我知道森林被吃掉的时候……<br>我想要毁了那座城镇。
36,被那些……<br>那些看起来很弱的家伙……<br>甚至不能跟魔物一战的家伙……
35,那座森林<br>帮我养育成了最强的……<br>……但她却被吃掉了。
34,我说，姬塔……<br>我很强吧？<br>我是最强的吧？
33,…………
31,<span class='scene-font-katari'>追着突然跑开的萨拉萨，</span><br><span class='scene-font-katari'>姬塔等人</span><br><span class='scene-font-katari'>回到了格兰塞法。</span>
29,大姐姐……？
28,萨拉萨！？<br>请等等！　萨拉萨！
27,啊，喂！<br>你要去哪里！？
26,……！！
25,！？
24,呀！？
23,那座森林是那么的强……<br>怎么……<br>怎么会输个这些看起来这么弱的家伙！？
22,养育我长大的……<br>养育我长大的森林……
21,大姐姐……？
20,为什么……<br>做过我床的树呢……？<br>兔子在哪里……
19,不会错的……<br>从那片草原，<br>在做过记号的地方转弯……
18,这里……<br>本来有我长大的森林……
17,诶？<br>但是这里并没有森林……
16,这里是……<br>我的森林……
15,嗯嗯？　怎么了？<br>这样没精神很少见啊！
14,怎么这样……
12,<span class='scene-font-katari'>然后所达到的是，</span><br><span class='scene-font-katari'>人头攒动的</span><br><span class='scene-font-katari'>整顿有加的城镇。</span>
11,<span class='scene-font-katari'>姬塔一行人，</span><br><span class='scene-font-katari'>在孩子的带领下穿过草原。</span>
9,原来如此……
8,嗯，是这边没错……？
7,喂喂……<br>真的是这边没错吗？
6,嗯……<br>不，我以为我是搞错了……<br>这个方向是……
5,怎么了？　萨拉萨。<br>表情很为难的样子……
4,…………
3,呜啊……<br>那个小子<br>是从这么远的地方过来的……
2,嗯……啊啊……
1,这边！<br>是这边！　快点快点！
0-synopsis,到达城镇之时萨拉萨的表情变得严峻，突然跑开了。面对追来的姬塔一行人，萨拉萨告诉她们这座城镇原来是她故乡的森林。萨拉萨一边接受了残酷的事实，一边对姬塔说「你可不要被谁吃了，或者不见了啊」。
0-chapter_name,真正的强大
