id,trans
filename,scene_evt241216_cp1_q1_s10
translator,煌月夜
info,scene_evt241216_cp1_q1_s10
53,哎，你在忙吗。那我等下再来吧……
46,哦，你在这里啊，艾奇尔巴阁下！我想和你谈谈关于送给我家孩子的礼物——
43,看你们兴致勃勃的，可是圣诞老人真的会被这种把戏骗来吗……？
42,那么目标就是，我和瓦姆杜斯以及拉结尔来学习如何扮演小孩？我就学着丫丫的样子——
41,哦！
40,——那就称之为，<span class='scene-font-4'><span class='scene-font-spword'>「过家家大作战」</span>！
39,有你们帮忙就太可靠了！今年一定要让圣诞老人来到我的枕边！
38,什么……！没想到获得这么多帮手！
37,瓦姆也要。大家一起过平安夜，好像很有趣！
36,圣诞老人有来过丫丫这里哦。所以芙莉亚姐姐只要模仿丫丫就行了！
35,这或许是揭示圣诞之神秘的关键……！就让我天司拉杰尔来帮忙吧！
34,真是有趣的实验。圣诞老人是否会来见模仿小孩举止的大人呢……
29,你们是……！ ？
28,——你似乎有烦恼的样子。
27,果然是不可能的事。我是做不到像个小孩一样——
26,……但是，我不仅没有进入小孩的角色，反而让小孩感到害怕。对不起，阿尔多拉。
25,那也太唐突太无礼了。要表达感谢，就必须尊重对方的规矩。
24,这也太绕圈子了吧……直接去圣诞岛不就解决了吗？
23,于是今年就回到原点，我决定活用我可爱美少女的外表！
22,虽然每次平安夜都做了许多请他来的准备，但是到目前为止还没有真正尝试过……
21,因为圣诞老人也会给伊迪尔瓦的孩子们送礼物，我一直想要向他表示感谢。
20,这个嘛……当然，这可不是我的私欲，是有正当原因的。
19,因为想让圣诞老人来，所以装作小孩的样子……？
13,对不起，阿尔多拉小姐和艾奇尔巴先生。由我来解释吧。
12,怎么了，芙莉亚。大家都在谈论你的事哦？听说你今天心情不好。
11,爸爸，这边这边！
8,唔唔唔唔……起、起码看起来还不错吧！看起来！
7,您明白了吗，吾王。您模仿得似是而非。
5,爸爸 ！ ！芙莉亚小姐，芙莉亚小姐变得好奇怪啊……！
2,小・阿・尔・多・拉～♪\n我是芙莉亚的说♪\n你陪我玩好不好♪
1,在临近圣诞夜的某一天──
