id,trans
filename,scene_ult_chr492_ep2_q1_s10_a2
translator,Ekko_Echo
info,scene_ult_chr492_ep2_q1_s10_a2
188,阿拉南和太阳、\n向陷入动摇的加兰达\n投以锐利的眼神。
186,哦、约好了。
185,但是，约好了。
184,我又不是小孩，别把人瞧扁了。
183,好样的，做得不错。\n待会儿想要什么，\n都给你买！
182,在缠绕着火焰的阿拉南与太阳背后，\n显露出了\n那些成功获救的贵宾们。
181,在此之前……\n先感谢我救他们出来。\n因为人太多所以很辛苦。
180,好了，忏悔的时候到了。
178,是、是怎么从那里……
159,啊！？
158,胡说八道，蠢蛋。
157,他们为我们施以的功德，\n都将为村庄的发展贡献力量！\n一切都在太阳神的庇佑之下！
156,通过阿拉南司祭的殉道，\n贵宾们前往了乐园。
155,凝视着包裹火焰，\n熊熊燃烧的高台，\n加兰达笑容满面。
154,引导他们吧……
153,太阳神啊，恳请……\n引导他们进入乐园。
147,现在不是说这种话的时候！\n老夫可不能\n就这么死在这里！
146,不过，要是把这种事展现给年轻人看，\n用来做禁毒启蒙的话──
145,宗教不就是庆典、礼拜，\n以及陶醉感吗？\n但那陶醉若是麻药带来的，就让人受不了了。
144,……麻药的恐怖效用\n完全展现了啊。
143,只要和司祭大人在一起……\n就会变得更加、更加幸福……！
142,只有这么做……\n才能进入乐园……\n嘿嘿嘿……
141,喂、你们！\n打算跳到什么时候啊！\n再这样下去就都要被烧死了啊！
140,我们的太阳神啊……\n请带走信仰虔诚的他们那宝贵的生命，\n引导他们进入乐园……
139,是让那些被骗的老头老太被烧死，\n然后高呼万岁吗！？\n可恶啊！　开什么玩笑……！
138,喂喂喂、\n什么叫许愿啊！？
135,与其说是房子，不如说是庆典用的高台。\n到了庆典那天，\n我们会许愿后将它焚烧。
134,不过那什么？\n砍这么多木头，\n是打算盖房子吗？
131,哎哟……！\n等、等一下……\n难道打算连人带台一同烧掉吗！？
127,那么一切，都是老夫的错。\n既然如此，清理残局也是……\n老夫的使命……！
126,若老夫曾宣扬的……\n错误教义\n点燃了加兰达的欲望之火的话……
125,为行善而行恶亦为善……
124,恐怕加兰达就是利用这些麻药草，\n巧妙地洗脑和控制了\n这个村庄中纯真的村民们。
123,那是能让人产生极大的幸福感和愉悦感，\n同时令思维和痛觉变迟钝的麻药草──
122,那些田里面种的，\n不就是麻药草吗！
121,这是……\n<span class='scene-font-spword'>迷幻香烟</span>的气味……
120,老夫真是的……\n直到现在才想起来，\n真是个傻瓜，可恶……！
119,…………
118,啊啊、\n终于，终于能去乐园了……！
117,嘿、嘿嘿……
116,回过神来，\n高台内已经弥漫着\n一股带着甜香的烟雾。
115,咳咳……\n这个气味是……？
112,喀～～不行了这下。\n已经连思维能力都丧失了……
111,<span class='scene-font-4'>啊ー哈哈哈！</span>\n乐园万岁！　乐园万ー岁！
110,喂，你们！\n差不多、该意识到\n自己被骗了吧！
109,你这……\n被欲望蒙蔽的假司祭混蛋……！
108,摒弃一切欲望，\n唯独皈依我等的太阳神。\n如此，即从罪恶中解脱。
107,我们亲爱的信徒们，\n将希望托付于后人，\n动身前往乐园。
106,此时，仿佛在煽动他的愤怒，\n外面的鼓声猛然加剧，\n加兰达那高高在上的声音响了起来。
105,得知真相后，\n阿拉南怒火中烧。
104,（加兰达这家伙……\n一直口口声声说些伟大的话，\n结果却为了钱，唆使了这些人……！）
103,（但是，\n那是欲望当中最为贪婪的……\n不该去追求的……）
102,（不死不灭是一种希望嘛。\n对老年人来说，简直是梦寐以求，\n这种欲望是可以理解的……）
101,没错。我们所有人、\n都向教会捐赠了财产……\n然后就得到了去乐园的保证～！
100,难道、这里的每个人……
99,买的！？
98,嘿嘿嘿……！\n怎么说呢……\n是从加兰达司祭大人那里买来的！
97,被称为贵宾的老人，\n将掉落的赎罪券塞回怀里，\n露出了愉快的笑容。
96,你们是怎么\n得到这个的？
95,（而且，上面没有任何雷纳特斯教的印章，\n是个彻头彻尾的假货……）
94,也就是、所谓的免罪符。
93,赎罪券──\n是通过分配教会积累的功德，\n来减轻罪责的一种凭证。
92,这、这该不是……\n赎罪券吧！？
91,嗯……？\n等、等一下……！！
90,就在这时，\n他们的衣兜里掉落出了一张\n整齐折叠的纸。
89,这些老人围着阿拉南，\n以他为中心狂喜地跳起舞来。
88,啊ー哈哈哈哈！
87,乐园万岁！
86,乐园万岁！
85,俺们要去乐园的话，\n可不能让功德流失呀！
84,啊～……那可不行。\n解开了的话你会跑掉吧？
83,你们想怎么谢都行，\n但不好意思能不能\n把这些绳索解开啊？
82,太感谢了，太感谢了……
81,这次肯定会带来\n更大的功德。
80,阿拉南司祭大人是\n加兰达司祭大人的老朋友。
79,哦呀、\n阿拉南司祭大人醒了。
78,唔唔……\n这到底是怎么回事……
