id,trans
filename,scene_evt220429_cp6_q2_s10
translator,朔夜Rei
info,scene_evt220429_cp6_q2_s10
53,咿——哈——！！与恣意妄为自由同在！\n我等～～沙玛斯！！
52,咚咚哐咚咚……咚咚哐咚……
51,嗡……！
50,来吧，儿子们啊！！\n宴会重新开始啦！！！
49,竟然自投罗网……真是个滑稽的笨蛋啊。
48,那就是，不狠狠地把那个怪胎给揍扁怎么行啊！！
47,…………
46,因为我还有点事没做完呢～……
44,斯卡尔……！？
43,别胡扯了！！
42,我只需继承古扎雷萨大人的意志，实现野心即可！！
41,呼～呼～……不过，算了。\n即便没有你，夏玛斯教团也不会灭亡。
40,<span class='scene-font-4'>谈何自由！！</span>你这个追着古扎雷萨大人的幻影活到现在的小鬼啊啊！！
39,我得一个人活下去。\n<span class='scene-font-2'>作为一个孤高的男子汉，不再随波逐流……\n只是……自由地……</span>
38,老大已经……不在这个世上了。
37,而且……我在斯卡尔身上看到了！\n看到了男子气概和他的未来！！
36,但是！我察觉到了。那全是骗人的把戏……\n是我眼瞎了！
35,那又是为何……！？
34,我确实……在你身上……看到了老大的身影。
33,你不是向古扎雷萨大人发过誓吗啊！？\n要效忠于夏玛斯教团！！
32,但～是……吾辈无法接受啊……\n你究竟为何要倒戈！？
31,<span class='scene-font-4'>嚯～嚯嚯嚯嚯！</span>\n就算是你也开始累了嘛～
30,哈、哈……
24,然后，他看准驻所防备薄弱，一举将其压制，并将大门关闭。
23,尤斯缇斯轻盈地跳下猛战车，朝着守门人的驻所跑去。
22,姬塔、露莉亚。之后就拜托你们了。
21,笨蛋，别急着冲！！
20,莱萨利德～～！！\n我这就来，等我！！
19,就在他们眼前，莱萨利德正孤军奋战，对抗着陷入狂热的信徒们。
18,姬塔等人穿过微微敞开的大门，重返据点。
15,没问题。
14,你一个人行吗？
13,关门的事就交给我吧。
12,汪——呜！！
11,快、快、快～～！！
7,<span class='scene-font-4'>快啊啊啊！！</span>要是让他们先回到据点……门就会被关上的……！
6,喂、喂！你们看啊……\n他们该不会是要回据点吧？
5,<span class='scene-font-4'>等等、等等一下啊！！</span>\n为什么那些家伙会突然掉头啊？
4,这对信徒们来说出乎意料，猛追不舍的他们收不住势头，从姬塔一行人身边冲了过去。
3,北雪橇犬们用后腿在雪原上灵活地滑动，漂亮地掉转了方向。
2,汪——呜……！！
1,那么……我们要绕个大圈了，可别被甩下去\n啊喂！
0-synopsis,在据点内，莱萨利德正孤军奋战，与众多信徒对抗。然而寡不敌众，莱萨利德逐渐开始被压制。即便如此，已在斯卡尔身上看到男子气概与未来的莱萨利德从古扎雷萨的幻影中解放出来，宣言自己也要作为一个男子汉自由地活下去。就在此时，斯卡尔他们为了打倒莱洛古尔回到了据点。
0-chapter_name,第6话 亲手抓住自由
