id,trans
filename,scene_evt181014_cp6_q3_s10
info,scene_evt181014_cp6_q3_s10
198,<span class='scene-font-4'>碧！</span>
197,阿碧……
196,怎么……会这样……！
195,阿碧…………？
187,…………！！
186,<span class='scene-font-katari'>但是、</span><br><span class='scene-font-katari'>皮萨德所放出的黑暗的波动、</span><br><span class='scene-font-katari'>已经到了阿碧的眼前了。</span>
180,<span class='scene-font-kokoro'>（啊啊……会做的……</span><br><span class='scene-font-kokoro'>只要我还一息尚存……！）</span>
179,来吧、为了朋友们、为了姬塔<br>还有为了保伦他们！！
178,对于这份感情、我将报以<br>我最大的力量来回应。
177,而且你也十分地<br>为保伦着想。
176,保伦非常喜欢你。<br>你要是不在了<br>会非常悲伤吧。
175,<span class='scene-font-kokoro'>（好像、在发着光……</span><br><span class='scene-font-kokoro'>虽然看不太清……）</span>
173,能看到那个吗。阿碧。
172,你和保伦的强烈的想法<br>传达到了。这将我和你<br>虽然极为短暂、但联系到了一起。
171,我是光之园的女王。
170,<span class='scene-font-kokoro'>（你是谁、大姐姐……）</span>
166,能听到吗、阿碧。
155,<span class='scene-font-kokoro'>（嗯……这是什么……</span><br><span class='scene-font-kokoro'>貌似、在发着光……？）</span>
154,<span class='scene-font-katari'>伴随着保伦的吼声、</span><br><span class='scene-font-katari'>阿碧的身旁有什么放出了光芒。</span>
148,不要……<br><span class='scene-font-4'>不要欺负阿碧～波波っ！！</span>
147,不可以对阿碧、做这么过分的事情～波波……！
146,<span class='scene-font-4'>接招っ！</span>
145,<span class='scene-font-kokoro'>（已经没法睁开眼睛了……）</span>
139,啊啊、可恶……<br>虽然是想那样做……
138,阿碧、快逃啊～波波……！
137,<span class='scene-font-katari'>皮萨德的手中收束着黑暗的力量。</span>
133,<span class='scene-font-4'>哈啊啊啊啊啊……！</span>
132,那么为了表示对你的敬意、<br>就以我最大的力量送你去死吧！
131,还能起来吗。<br>这份不屈的精神倒是可以赞扬一番。
130,差不多、给我住口了<br>白脸混球……！
128,果然、是愚蠢之人。<br>被回忆所束缚<br>自行选择了满是伤痕的道路。
126,伙伴、非常重要的伙伴死掉<br>却只能眼睁睁地看着……那种回忆、<br>俺可不想再有了……！
124,呐、姬塔！<br>假、假的吧？　开玩笑的吧？<br>快回话啊、呐！　喂！
122,亻、俺才不要……！<br>那种……！
121,阿碧……看起来很痛～波波……<br>已经够了～波波……！
120,并不是、可以说放弃的啊<br>这个状况……
119,没关系、～波波……<br>保伦没关系的～波波……<br>所以……可以停下了～波波……
118,小鬼头……<br>你才是…没受伤吧……
117,碧、i……<br>没事吧……波波……
116,<span class='scene-font-katari'>被击飞出去、</span><br><span class='scene-font-katari'>终于用光了力气。</span>
115,哈、哈……
110,<span class='scene-font-katari'>这之后</span><br><span class='scene-font-katari'>勇敢地挺身而出的阿碧、</span><br><span class='scene-font-katari'>一动不动地──</span>
109,…………っ！
106,<span class='scene-font-4'>哈啊啊啊！</span>
105,求之不得！
104,有趣。<br>只要你还坚持的话、<br>我就不对你的同伴们出手。
103,稍等一下哟……！<br>俺马上就来救你了……！
102,碧……碧……
100,<span class='scene-font-katari'>皮萨德将抱在腰间、关着保伦的</span><br><span class='scene-font-katari'>胶囊给丢在一边。</span>
99,……如你所愿。
98,吵死了！<br>俺也是有脾气的！<br>抛弃同伴什么的谁做得出来啊！
97,咕咳……！
96,你的同伴也在那样说哦。
95,求你了！　快逃吧！
93,呜啊！？
92,但、但是啊……<br>没人阻止这混蛋的话……
89,阿碧、停手吧！
87,呜啊！？
86,畜生……<br>还、没见分晓……！
84,停手吧。<br>你还不够格。
82,呜啊！？
81,……哼。
77,同伴被打伤、被当做笨蛋<br>谁还能默不作声啊！<br>你这、涂白的混蛋！
76,哼……你能做到什么呢。
75,碧！？<br>阿碧！？<br>阿碧！？
74,俺可是、还有的是力气呢……<br>我来做你们的对手！
73,…………？
72,<span class='scene-font-4'>住手！</span>
71,…………！
70,<span class='scene-font-4'>萨凯那！</span>
69,这样就、结束了！<br>动手萨凯那！
67,哼……现在的你们能做到什么。<br>残破不堪<br>连站都站不稳了不是吗。
66,<span class='scene-font-katari'>汇合、集中两人的力量、</span><br><span class='scene-font-katari'>一定能找到什么解决的办法吧。</span>
65,<span class='scene-font-katari'>向着被萨凯那阻隔的对方</span><br><span class='scene-font-katari'>相互交换了眼神的黑天使与雪天使。</span>
64,痛苦的事情也好、难过的事情也好……<br>明明并不是为了<br>伤害他人而存在的……！
63,真让人上火……！<br>利用别人的回忆、<br>做出这样的事情……！
62,花言巧语也改变不了结果。<br>那家伙会把你们打倒、之后<br>将这个世界也吞噬得一干二净。
61,住……住口一身白的混蛋！<br>俺们可没这么想过！
60,我……<br>我、一直被关起来<br>才比较好吗……？
59,从你的记忆当中<br>孕育了如此深刻的黑暗。<br>这就是答案。
58,这种事……
57,被帝国军追赶、无法逃离<br>暴走的星晶兽的的回忆<br>对伙伴们而言是快乐的东西吗？
56,但是现在、现在在伤害着伙伴们的<br>并非其他而正是你自身回忆所拥有的力量。
55,但、但是！<br>我的旅途的回忆里、<br>也有许多快乐的事情……！
54,回忆什么的只不过是虚幻。<br>看看伯梅伦吧。被过去所束缚的人<br>会抱有憎恶之心而变得偏执、为了复仇而奔波。
53,我的、重要的回忆……<br>为什么……
52,这样下去会被干掉的～米波……？
51,……已经、不行了吗～梅波……！
50,<span class='scene-font-katari'>已经、</span><br><span class='scene-font-katari'>谁也没有战斗的力气了。</span>
49,呜呜……<br>姬塔……<br>黑天使、雪天使……
48,哈啊、哈啊……！
47,<span class='scene-font-katari'>但是受到敌人的反击、</span><br><span class='scene-font-katari'>无奈地倒下了。</span>
45,<span class='scene-font-4'>呜啊！</span>
42,<span class='scene-font-4'>萨凯那！</span>
41,<span class='scene-font-katari'>身体剧烈回转、</span><br><span class='scene-font-katari'>施放出踢击的雪天使。</span>
37,<span class='scene-font-4'>哒啊啊啊啊！</span>
36,拜托了……快让开！
34,咕咳……！<br>再不快点和黑天使汇合的话……<br>大家会被……！
30,<span class='scene-font-katari'>驱动着已经破烂不堪的身体、</span><br><span class='scene-font-katari'>黑天使向姬塔伸出手</span><br><span class='scene-font-katari'>想要帮一把手。</span>
29,快点、站起来……！<br>不然的话、会被干掉的！
27,哈啊、哈啊……<br>没事吧？　姬塔……
