id,trans
filename,scene_evt160930_1_cp4_q4_s10
info,scene_evt160930_1_cp4_q4_s10
81,朱丽叶在提伯尔特旁边哭个不停。
80,拼命忍住眼泪的朱丽叶，声音哽咽地哭了起来。
79,从朱丽叶的手掌中，提伯尔特的生命洒落出来。
78,谢谢……直到最后……还……关心我……
77,谢谢……提伯……尔特……
76,不要对……你自己的……感情……撒谎……
75,朱丽叶轻轻地握着手，仿佛在回答提伯尔特的问题。
74,好……
73,就是这样……。从今以后……也对……那家伙……笑一……下。
72,朱丽叶提着哭泣的脸庞对着提伯尔特笑了起来。
71,好的，是……这样……吗? ……提伯尔特？
70,哭着的脸……不适合你……
69,不……没什么……
68,…………提伯尔特。
67,一直以来……你的……笑容……
66,我……一直……
65,……不可能。在这种时候……
64,笑一个吧……
63,什么……提伯尔特？
62,朱丽叶……
61,提伯尔特看着朱丽叶快要哭出来的脸继续说道。
60,好的……
59,你……\n别去……表演……无聊的……角色……
58,提伯尔特持续用力地咳嗽起来。
57,提伯尔特！
56,咕哈……咳……
55,你的舞台……还在继续……。
54,演员……无法摆脱剧本………
53,哎?……
52,我……讨厌舞台……
51,而且……舞台剧也……还没看到最后……
50,不……不行……已经……约定好了……
49,抱歉啊……烤鱿鱼……可能已经不行了……
48,是的……在烤鱿鱼……抽绳子……在乐队的演奏下……大家还一起跳舞……
47,那天晚上……很开心……吧。
46,……怎么了? 提伯尔特。
45,祭典……
44,这样说着，脸上露出满足的提伯尔特。
43,这样……欠他的……我就……还清了……
42,……谢谢。因为你的话……我也确信了。
41,……提伯尔特。
40,罗密欧……不是凶手……
39,提伯尔特？……你刚才说什么……？
38,朱丽叶……不是……密欧
37,黛博拉说着，急忙跑出了房间。
36,大小姐! 我去叫医生来！
35,提伯尔特! 我的话就在这里！
34,咕……朱丽叶……吗。你在哪里……？
33,提伯尔特! \n是我! 是朱丽叶！
32,大小姐！提伯尔特大人恢复意识了！
31,呼……哈啊……咳咳………
30,就在那时，在凯普莱特的居城，朱丽叶陪伴在受伤的提伯尔特旁。
27,罗密欧一直叫着马奎西奥的名字，紧紧地抱着他。
26,罗密欧发出空洞哭声，马奎西奥离开了人世。
25,马奎西奥……马奎西奥! ! ! ! ！
24,但是，和你在一起很开心……\n再见了…罗密欧……我先去天堂……等…你…
23,你个傻子……跟你相处……搞这么认真……可再也不想干了……
22,让我来不可能的！不是你的话就没人当了！
21,这种事情早就订好了……当然是你来……
20,喂……坚持住！你要是走了……神王军队的指挥官的位置怎么办？
19,噶哈……
18,要是半吊子地活下去的话，本大爷我……就变成鬼过来找你……所以……
17,用你的双手……给这个国家的命运……做个了断……
16,无聊的战争什么的
15,喂，罗密欧……我啊……想把蒙太古和……凯普莱特之间的……
14,别再说话了……马奎西奥。
13,哈……所以我才说，那样的大小姐，我才不想去救……
12,没事的。你怎么可能会死在这种地方！
11,哈哈……视野开始模糊了。真是荒唐的结局啊……
10,塔楼离开了大教堂。
9,露莉亚……让他们俩单独待会儿吧。
8,怎么会……
7,听着罗密欧的悲嚎，劳伦斯无力地摇了摇头。
6,…………
5,劳伦斯神父! 快叫医生来！
4,即便如此……造成的伤害效果已经很足了……
3,……伤口很浅……对啊，并没有井那么深，也没有教堂大门那么宽……
2,马奎西奥！没问题的……不是什么大伤！
1,就在这时，马奎西奥像个断线的木偶一样倒在床上。
0,他们在劳伦斯的带领下，好不容易才回到了圣母院维罗纳。
0-synopsis,在劳伦斯的引导下逃进大教堂的姬塔一行。但马奎西奥的伤口很深，临终前托付罗密欧，一定要结束蒙太古和凯普莱特之间的战争。提伯尔特也在临终前给朱丽叶留下最后一句话后离开了人世。
0-chapter_name,第4话 两人的思念
