id,trans
filename,scene_fate_chr251_ep1
info,scene_fate_chr251_ep1
145,不知道那决意的姬塔和露莉亚，\n现在正沉浸在幸福的梦里。
144,扎哈梅丽娜一边看着露莉亚安详的睡脸，\n一边静静的下定决心。
143,……为了不变成那样，\n我要守护这些孩子们。\n为了让他们的笑容一直存在。
142,但是，可能会出现，\n利用这些孩子们的纯真，扭曲他们善意\n的家伙。
141,这些孩子们，\n一定能正确的使用自己的力量吧。
140,露莉亚……\n还有姬塔团长，\n真是温柔的好孩子呢……
139,…………
138,呋呋，可爱的睡脸。\n今天发生了许多事。\n累了呢。
137,呼……呼……
131,就这样，扎哈梅丽娜加入了伙伴，\n露莉亚干劲十足的带她参观了骑空艇。
130,看了你们亲切的样子……\n我想一起旅行一定会很愉快吧！
129,啊啦啊啦，谢谢。\n……呋呋，开心。
128,好的！\n那么事不宜迟，\n我来给带你看看骑空艇！
127,露莉亚也是骑空团的前辈。\n我不知道的事情，还请多多指点。
126,嘛，谢谢！\n请多关照，姬塔团长。
125,这不是正好吗？\n我们要去各个地方，\n增长见闻不是正合适吗！
124,我正在扩大见闻的旅途中。\n虽然不是骑空士……\n可以以见习的形式拜托你们吗？
123,啊嘞？\n扎哈梅丽娜也是骑空士吗？
122,……这样的话……\n那个，如果可以的话，\n我可以一同踏上旅途吗？……
121,虽然扎哈梅丽娜坚持拒绝，\n但姬塔强烈表示想向她道谢。
120,啊啦，谢礼什么的……
119,说起来，舞女姐姐照顾了露莉亚呐。\n需要道谢呀。
118,啊啦啊啦露莉亚。\n好啦，不哭啦。
117,不，不会在迷路啦！\n那种感受已经足够了……\n……唔。
116,确实那，不记得停降处的地方……\n或许会再次迷路……
115,呋呋……帮助城市居民的你们的话，\n遇到其他迷路的人的时候，\n也会做同样的事吧？
114,没什么，\n帮助有困难的人是应该做的事情。
113-sel2_txt,需要让露莉亚拿着迷失找寻的牌子呢……
113-sel1_txt,真是太感谢了！
113,恩！……啊，\n这位是扎哈梅丽娜。\n就是她把我带到这里的！
112,呋呋……\n太好了呢，露莉亚。
111,紧紧抱着放下心来泪流满面的露莉亚，\n姬塔也深深地松了口气。
110,迷路的时候，\n在想会不会再也见不到了，\n非常非常不安……！
109,唔……但，但是，\n还好，太好啦~！
108,这样啊……\n对不起，让你们担心了……
107,猜想你没准会回到骑空艇，\n我们也才刚回来。
106,露莉亚~！！\n真是的，去哪了！\n真让人担心！
105,寻找露莉亚的姬塔，\n发现了奔跑的她而向她跑去。
104,啊！\n是那个，那个就是我们的骑空艇！
101,母亲和男孩再三向她们道谢，\n扎哈梅丽娜和露莉亚走向了停降处。
100,在扎哈梅丽娜的带到后，城市的人去叫男孩子的妈妈前来，\n母子平安地重逢了。
99,好！
98,好——！
97,当然能见到！\n好了，你们俩打起精神来！
96,……真的吗！？\n能见到妈妈？
95,去那里问问，\n有没有见到你妈妈的人吧。
94,我记得，城市的人们\n应该做了一个失物募集的场所。\n我想那里的话人应该很多。
93,嗯……
92,哎！\n而且，还需要找寻男孩的母亲吧？
91,真的吗！？
90,原来如此，去停降处……\n那么就由我来带路。\n一起去吧？
89,但是不知道该怎么去\n停降处了……
88,……啊，是的……\n我大概，只要去了骑空艇的停降处，\n就会有伙伴在那里了……
87,那个……两位，\n是迷路了吗？
86,小心翼翼的靠近两人后，\n扎哈梅丽娜搭话到。
85,……恩。\n谢谢你，姐姐……
84,啊！但是不要担心哦！\n一定会把你带到你妈妈那里去的！
83,呃，嗯……其实，\n我也和朋友走散了……
82,……姐姐也，\n在找谁吗？
81,……唔。\n大家，都去哪里了呢……
80,怎，怎么办呢……\n……这时候，\n姬塔或碧在的话就好了……
79,露莉亚和男孩到处游走，\n但怎么也找不见男孩的母亲。
73,妈~妈~！
72,不好意思！\n这个孩子的母亲在这吗~！
71,见到露莉亚的扎哈梅丽娜吃惊的停下脚步，\n而露莉亚和男孩子迈开脚步离开了。
70,那个女生是，刚才的……！
69,……抽啼……嗯。
68,和姐姐一起，\n找妈妈吧！\n好吗？
67,啊！\n是和妈妈走散了啊。
66,抽啼……妈~妈，\n妈~妈你在哪~！
65,那个，没事吧？\n哪里受伤了吗……
64,哇呜~！\n哇呜~！
61,啊拉……？\n这是，小孩子的哭泣声……？
60,扎哈梅丽娜和商店街的阿姨分手，\n踏上寻找其他需要帮助之人的路。
59,嗯，真是好孩子！\n……好，这边收拾好了。\n真是谢谢你的帮忙！
58,这样吗……\n真是些好孩子呢。
57,明明很年轻但工作却很认真，\n打招呼也很认真，\n真想让我的笨儿子学习啊。
56,那边的骑空士们\n是和欧根一起帮忙巡视帮忙的。
55,啊，骑空士那里的蜥蜴酱呀！\n怎么叫来着呢……碑酱？
54,……那个，蜥蜴的话……\n应该是和蓝色头发的女孩子在一起的……
53,嘿嘿嘿！\n有困难的时候就该互相帮助。
52,谢谢啦。\n蜥蜴酱还有那边的骑空士，\n帮忙收拾真是太感谢啦！
51,我才不是蜥蜴！\n……嘛，我能飞，从上面看就是这么简单！
50,哦，是这个是这个！\n帮大忙了，蜥蜴酱！
49,喂~大叔！\n你在找的包是这个吗？\n在这里挂着呢！
46,帮忙捡拾垃圾的扎哈梅丽娜。\n她的耳边，传来了富有活力的声音。
45,请不要在意！\n能帮上忙，我感到很高兴。
44,不好意思啊，小姐。\n难得来到了奥古斯提，\n却让你帮忙收拾。
43,啊啦……这种地方，\n也有玻璃碎片……\n太危险了，得全都拣起来。
42,扎哈梅丽娜加入了城市的人们，\n帮助清理坏掉的东西工作。
39,嘛，糟糕！\n各种各样的东西都坏掉了呢……\n有什么我能帮忙的吗？
38,陷入沉思的扎哈梅丽娜，\n看着利维坦平息后的近海除的情形，\n脸色更加阴沉了。
37,至少，那个女孩子周围的人……\n如果没有恶念的话就好了……
36,……那样的话，也太危险了。\n人们都随着自己的喜好去做，\n无法想象自己该怎么做。
35,能把星晶兽巨大的力量变成自己的，\n这种事也做到……！
34,…………！？\n那个女孩子……\n正在吸收利维坦的力量吗……！？
30,——抱歉，很疼吧？\n但是，没事了哟，\n来吧，利维坦……
27,神色严峻看着利维坦的扎哈梅丽娜，\n看到了令人惊奇的一幕。
26,……星晶兽巨大的力量，\n果然……\n还是太危险了……
25,这样狂乱的大海，\n人也好动物也好，\n甚至连魔物也惧怕的不知所措……
24,……听说利维坦会给\n奥古斯提之海带来治愈之力的恩惠才是……
23,与渔夫分别的扎哈梅丽娜。\n紧紧盯着利维坦显现出的狂暴身姿。
22,渔夫级帮和其他渔夫们一起\n为了保护船而出动。
21,好了，该为船做点什么。
20,嘛……！谢谢！
19,等这场骚乱平息下来，\n我就把鱼拿到你住的旅馆去！作为谢礼！
18,对，我叫扎哈梅丽娜。
17,啊，还活蹦乱跳的呢！\n你好像是哪里来买鱼的巫女吧。
16,赶上真是太好了……\n没受伤吗？
15,……得，得救了……！\n谢谢！
7,危险！！
6,魔物袭向吃惊的渔师。\n不过……
5,哇啊啊啊啊！？\n为什么这里会有魔物出现……
4,咕唔唔唔唔唔！！
3,糟了，船要被卷走了，\n得想办法回到陆地上……
2,在海上帝国兵招致的大混乱中，\n奥古斯提的人们也受到波涛汹涌的大海的巨大影响。
1,与海同化的大星晶兽利维坦\n为了恢复腐败的伤害\n吞咽帝国的战舰。
0,由于帝国的兵器开发，大海开始腐坏，\n对此，奥古斯提以反抗的形式\n与帝国进入了战争状态。
0-synopsis,一时，扎哈梅丽娜看到了在奥古斯提列岛吸收利维坦力量的露莉亚，开始警戒她的力量。但是，看到为了帮助整理街道的姬塔他们，以及帮助迷路孩子的路莉亚，确信一行人的善良，为了守护露莉亚和姬塔不被他人利用，扎哈梅丽娜加入了姬塔的骑空团。
0-chapter_name,忧虑星之力的巫女
