id,trans
filename,scene_evt190228_cp6_q4_s20
info,scene_evt190228_cp6_q4_s20
123,姬塔……！<br>这次一定要和这家伙做个了断！
122,要来了，各位！<br>做好准备！
121,预料之外的是特异点，<br>你的存在。
120,预料之外的是特异点，<br>你的存在。
119,无论是四大天司的抵抗还是巴布的背叛，<br>Sandy的潜力也都在预想中。
118,但就是这样。<br>以特异点为起点的波纹，<br>迟早有一天定会成为巨大的潮流。
117,哈啊……<br>一下全出来了啊。
116,我们骑空团有不少小孩子，<br>抱歉能麻烦你消失吗？
115,迦南的禁售混蛋男~！<br>这次不会再让你逃走！
114,多谢……！<br>暂且拜托给你们了！
113,姬塔还有你们！<br>趁着弹雨还奏效赶紧重新整顿！
112,别大意！<br>这杀意和迦南时完全不同！
107,露莉亚，没受伤吧！<br>其他团员也来帮忙了！
106,增援……？<br>是那个骑空团的人吗？
98,<span class='scene-font-4'>哈啊！</span>
96,…………！
91,休，休想得逞——
90,姬塔！<br>他朝这里冲过来了！
88,特异点……<br>人类不要干涉天司之间的问题。
87,是我搞错了优先顺序。<br>看来应该先除掉你的。
86,…………
78,是啊……<br>抱歉，我没事了。<br>不会再被他的话迷惑了。
77,姬塔……<br>路西菲尔大人临终前的话……
76,呵……<br>你还真是奇怪的存在，<br>不过你的心意我收下了。
75,姬塔……？<br>为什么你也要道歉……
74,我都要完成和路西菲尔大人的约定！
73,是啊……我有约定在身……<br>不管别人说了什么……！
72,姬塔……
71-sel3_txt,<span class='scene-font-katari'>真正的临终是给你的传言</span>
71-sel2_txt,<span class='scene-font-katari'>找时间一起道歉吧</span>
71-sel1_txt,<span class='scene-font-katari'>想想那个约定</span>
71,…………
70,站起来，这都是他的诡辩！
69,好过分……<br>竟然玩弄圣德芬的心……<br>就连路西菲尔的心也……
68,变态堕天司……！<br>我绝对不会原谅你！
67,真好懂啊……<br>连调教的价值都没有。
66,…………
61,路西菲尔大人是我……
60,向堕天司复仇？<br>明明他是因为你才死的？
59,而且他之所以会露出破绽，<br>也是因为给你的灾厄善后。
56,摇篮……？<br>是灾厄后我睡的……
53,但是他没有，<br>因为那里放着天司摇篮。
52,但你不觉得奇怪吗？<br>即使他已经知道自己要死了，<br>也能多少做出反击才对。
51,地点是迦南的大厅。<br>巴布的黑枪贯穿了他的要害。<br>最初的一击决定了一半的胜负。
50,呵呵呵，你很想知道的吧？
49,圣德芬！<br>不要听狡知的谎话！
48,怎么能这样……<br>路西菲尔的临终……？
47,喂，喂！<br>那家伙又要说什么了！？
46,…………！？
45,我说Sandy？<br>我来告诉你路西菲尔的临终。
44,堕天司……！<br>我要用这一击来终结一切——
42,你应该是不安定的才对啊？
41,和我期待的有点不一样啊，<br>安定的Sandy一点魅力都没有。
37,嗯……？<br>小米迦你们也要开始了吗？
36,姬塔！<br>好机会，我们也要开始攻击了！
35,他的意志力比我想的还要坚定。<br>已经固定在圣德芬体内了。
34,米迦勒！<br>四大天司翅膀的安定是指……
33,加油！<br>还差一点了，圣德芬！
32,<span class='scene-font-katari'>但“终末”已经逼至眼前……</span>
31,<span class='scene-font-katari'>天司和堕天司都改变了形态，</span><br><span class='scene-font-katari'>战局进入焦灼状态。</span>
21,喂喂……<br>还真冲个没完啊，你在思春期吗？
13,…………！
12,<span class='scene-font-4'>Ain・Soph・Aur！</span>
10,不过我还有点佩服你，<br>竟然能把天司长和四大天司的力量<br>安定地收在体内——
9,你一直在强攻啊。<br>喜欢动粗吗？
8,呵呵哈哈哈……！
2,<span class='scene-font-4'>哦哦哦！</span>
0-synopsis,圣德芬与贝利尔展开战斗。圣德芬听贝利尔说的关于路西菲尔临终后开始动摇。但姬塔的话让他重新冷静下来。卡塔莉娜他们也汇合了。贝利尔说只有姬塔是计划外的因素，并企图了结一切。
0-chapter_name,第6話 王
