id,trans
filename,scene_evt140531_cp5_q4_s20
info,scene_evt140531_cp5_q4_s20
18,别忘了某人也在。<br>喂，有谁想做刀下亡魂就放马过来！
16,在这之后就交给我们了，<br>露莉亚你们退到后面去。
15,──────！ ？<br>我也感受到了强大的力量……
14,……是的……<br>大概……已经很接近玛娜维丹了。
13,怎么样。<br>能感觉到什么吗？
6,喂，喂，等一下！<br>我们也追上去吧！
4,哼……都说了没事了。<br>这点小伤不至于大吵大闹。<br>比起那个还是赶紧前进。
3,……为了从魔物手中保护我……<br>对，对不起……
2,抱，抱歉！<br>我也疏忽大意了……
1,哼。<br>没问题。
0,没，没关系吗！？<br>波雷米亚小姐？
0-synopsis,波雷米亚为了从突然出现的魔物手中保护莎拉而负伤。不过，为了不让莎拉担心，又马不停蹄地去与魔物对抗。之后为了寻找玛娜维丹而深入雨神洞窟的一行人。察觉到了更强的气息，姬塔一行人的士气高涨了起来。
0-chapter_name,第5话 少女的愿望
