id,trans
filename,scene_evt251110_cp5_q1_s10
translator,朔夜Rei
info,scene_evt251110_cp5_q1_s10
159,然后──也是你们正在寻找的，星晶兽厄尔庇斯的创造者之一。
158,我的名字是<span class='scene-font-spword'>希波吕托斯</span>。\n即你们称为<span class='scene-font-spword'>星之民</span>的存在。
157,你到底是……
156,魔兽所说让一行人不禁面面相觑。
155,我正在找你们。来自异世界的人们。\n以及，空之世界的特异点。
154,嗯？你倒是不怎么吃惊。\n……啊，原来如此。正好。
153,什么啊，这只魔兽……会说话啊。
152,嗯……这下省得我去找你们了。
151,哎呀，你是……
150,喂，怎么了！？我们突然听到尖叫……
147,在惊讶的真嗣面前，滚落的壶自己立起，随后有什么东西从壶中探出头。
146,魔兽，离他远点。
145,呜、呜哇哇哇哇！？\n壶说话了！？
144,噗哈！！
142,碇君！
141,真嗣心怀疑惑地靠近瓦砾堆，正想将那个壶拽出来──
138,丽的视线盯着一个埋在瓦砾中的壶。
137,那是……一个壶？\n为什么在这种地方……
136,…………
132,绫波？你在看什么……
131,低头喃喃自语的真嗣，注意到丽正凝视着某个方向，于是又抬起头来。
130,…………？
129,但是，如果连姬塔都找不到，我去找又能怎样……
128,……这样啊。
127,而且，之前讨伐哈尔帕克斯的时候，她也帮助过我很多次。所以，我也想尽一份力……
126,嗯……露莉亚倒下之后，姬塔他们也打不起精神……
125,听说如果不找到星晶兽本体，她就会有生命危险。
124,咦？
123,……碇君想救她吗？
122,……碇君。
121,丽并未打算离开，她与真嗣之间尴尬的沉默维持了片刻。
120,啊，嗯。谢谢你，帮大忙了。
119,这是你拜托我找的工具。放在这里可以吗？
118,哇！啊、绫波！？你从什么时候在那里的……
117,碇君。
116,（虽然很想救她，但是也没有其他我可以做的了……）
115,（结果，那之后完全没找任何星晶兽的线索，露莉亚的状况也恶化了……）
114,在小镇一角的废墟，帮忙清理瓦砾的真嗣独自长叹一声。
113,……唉。
112,为加强小镇的防卫与支援工作，姬塔、碧与真嗣、丽、薰被派遣至此。
111,日高见野岛东部唯一的港口小镇，这里因遭受哈尔帕克斯与涅普希斯同时入侵，现处于最高级别的警戒状态。
110,自露莉亚倒下已经过去数日，这一天。
109,然而，众人的决心并未得到回应，他们始终没有找到决定性的线索……
103,嗯……拜托了，美里。
102,我会把情况告知给其他人的。\n露莉亚就交给我和律子吧。
101,我也来帮忙。\n要尽快找到本体来救露莉亚才行。
99-sel1_txt,必须尽快找到星晶兽的本体
99,确实……不是没有这个可能。
98,难道说……是露莉亚吸收的厄尔庇斯在搞什么鬼吗？
97,嗯。就是打倒使徒后，被露莉亚吸收的星晶兽。
96,碧君。厄尔庇斯就是我们在找的星晶兽对吧？
95,话说回来，露莉亚的话……让人有些在意。
94,美里轻轻抚摸碧，安慰沮丧不安的他。
92,嗯……
91,但是，肯定没问题的。\n既然律子说了交给她，就不会有事。
90,这样啊……
89,赶来的美里听他们说明完刚才发生的事，表情严峻地凝视着房门。
88,美里……那个……
87,姬塔、碧！露莉亚她……！
84,露莉亚……
83,从响着刺耳电子音的病房被赶出来的姬塔等人，只好茫然伫立在紧闭的门前。
77,你们先到外面去。\n不会有事的，露莉亚就交给我。
76,再这样下去就糟了……！镇静剂！快！
75,露莉亚！！
70,呜、啊啊啊！！
69,听、我说……我、体内……厄尔庇斯、它……
68,嗯！我们就在这里！露莉亚，振作点！
67,姬塔、碧……你们，在那里吗……？
66,啊！露莉亚！你醒了吗！？
65,这时，至今毫无反应的露莉亚像是要抓住什么般伸出手。
64,呜……
63,律子小姐，真的什么都做不了吗？\n至少用些药什么的……
62,怎么会……
61,既然无法确定原因，我们能采取的措施仅限于维持生命活动所需的最低限度处理。
60,诊断结果让姬塔等人一时语塞。
59,露莉亚被送入NERV的医务室，立刻由律子和常驻医生进行了诊察，然而……
58,什……！骗、骗人的吧……？
57,再这样下去，可能会有生命危险。
56,……原因不明。但所有指标都异常低下。
50,就这样，真嗣让姬塔等人站上初号机的手掌，急忙赶往NERV总部。
47,哦、哦！谢谢你，帮大忙了！
46,碧、姬塔！请站到初号机的手上！我把你们送回NERV！
45,姬塔说的对，这里的话还是回NERV更快！
44,咦，但是……
42,医生……附近的小镇……不，这里的话还是回NERV更快！
40-sel2_txt,回NERV吧！
40-sel1_txt,带她去找医生！
40,怎、怎么办……！总之先找医生看看！
39,呜……
38,喂，你没事吧！？露莉亚！
37,……！露莉亚！？
36,就在真嗣的注视下，露莉亚突然大幅摇晃，随即直接倒在地上。
33,……咦？
32,真嗣看着显示器上对自己竖起大拇指的碧，\n不禁露出了笑容。
30,成功了！露莉亚、真嗣！辛苦了！
29,太好了……总算打败它了……
24,────！！
23,就在那一瞬间，真嗣驾驶的初号机手握高振动粒子刀刺向了哈尔帕克斯。
20,……！！
19,真嗣，趁现在……！
18,露莉亚所召唤出的科罗萨斯用巨剑挡住哈尔帕克斯的攻击，同时用另一只手抓住其手臂。
10,拜托了，科罗萨斯！请助我一臂之力！！
9,数日后，姬塔等人与EVA驾驶员们连日忙于应对不断出现的哈尔帕克斯。
0-synopsis,与哈尔帕克斯持续战斗的某天，露莉亚突然昏倒。一行人推测可能是吸收厄尔庇斯的力量所致，于是倾尽全力寻找，但数日过去仍无进展。这天，真嗣和丽在瓦砾中发现了一个壶中魔兽，它自称「星之民希波吕托斯」，并宣称自己是厄尔庇斯的创造主者之一。
0-chapter_name,第5话 愿望之形、祈祷之形
