id,trans
filename,scene_chr953_q2_s10
translator,煌月夜
info,scene_chr953_q2_s10
201,只剩下巨大的蝙蝠涂鸦向他们咧嘴笑着。
200,当观众们想起比赛回到场内时，两人早已消失──
195,真是的……这下都分不清谁才是导游了。
194,玩得开心吗？
193,不错啊你……太棒了。
192,<span class='scene-font-4'>哈哈哈！</span>虽然很多人声称参与了我的作品……
191,可以这么说吧？
190,啊，懂了。是因你封住我右手才诞生的作品？
189,哈？什么意思？这只是我难得用左手……
186,更何况这是我们的合作作品吧？
185,别谦虚。看起来比引我上钩的墙上涂鸦更有价值。
184,Boo，不够好。我的蝙蝠应该更可爱。
181,……不错的涂鸦。
174,偶尔用用左手吧！
173,果然勉强不了啊。那么……
172,我折断了你的骨头。这样还能扣扳机的话算你厉害。
169,Oops。真行啊！我的右手废了。
162,我会的。
161,哈，你试试呗！
160,看来我们只能各自夺取自己想要的结果了。
159,啧，你果然是个不得了的“坏孩子”啊。更不想让你接近少年了。
158,呵，谁知道呢？
157,那更是直接保送死刑。与整个王国为敌很麻烦吧？
156,你没想过我杀死前来逮捕的宪兵逃走的可能性吗？
153,没错。这期间我会说服少年们和你们说再见。
152,但据宪兵说，在洗清嫌疑前有很长一段时间都无法离岛。
151,当然，岛上审议会还你清白的。
150,就像刚才被宪兵逮捕的那个男人，沾了墨水的我也会被送往<span class='scene-font-place'>杜亚特岛</span>？
149,你的枪里装的大概是防盗墨水弹的同款。
148,你是优等生呢，库洛洛少年。
147,原来那时你不是要射杀我，而是想给我沾上特殊的墨水？
146,原来如此，所以想要和平解决。确实你的杀气只够混在观众中。
145,啊啊。非常可爱的小家伙。
144,少年……是指姬塔吧。
143,别碰我的少年。那是个好孩子，好心到让人无语。
142,…………
141,你也真坏心眼啊。非要我说出来。
140,但要是你那边的老大知道了你的玩火行为，会怎么想？
139,谁知道呢。但这样不够酷。我想尽量和平解决。
136,确实，单论力量，你和窝金不相上下。
129,嘿！
128,哈，嘴上说着危险的话，你的表情倒是很从容啊。
127,在没有观众的情况下还执着于艺术，那样是杀不了我的。
126,小看对方的人是你吧？和我对战，你只要走错一步就会死。
125,<span class='scene-font-4'>喂喂喂！</span>想偷我的能力！？真是被小看了啊！
124,果然不是「念能力」的「魔法」偷不来……吗。
121,别在意。<ruby>盗贼极意<rt>Skill Hunter</rt></ruby>──
120,……这书酷毙了。没躲开碰到了呢，抱歉哦。
116,伊尔诺特按住的不是地面，而是库洛洛递来的书的封面。
115,（书...！？）
112,伊尔诺特立即空中转身，在她用手撑住落地点时──
109,啧……！
104,能再多告诉我一些关于你的事吗？
103,（墙壁熔化了。每次更换墨水性质都会改变，真麻烦）
93,差不多吧。颜色这东西本来也受温湿度、材质影响吧？马上试试这个吧！
92,在对方做出对策前不断改变墨水性质。性质取决于夺取的颜色...？
91,（扔掉了粘性墨水瓶，把现在的瓶子装到枪上了）
86,吸……呼……放进这个好闻的瓶子里搅拌……
85,夺走了“色彩”？你打算怎么用？
84,伊尔诺特取出瓶子喊道，周围杂草随之瞬间褪为灰色。
76,哈，说得好！<span class='scene-font-4'>Five Finger Discount！</span>
75,煞风景吗……你这个人真有意思。
71,煞风景。
70,你怎么想都行。我也不在意他人对我作品的评价。硬要说的话只有一句话──
69,我好奇<span class='scene-font-spword'>「对你而言」</span>它算什么。
68,呵呵呵……也就是说你觉得那是杰作？
67,我换个问题。为什么<span class='scene-font-spword'>「能擦掉」</span>？
66,因为它真的「只是涂鸦」啊。展示或删除都是我的自由吧？
65,为何把倾注心血的画作，说成<span class='scene-font-spword'>「只是涂鸦」</span>轻易就擦掉了？
64,也就是说完全符合你的风格。但有件事我很在意。
63,确实如此。
62,喂喂，实际上你不是发现了吗？还因我的涂鸦停下了脚步。
61,只是你的喜好，吗？真是草率的赌注。
60,毕竟那堵墙本来就是绝佳的画布。红砖的污渍也是素材啊。
59,仅此而已吗。如果我没经过那里呢？
56,哼，像你这样的坏孩子，不就喜欢那种阴暗角落吗？
55,那么昏暗的小巷，我看漏也不奇怪吧。看来你很有自信？
54,什么嘛，被发现了啊。
53,小巷里的涂鸦。是引我上钩的诱饵吧？
52,你指什么呢？
51,果然，你喜欢张扬的方式。那从一开始你就该画在更显眼的地方。
45,嗯，不错啊。Bomb得更加华丽吧！
44,库洛洛避开的每发墨水弹，都在地面留下了Tag……她的喷绘签名。
43,你才是，一边攻击还能一边画出精湛的涂鸦。
40,<span class='scene-font-4'>Hoooo！</span>能在墙上跑，你果然很酷！
39,（高粘性的墨水……看来是想封住我的行动后慢慢料理我）
36,正确答案的奖励……Bomb！
35,干得漂亮。没有观众的比赛。如此一来夜之王的真实身份也依旧是个谜……
30,我、我也要去！！这可是千载难逢的机会啊！！
27,快看，外面也是！到处都是涂鸦！
26,（果然早就打算以这座岛为舞台啊）
25,显现或消失都随心所欲。在我想要的时间按我想要的方式捣弄。
24,这一瞬间就……不，是事先画好涂鸦再让它显现的吗？
23,突然，斗兽场各处浮现出无数涂鸦。
18,骗人的吧，我的座位上出现了夜之王的涂鸦……！
13,来，看好了。<span class='scene-font-4'>Kill the City！</span>
12,呵呵，还真是固执己见啊。
11,唉……请你订正。我是个“坏孩子”。
10,观众大约有三千人。像你这样的“好孩子”能用的手段很有限吧。
9,哼，真吵。把这些碍眼的视线都清理掉吧。
6,Fight！！
5,Yeah。那个所谓的“念能力”也尽管使出来吧。
3,没有武器限制，也没有规则。这样才更有趣吧？
1,哦！接下来是两位新人的对决！！
0-synopsis,库洛洛与伊尔诺特在斗兽场展开死斗，彼此试探着对方的真实意图。库洛洛识破伊尔诺特为阻止他接近姬塔而设下陷阱，折断了其右臂。伊尔诺特用仅剩的左手持枪攻击，绘制出蝙蝠涂鸦，当库洛洛称这是二人的共同作品时，她不由大笑起来。
0-chapter_name,娱乐之岛莱伯塔利亚②
