id,trans
filename,scene_evolutionweapon_5_ep3
info,scene_evolutionweapon_5_ep3
41,<span class='scene-font-katari'>而姬塔获得那股力量的时刻，也近在眼前了。</span>
40,<span class='scene-font-katari'>芬芙告知众人</span><span class='scene-font-spword'>「天星器」</span><span class='scene-font-katari'>所持有的力量。</span>
39,加油让它「觉醒」吧，姬塔！
38,哎呀哎呀，真是吵闹的家伙啊！<br>……话说回来<span class='scene-font-spword'>「天星器」</span>其实是了不得的武器啊……
36,那我去玩啦！<br>再见~！
35,呀哈哈哈~<br>露莉亚会夸我，喜欢~
34,呵呵，是啊！<br>芬芙酱又强又可靠呢。
33,不过！用<span class='scene-font-spword'>「天星器」</span>做坏事的人我会去阻止！<br>因为我是最强！
32,爷爷也说了，「要谨慎的处理」。<br>不能交到坏人的手里……
31,但是因为那么强大的武器很危险，<br>所以被人封印起来了。
30,真不愧是传说的武器呢。
29,撕裂天空，击碎星辰……！？<br>居，居然那么……！
27,而且啊，而且啊，让人震惊的是！<br><span class='scene-font-spword'>「天星器」</span>强大到可以撕裂天空，击碎星辰。
26,种类各异的<span class='scene-font-spword'>「天星器」</span>各有一把，<br>总计有十把。
25,据说<span class='scene-font-spword'>「天星器」</span>是在霸空战争时，或是更古老的时候被制造出来的。
22,那天之后，<br>我也找爷爷问了问<span class='scene-font-spword'>「天星器」</span>的事……
21,是啊！<br>因为姬塔很努力啊。
20,嗯嗯……这是之前那把<span class='scene-font-spword'>「天星器」</span>吧？<br>好厉害啊，已经离「觉醒」很近了！
19,哦！哦哦~！<br>这可真是了不得的魔力……<br>而且装饰也很好看啊——
18,<span class='scene-font-katari'>姬塔把</span><span class='scene-font-spword'>五神杖</span><span class='scene-font-katari'>递给了东张西望的露莉亚和芬芙。</span>
17,那个……嗯……
16,喂喂，<br>我想试试放大镜的效果，有没有什么可以看的？
15,嗯~？<br>事件会摆在那里吗？
14,那还用说吗！<br>当然是解决事件！我已经看穿犯人了！
13,侦探游戏？<br>那是啥啊？
12,太好啦！<br>这样就能玩侦探游戏了~
11,芬芙你真是的~<br>还是那么喜欢被夸奖啊~<br>……请收下，是你要的放大镜哦~
10,哇——！<br>继续继续~！
9,好厉害啊！<br>好帅啊，芬芙酱！
8,……可以再多夸我几句哦？
7,嗯哼哼——！</span>有麻烦的话也可以拜托我哦！
6,说起来真厉害啊！<br>这么个小不点居然是十天众的一员！
5,呵呵，芬芙酱是十天众呢。<br>是最强的魔法使呢！
4,是啊，你们还好吗？<br>顺便一说我超有精神！<br>我可是最强的哟，最强的——！
3,啊，芬芙酱！</span>好久不见了呢。
2,榭洛——！给我放大镜——！<br>……哎呀？姬塔你们来了啊！
1,<span class='scene-font-katari'>谈了一会儿关于</span><span class='scene-font-spword'>「五神杖」</span><span class='scene-font-katari'>的事后，芬芙突然出现。</span>
0,<span class='scene-font-katari'>姬塔他们带着临近觉醒的<span class='scene-font-spword'>「五神杖」</span><span class='scene-font-katari'>拜访了万事屋。</span>
0-synopsis,姬塔一行正和榭洛科特谈论五神杖觉醒的事，芬芙突然出现了。她得知了五神杖的觉醒情况大吃一惊，告诉一行人那股力量甚至能击碎星辰。之后，一行人目送吵闹的芬芙离开，以五神杖的觉醒为目标再度鼓起干劲……
0-chapter_name,与十天众的邂逅③
