id,trans
filename,scene_evt170831_cp4_q3_s20
info,scene_evt170831_cp4_q3_s20
264,古蕾雅！现在就来救你！
263,哈！！
261,欧文！我们来阻止古蕾雅！
255,啊啊啊啊啊！
254,古蕾雅把释放束缚魔法的少女认作敌人、一副野兽的模样就攻了过来。
253,嗯！ ！
252,……不愧是古蕾雅啊。
251,别吧！？这么快就弄坏了……
250,嗯！ ？
234,啊啊啊啊啊！
233,有话之后再说！束缚魔法撑不了多久--
232,噶啊啊啊啊！
231,然后……是古蕾雅的朋友。
230,是的，没错。
229,你、你们是……马纳利亚的学生？
228,但也只能支撑一会儿。
227,没事了、她已经被束缚了！
224,古蕾雅！
223,……！ ？
222,话音未落、古蕾雅的身体就被魔力锁困住了。
217,嗯！
216,公主、就是现在！
215,青年挥舞着包裹着浓厚的魔力的剑，利落地化解了古蕾雅的进攻。
214,作为一名友人、我也想要拯救她……
213,那可不成、龙姬。
201,古蕾雅……！ ！
197,露莉亚的声音没有传达给古蕾雅，她抬起了右手。
196,……啊啊啊啊啊！
195,所以……拜托了！
194,但是、这样下去即使你为了保护我们也会伤害别人！
193,古蕾雅、你之前说过吧？不想伤害别人，所以，不想使用力量……
192,…………
191,……拜托了、古蕾雅！变回原来的温柔的古蕾雅吧！
190,…………
188,这个之后再说，现在要紧的是古蕾雅！
187,喂、喂！这样不就进不去了！
186,最后的步骤……确实执行了。
185,维持结界。别让他们干扰越界之门。
184,──……
177,怎、怎么了！？钟楼的入口……
176,！ ？
175,突然、钟楼的入口张开了防御的结界，
173,干的漂亮……弹钢琴的小姐姐也在警戒着。姬塔，别漏出什么破绽啊……
172,…………
166,和预期一样，古蕾雅朝姬塔一行人追了过来，暂且与异形拉开了距离。
165,移动到核·独石柱的后方，一行人向连接钟楼与其他建筑的走廊撤退着。
160,就是现在！先撤，将引开古蕾雅！
159,自身的攻击被挡下，古蕾雅本能地与敌人拉开了距离。
158,！ ！
152,姬塔用剑挡下了攻向露莉亚的攻击。
144,噶啊啊啊啊！ ！
143,面对试图说服她的露莉亚他们，古蕾雅毫不犹豫地攻击过去。
142,我也是！拜托了、钢琴姐姐、回来吧……
141,所以，不想看到古蕾雅像这样承受着伤势继续战斗！
140,对我来说，古蕾雅也是重要的人！
139,我说过的吧，不想看到重要的人受伤！
138,…………！
137,古蕾雅！别再这样了！
134,咕噜噜噜噜……！
133,作为余兴来说时间长了就没意思了。就在此落幕吧。
132,这个状况……虽然不算劣势，但缺少致命打击。
131,尽管全身挂彩，古蕾雅依旧疯狂狩猎着异形。
120,啊啊啊！ ！
114,了解！
113,好了，我们去阻止古蕾雅！
112,好，所有人都出来了。
111,…………
110,…… ……唔……
109,姬塔一行人将被独石柱抓住的学生们送到钟楼外。
103,嗯、说得对……我明白了。
102,在古蕾雅吸引敌人的时候，不救救那些人的话……
101,啊……！
100,就这样卷入战斗的余波就不好了…………！
98,虽然必须阻止古蕾雅，但在那之前，要先救被独石柱抓住的人……
97,等等，姬塔！露莉亚！
96,嗯！
95,没错。那样不管的话，会被战斗波及的。
94,是啊……不救救那些学生他们就危险了……
93,啊……
92,面对焦急的露莉亚，姬塔指了指倒在被破坏的独石柱下的学生。
91-sel2_txt,我们阻止古蕾雅吧
91-sel1_txt,等等
91,不这样的话……古蕾雅就！
90,敌人已经少了很多了！带着古蕾雅一起逃走吧、姬塔！
89,但是在这样下去…！
88,现在还是老老实实呆在后方比较好，她这个样子恐怕我们一进入她的视线就会被卷进去……
87,喂、喂，太勉强了。这样下去古蕾雅……
86,无论受多重的伤，古蕾雅依旧杀气腾腾，毫不踌躇。
61,Ugaaaa“！ ！
50,呼 - 津市！呼 - 津市！
49,但双拳难敌四手，在异形军接连的攻击下，古蕾雅渐渐负伤。
48,古蕾雅以压倒性的力量歼灭了攻击来的异形军。
38,啊啊啊啊！
37,接到命令的异形军立刻整顿队形，向古蕾雅攻击过去。
36,可不能在这个时候让门关闭。干掉她！
35,…………
34,这股力量……不是人类吗？难道是星晶兽的同类什么的……？
33,怎么回事……那个威力……
32,唔！
31,而那一击的余波，将残留的独石柱打成粉末。身为门的法阵也因此歪曲变形。
22,古蕾雅轻轻一击，就将袭击过来的异形军全数消灭。
13,…… 咕！
12,异形军瞅准时机，一齐向古蕾雅攻击。
11,古蕾雅杵在那里，一动不动。
10,────
9,…………
8,古蕾雅……
7,我懂得……如假包换，这是龙血之力……
6,什么情况……身体在颤抖……
5,在那股力量的威压面前，连一根手指都动不了。
4,从古蕾雅体内涌出的，将一切都破坏殆尽的凶猛的力量的波动。
3,…………
0-synopsis,古蕾雅被龙之力带来的破坏冲动所吞噬，不论受多重的伤也会散发着杀意继续破坏。姬塔一行人为了被抓到的学生的安全着想，尝试着说服古蕾雅让她停下。但是，古蕾雅将一行人判断为敌人，向他们袭击过来。那时，突然出现的自称古蕾雅的朋友的男女两名学生加入战斗，与姬塔一行人一同尝试阻止古蕾雅。
0-chapter_name,第4集二人的牵绊
