id,trans
filename,scene_chr327_q3_s10
translator,少女D
info,scene_chr327_q3_s10
56,虽然不清楚发生了什么事，姬塔，我们也迎战！
55,为、为什么雪山上的魔物会……！？
54,咳……！不管在哪都会受到妨碍……给我消失……！
53,咕噜噜噜……
52,伊什米尔一看到这种情景，就立刻改变了脸色，想赶往那个地方。但是——
51,……啧
50,那是有和用冰的大姐姐相同能力的家伙……！？
49,他们环视四周，有冰晶从甲板附近的空中静静地落下。
48,…………
47,喂，有不好的人在！
46,他们回到骑空艇后，艇内漂浮着一种不平静的气息。
40,拉拉纳小姐……
39,别露出这么悲伤的表情啊。我也并非想隐瞒……但是，和那个人约定过……
38,虽、虽说是这样……
37,伊休米尔又挥了挥手，降雪停止了。
36,但是就算知道了这些，对你们的旅途也没有什么意义……
35,碧，露莉亚，还有姬塔，大家都对我很好，我很喜欢大家。
33,可是拉拉纳小姐一个人住在山里，是怎么和那个人产生关系的呢？
32,这样啊，虽然我们还是不清楚关于大姐姐的事……原来是有某种隐情啊。
31,伊什米尔这个名字……还有战斗方式、保护自己的方法……全部是从那个人那里得到的。
30,伊休米尔挥了挥手，他们周围开始下起了粉雪。
28,伊休米尔……可以说是我命中注定的名字……
27,拉拉纳小姐……
26,……拉拉纳。
25,我可以知道伊休米尔小姐的本名吗？
24,他是第一个对我笑的人，在那之前，没有人对我笑过……他一直用那个名字称呼我。
23,但是……那个人夸奖了我的名字。他说很适合我……
22,我的名字是很讨厌的人们强加给我的……我讨厌那个名字……
21,给予了我很多东西的……那个人……
20,伊休米尔对露莉亚的话微微一笑，慎重地选择语言开始讲述。
19,那个人？
18,因为，这会让我想起那个人……
17,嗯……很喜欢。
16,也就是说，伊休米尔小姐喜欢辣的东西和热的东西？
15,因为……去了很热的地方，吃了很辛辣的料理，心情超好。
14,呵呵，总觉得伊休米尔小姐心情很好呢？
13,♪
7,之后，店主被以欺诈嫌疑前来听证的秩序骑空团带走了。
6,只会逞嘴上功夫的无聊的人，我很讨厌。
5,不要，我才记不住。
4,可恶……给我记住……
3,果然……你的热气没什么大不了的……
0-synopsis,姬塔他们打败了店主，踏上了归途。伊休米尔告诉了他们自己的身世。伊休米尔是命运之名，她的本名是“拉拉纳”。有个被称为“那个人”的人重要的人，操纵冰的能力和“伊休米尔”这个名字都是他给予的。回到骑空艇后，艇内出现了冰晶和雪山中的魔物，虽然对这种状况感到困惑，姬塔他们还是为了驱散魔物挥舞起剑。
