id,trans
filename,scene_evolutionweapon_3_ep1
info,scene_evolutionweapon_3_ep1
29,哼哼哼～哼♪<br>蛋糕、蛋糕……
28,喔！　交给我！<br>我会乖乖地等着的！
27,稍等一下哦～<br>我正好有别人送的蛋糕～<br>现在就从里面拿出来～
26,蛋糕！？<br>对了！　蛋糕！
25,啊，对了……<br>说起来，我说好<br>要招待你蛋糕的呢～
24,哼，是这样吗……<br>骑空士啊……
23,姬塔她们是<br>最近积蓄起力量的骑空士，<br>在这片空域也很有名哟～
22,诶？<br>你是说姬塔她们吗～？
21,那些家伙……<br>好像有股有趣的气味……
20,我说我说，榭洛……<br>那些家伙是什么？
19,久等了～<br>萨拉萨～
17,<span class='scene-font-katari'>之后，从榭洛科特那里</span><br><span class='scene-font-katari'>得知了进一步觉醒的事，</span><br><span class='scene-font-katari'>姬塔一行人离开了万事屋。</span>
15,哼哼哼～哼♪<br>蛋糕、蛋糕……嗯？<br>嗯嗯？　嗅嗅……
14,啊、啊……<br>接下来我们<br>该做什么好……
13,好了～<br>那个，接下来，<br>我们说到哪了来着～？
12,我明白了！<br>我会安静的！　交给我吧！
11,好了，<br>如果可以的话，请乖乖地，<br>而且安静地等哟～
10,蛋糕！？<br>我明白了！　我会等的！<br>乖乖地等的！
9,萨拉萨，<br>我等会儿会招待你蛋糕的，<br>现在先请乖一点哦～
8,诶？<br>呜哇！？　抱歉！<br>有先到的客人了！
7,哈……萨拉萨，<br>谈话要讲顺序的哟～
6,我打倒了魔物，<br>但把委托人的家毁了……
5,榭洛榭洛榭洛榭洛！！<br>那个那个那个！<br>关于之前的委托！
4,不仅是这把武器原本的力量，<br>还要引导出其中所隐藏的力量……
3,是呢～<br>这把<span class='scene-font-spword'>「三寅斧」</span>中，<br>还有更多的潜能……
2,然后呢？<br>接下来我们该做什么？
1,<span class='scene-font-katari'>一行人为了继续使力量觉醒，</span><br><span class='scene-font-katari'>去请教</span><br><span class='scene-font-katari'>万事屋的榭洛科特。</span>
0,成功引导出<span class='scene-font-spword'>「三寅斧」</span><span class='scene-font-katari'>中隐藏的</span><br><span class='scene-font-katari'>一部分力量</span><br><span class='scene-font-katari'>的一行人。</span>
0-synopsis,姬塔一行人为了促使三寅斧觉醒，在与榭洛科特商量时，突然萨拉萨出现插入了他们的对话。之后，一行人离开万事屋之时，萨拉萨闻了姬塔的气味，对榭洛科特说「那些家伙散发着有趣的气味」。
0-chapter_name,与十天众的邂逅①
