id,trans
filename,主线剧情第80章第2节第1幕
info,scene_cp80_q2_s10
51,<span class='scene-font-katari'>天空的广阔曾勾起过他们的冒险欲望，现在却让他们的不安愈演愈烈。</span>
50,<span class='scene-font-katari'>姬塔和碧毫无线索，只是眺望着这片无垠的天空，束手无策。</span>
49,但是现在看着同一片天空，心中竟然如此不安。
48,大家还在一起的时候，看到这片天空明明是那么激动。
47,<span class='scene-font-katari'>这点姬塔当然也不知道，于是两个人只是呆呆地望着天空。</span>
46,俺们现在所在的是纳尔·格兰德空域的哪座岛啊？
45,<span class='scene-font-katari'>姬塔为眼前展开的天空感到茫然失措，但还是向碧点了点头。</span>
44,也就是说我们果然来到纳尔·格兰德空域了吗。
43,这里和从那个山顶上所看到的，是同一片天空吧。
30,<span class='scene-font-katari'>不久两个人来到一个稍微开阔些的地方，在那可以看到岛外广阔的天空。</span>
24,<span class='scene-font-katari'>姬塔和碧警戒着周围，在这座陌生的岛屿开始了探索。</span>
23,总之先在附近不至于迷路的范围内走走看。
22,确实，一直待在这什么都改变不了。
21,说不定他们也各自开始寻找我们了，俺们在这附近稍微走走看吧！
20,也、也是啊……对不住，感到不安的也不只有俺一个……
19,<span class='scene-font-katari'>看到姬塔那副无力而沮丧的表情，碧慌忙道歉。</span>
18-sel2_txt,去找他们吧
18-sel1_txt,我也不知道
18,其他人去哪儿了？露莉亚在哪里？卡塔莉娜呢？只有俺和你在这里吗？
16,然后俺们都被瘴流域吞进去了。
15,<span class='scene-font-katari'>姬塔对碧的回忆连连点头，然后几乎与碧同时想起了什么。</span>
14,然后俺们从山顶眺望纳尔·格兰德空域，之前通过的瘴流域突然关闭了……
13,然后俺们登上山峰，穿过瘴流域，这样那样之后登上了山顶。
12,俺们之前是在一片雪白的<span class='scene-font-place'>白风之境</span>那一带吧？
11,<span class='scene-font-katari'>姬塔向碧好好道歉之后，重新思考现在所处的状况。</span>
10,放过俺吧……这样的情况下还开玩笑，你心也太大了吧。
9,<span class='scene-font-katari'>碧像是要哭出来了一样，姬塔连忙解释刚才只是开个玩笑。</span>
8,是俺啊！碧啊！你肯定是在开玩笑的吧？肯定还记得俺的吧，对不对？
7,啥！？骗人的吧，你忘记了我的事了吗？
6,俺们之前是在一片雪白的<span class='scene-font-place'>白风之境</span>那一带吧？
5,俺也不知道啊，这座岛过去从没见过。
4-sel2_txt,你是谁？
4-sel1_txt,这是哪？
4,喂，你没事吧？没有受伤吧？
3,<span class='scene-font-katari'>但是，无论怎样擦眼睛，眼前那开阔的景象也没有变化。</span>
2,<span class='scene-font-katari'>眼前之景与记忆中最后一刻的景色完全不同，姬塔哑然失声。</span>
1,<span class='scene-font-katari'>碧用它那微小的力气拼命摇着姬塔的身体，姬塔慢慢取回了意识。</span>
0,——姬塔！喂！\n快睁开眼吧！
0-synopsis,碧摇着姬塔的身体让其醒来。对眼前的景色毫无印象的姬塔，反应过来自己是被瘴流域吞噬后来到了陌生的土地。姬塔与碧一同确认了状况后在附近探索。在得知此地就是纳尔·格兰德空域后，碧和姬塔开始担心起分散的其他伙伴的情况。
0-chapter_name,第80章 陌生的天空
