id,trans
filename,scene_evt230329_cp0_q2_s10
translator,煌月夜
info,scene_evt230329_cp0_q2_s10
167,剧终──
161,他一边梦想着成为型男，一边威风凛凛地走在通往咖啡店的路上。
160,在晴朗的天空下，托莫伊感受到与朋友的羁绊。
159,Yes! 型男主义!
158,不过嘛，知道了。我和艾尔亲会一起推着你走的!
157,噗哈哈哈哈!而且别自己说自己大器晚成!
156,噗哈哈哈哈!那叫大器晚成。什么大气缓出。
155,所以今后……也多指教了!
154,我觉得我是所谓的大气缓出型的人啊。今后就一点一点地慢慢努力成为型男吧……
153,什么什么?又是那种激动的眼神。
152,话说，这件事让我深有体会。
146,耶!
145,好了好了，今天不是要开反省会吗?去吧去吧!
144,瓦妹……
143,所以往后就别提钱了哦?
142,其实呢，做完托莫伊那件之后还有布料剩余……就当优惠了。
141,What! ? 可那个是……
140,毕竟我收钱了。
139,话说，竟然也做了我们两个的衣服，何等的温柔……
138,本来还觉得三个人都穿有点不好意思……穿上之后却感觉真的很开心。
137,"你们两个的看起来也很合适! "
136,是啊。
129,光是穿着这件衣服，型男范就溢了出来……激励MAX款式! ?
128,呵呵，能让你这么开心，那就值了!
127,哦，天啊。太棒了！瓦妹，实在太感谢了!
108,然后……
107,第二天……三人组被可露瓦叫去她的工作室。
101,……明白!
100,我支持你们，希望你们能有好结果!
99,呵呵，因为我听说托莫伊爱上了芙莉西娅。
98,What! ?
97,瓦妹为了你做了一套超完美的型男西装。
96,……为神马瓦妹会不愿意?
95,是，是。但不要勉强自己啊?
94,呵呵，你不这样说我可不愿意。
93,我啊，这次虽然连续失败……但并没有放弃成为型男。
92,怎么了? 又皱着眉。
91,我说……
90,还得准备明天的早饭。
89,好嘞! 总之回格兰赛法去咯。
88,我也不知道算不算好，但你这样想的话我很高兴。
87,倒不如说……看你们三个关系这么好，总觉得很感动。
86,没关系没关系。
85,抱歉啊瓦妹。都怪我，给你也添了麻烦。
84,托莫伊。
82,是。是妈妈。
81,罗艾因、艾尔亲……你们是全空的母亲吗……
80,是啊。
79,所以，不要再乱来了。
78,总之，我觉得……包含一些废柴的点在内才是托莫亲的风格。
76,啊哈!你现在说这个!? 不过我也是这么想的。
75,不如说这也是预料之中。
74,没错没错。我们又不会因为你踩空了型男阶梯就对你有什么想法……
73,我们都见过多少你丢脸的样子了，没关系，没关系。
72,哈哈哈哈! 缩起来干什么。
71,……啊，实在太糟了……那会儿感觉人生无望……
70,托莫伊想起了之前的事情，羞得用双手捂住了脸。
69,……啊。
68,托莫伊，你记得自己在小巷里晕倒了吗?
66,不如说你应该感谢我们。
65,喂，别生气啊。我们可是拯救了被猛汉吞没的你。
64,啊! ?
63,啊，抱歉。我狠狠地揍了你一顿，嗯……
62,什么，什么!? 脸好痛啊!?
61,哎，艾尔亲，瓦妹……?这里到底是……
60,真是的，托莫伊!我们担心死你了……
59,哈哈，是啊。
58,哈……太好了……
57,托莫亲! ?
56,等，什么什么什么! ? 罗艾因! ?
54,托莫伊与身上的罗艾因四目相对，不知所措地惊慌起来。
53,哇……呜呃……! ?
42,嘿!
41,(嗯？……有人在叫我吗?)
40,托莫伊!
39,托莫亲!
38,托莫亲!
29,再来一拳!
26,嘿!
25,再来一拳!
22,嘿!
21,再来一拳!
18,托莫亲!醒醒！嘿！
17,罗艾因骑在恢复原状的托莫伊身上，用力挥舞着拳头。
16,失去意识的托莫伊就像漏气的气球一样，转眼间变得越来越小。
9,托莫伊王……膨胀的肌肉……正在萎缩……
8,真是太感谢了!
7,为了让你在这世界上无怨无悔。
4,咕……
2,那么，就让我切断你的意识吧。
1,之后就拜托你了! !
0-synopsis,被猛汉吞没自我的托莫伊被罗艾因的耳光拉回了现实，羞得双手捂住脸。罗艾因和艾尔塞姆说有些废柴的才是托莫伊，他们的温柔拯救了托莫伊。第二天，三个穿着可露瓦为他们做的西装去咖啡馆。托莫伊告诉他们他准备一步一步慢慢地登上成为型男的阶梯。
0-chapter_name,结局
