id,trans
filename,scene_evt251105_cp2_q1_s10
translator,朔夜Rei
info,scene_evt251105_cp2_q1_s10
98,就这样，一行人享受了一段短暂的空中之旅，随后降落在了目的地小镇。
97,<span class='scene-font-4'>好的！</span>我们随时都很欢迎，如果你有兴趣请一定来哦！
96,唔……这样啊。我会考虑一下的。
95,姬塔的船上有各种职业和立场的人。\n去试试和他们交往，你会觉得很有趣的。
94,我们团里也有很多人并不是骑空士，只是为了各自的目的与我们同行。
93,一起……吗？\n但我觉得成为骑空士有些……
91,是啊！各司其职嘛，打打杀杀的事可以交给擅长的同伴。
90,比如说……寻找失物、运送行李或信件、采集药草、还有生态系统调查之类的。
89,没关系的！骑空士的工作除了讨伐魔兽之外还有很多哦！
88,但、但是……我还有NERV的工作，而且成为骑空士什么的……我连魔兽都打不过……
87,好主意！如果真嗣你们想加入的话，我们非常欢迎哦！
86,哎，我吗？
84-sel2_txt,一起旅行一段时间怎么样？
84-sel1_txt,试试成为骑空士怎么样？
84,这座岛的外面有好多不可思议的东西呢。
79,听姬塔讲述着旅途中的回忆，真嗣兴致勃勃，双眼闪着光。
78,与威胁空之世界和平的星晶兽、又或与栖息在奥古斯特海边的癫狂生物们展开激战──
77,被士郎寻求印证，姬塔苦笑着开始讲述旅途中的经历。
76,是真的！对吧，姬塔。
75,你说的是真的吗？我觉得世界危机那种事不会发生那么多次吧……
74,姬塔他们在至今的旅途中，已经多次拯救了空之世界的危机！
73,哈哈！姬塔他们经历的可不只是与坏兽战斗哦。
72,好厉害……保护全世界什么的。
63,不过，姬塔他们和骑空团的团员们齐心协力，从坏兽的威胁中保护了空之世界。
47,以萝伯美苏醒为契机，坏兽也再次出现，我们与之进行了多次战斗。
46,嗯。她是数万年前的超古代文明的遗产……\n为与坏兽战斗而被制造出来的机械士兵。
45,哎？这么说来，萝伯美不是人类……
44,那里最有名的就是矿山了。萝伯美就是在弗雷梅尔岛的古代地层被挖掘出来的。
38,弗雷梅尔岛？那是个什么样的岛呢？
37,我记得，我们和士郎萝伯美是在<span class='scene-font-place'>巴尔茨公国</span>的弗雷梅尔岛遇到的。
36,这片天空中有各种各样的岛屿！有终年积雪的寒冷岛屿，也有相反充斥火山和熔岩的岛屿哦！
35,嗯，没错！
34,……在远处的天空中，也有许多岛屿和这个岛一样漂浮着吗？
33,说着，真嗣再次将视线投向艇外，凝望无限延伸的天空彼方。
32,因为岛屿边缘有涅普西斯的地盘，所以我们和岛上的人们都尽量不靠近那里。
31,唔，没有呢……
30,这样吗？你没有去过岛屿的边缘？
29,虽然一直都是这么听说的，但从来没有机会亲眼看看。
28,……我所在的岛屿原来真的是漂浮在空中，我第一次有了切实的感觉。
27,是啊，非常棒！天空原来这么广阔啊。\n完全看不到尽头。
25,那个，飞起来比我想象中要平稳很多……而且视野也很好，感觉能一直看下去。
23-sel2_txt,景色很不错吧？
23-sel1_txt,乘坐骑空艇的感觉怎么样？
23,看着依旧吵闹的明日香和碧，姬塔苦笑着走向真嗣。
18,你这家伙，真让人火大啊……！
17,哦？嗯……
16,那只是调查啦调查！在新环境中首先要了解布局结构，这是精英的基本素养！
15,你虽然这么说，刚才不也很稀奇地在船上参观来着吗？
14,这点场面就让你兴奋成这样。\n又不是小孩子了。
13,姬塔等人与真嗣、丽、明日香、玛丽同行，为运送物资前往位于岛屿边境的小镇。
12,哇……！好厉害，真的在飞啊！
11,数日后。
0-synopsis,数日后。为运送物资，一行人与真嗣、丽、明日香、玛丽一同乘坐古兰赛法前往位于岛屿边境的小镇。真嗣在甲板上饶有兴趣地眺望天空，听姬塔与士郎描述其他岛屿的景象以及至今旅途中经历的种种战斗。听得双眼发亮的真嗣被姬塔邀请一起旅行，他回答会考虑一下。
0-chapter_name,第2话 白色守卫
