id,trans
filename,scene_evt190614_cp2_q4_s10
info,scene_evt190614_cp2_q4_s10
48,<span class='scene-font-katari'>将修理完毕的红莲贰式装上船后，姬塔一行飞往有人目击到朱雀的岛屿。</span>
47,<span class='scene-font-katari'>听了鲁鲁修的话，姬塔一行也气势高涨。</span>
46,一起去抓伪Zero，救出娜娜莉吧！
45,嗯，当然啦！
44,卡莲，姬塔，露莉亚，碧。<br>你们愿意帮助我吗？
43,嗯。我已经知道那家伙躲在哪里了。<br>现在我们只需要战略和战力。
42,你说夺回娜娜莉的作战，准备什么的已经全部做好了吗？
41,先去和朱雀汇合。<br>之后就开始夺回娜娜莉的作战！
40,<span class='scene-font-kokoro'>（在这个没有布里塔尼亚的异世界，我说不定能告诉他我真正的想法。）</span>
39,<span class='scene-font-kokoro'>（而且……）</span>
38,无所谓。在这个空之世界，拥有浮力系统的兰斯洛特会成为强大的战力。
37,这样好吗？<br>这不就等于告诉他Zero是谁吗……
36,我们马上去目击到兰斯洛特的岛屿。<br>救出娜娜莉必须要有他的帮助。
35,怎么办？<br>那家伙是布里塔尼亚军的人，一直和我们敌对……
34,还没有确证，但很可能是这样。
33,怎么了？难道你们又找到了一个同伴？
32,肯定是他。
31,嗯。在横滨被白光吞没的时候，除了我们以外就只有朱雀的兰斯洛特了。
30,是朱雀的兰斯洛特吗！？
29,我刚才问过这边的工匠了，他说他见过一台和红莲很像的白色机体……
28,话说，鲁鲁修。
27,<span class='scene-font-kokoro'>（即使是卡莲的红莲，面对航空战力还是会落后一步。）</span>
26,<span class='scene-font-kokoro'>（可惜红莲没有浮力系统。）</span>
25,<span class='scene-font-kokoro'>（红莲贰式的突破力和辐射波动，说不定能够打破伪Zero的防御盾。）</span>
24,是么。那这样我制定战略时也能更加自由了。
23,这样我就能像以前一样战斗了。
22,嗯。<br>幸好出故障的部分在这个世界也有，所以换掉就可以了。
21,哦？ 那也就是说红莲的右臂能用了？
20,你们回来了！<br>红莲的修理马上就结束了。
15,<span class='scene-font-katari'>鲁鲁修一边思考着对策，一边和众人一起回到卡莲所在的中央船坞。</span>
14,<span class='scene-font-kokoro'>（从那里入手的话一定能……）</span>
13,<span class='scene-font-kokoro'>（科学常识在这里不适用。但既然是现象就一定遵循着某种法则。）</span>
12,嗯。<br>果然那个防御盾是星晶兽的力量么。
11,应该是我们发射强子炮的时候没错了。
10,嗯……<br>我记得那时候天上传来一声很大的爆炸声。
9,那是什么时候？
8,啊，但是，在他的船起飞之后我感到过一次星晶兽的气息。
7,可能吧……
6,这次他没像上次那样跳那么高，也许没用吧？
5,话说回来，伪Zero又是靠星晶兽才逃走的吗？
4,但是，姬塔，多亏了你，那个女孩子才得救，已经足够好了。
3,不，我们也一样。
2,对不起……<br>我们也很努力地在追他，但还是被他逃走了……
1,啊，鲁鲁修和C.C.！<br>你们也用高文在追踪伪Zero吗？
0-synopsis,鲁鲁修和姬塔一行汇合后听了露莉亚的说明，得知伪Zero是靠星晶兽的力量防住强子炮的。众人回到修理红莲贰式的地方，卡莲告诉他们她听到有人目击到了朱雀的兰斯洛特。鲁鲁修认为救出娜娜莉也需要朱雀的帮助，宣布和朱雀汇合之后正式开始夺回娜娜莉的作战。
0-chapter_name,STAGE2 黑幕的企图
