id,trans
filename,角色剧情-佐伊-暗中守护世界之人1-1
info,scene_chr440_q1_s10
38,<span class='scene-font-katari'>众人因佐伊的话感到不安，但还是优先动身讨伐魔兽。</span>
37,<span class='scene-font-katari'>佐伊从没露出过如此不安的表情。</span>
36,首先要保证这里的安全。而且……我也有不明白的地方。
35,具体情况，可以之后再说明吗？
33,翘发妹妹，你是不是有什么线索了？
32,来了……什么来了？
31,已经，来了么……
30,……是，么。
29,唔！？
28,魔兽开始发狂之前，天空好像闪了一下……
27,说起来……
26,那前后有没有什么变化？异于往常的事情……再小事情也请告诉我们。
25,咦？
24,我想问一下，魔兽真的是突然开始发狂的吗？
23,有些事情我很在意。所以一直在思考。
22,啊，抱歉。你们在和我说话啊。
21,咦？ 你刚才，没有听见我们说话吗？
20,先解决完这件事，然后就可以——
19,嗯……怎么了？要玩的话之后再说吧？
16,嗯。我只是，很在意某些事情。
15,喂喂，振作点啊。没事吧？
14,嗯。抱歉。你们在对我说话吗？
13-sel2_txt,<span class='scene-font-katari'>戳佐伊的脸</span>
13-sel1_txt,<span class='scene-font-katari'>佐伊？</span>
12,是吧？姬塔，佐伊！
11,请放心！我们会帮忙的！
10,但不知道它们会不会再次袭击，我们都很害怕……
9,不清楚。那些魔兽已经离开这里了……
8,那究竟是为什么？
7,唔……
6,可是，这很奇怪。这里的魔兽都很温顺，一般不会袭击人类的。
5,原来如此。所以才会有这样的惨状。
4,大家都混乱不堪，也来不及做好应对措施……
3,突然就有魔兽疯了似的袭击这里。
2,<span class='scene-font-katari'>一行人来到事发地点，向当地的人们打听消息。</span>
1,<span class='scene-font-katari'>某一天，姬塔一行接到委托，前往讨伐突然发狂的魔兽。</span>
0-synopsis,某一天，姬塔接到了讨伐魔兽的任务。根据居民提供的情报，当时天空突然闪光，随后魔兽就开始骚动。佐伊听说后表情十分僵硬。她似乎明白了什么，随后叫姬塔等人先确保城镇的安全。动身讨伐魔兽的姬塔一行因佐伊的话语感觉到了不安。
0-chapter_name,暗中守护世界之人
