id,trans
filename,主线剧情第90章第2节第1幕
info,scene_cp90_q2_s10
65,<span class='scene-font-katari'>就这样，姬塔一行人</span><br><span class='scene-font-katari'>为了寻找失散的同伴，</span><br><span class='scene-font-katari'>向着贝斯缇耶岛出发了。</span>
64,说这些话的时候，<br>芙莉亚一直看着远方，<br>好像在注视着某个十分遥远的地方。
63,比起往昔那久居樊笼的时日，<br>妾身现在可要幸福得多了。
62,哎呀……没什么好可怜的。<br>妾身是出于自身的意愿，<br>才成为一国之君的。
61,王是一个国家的支柱。<br>就算离开了王座，<br>也不能轻易地离开这个国家。
60,请原谅，刚才的话不过是单纯的抱怨罢了。<br>虽然妾身很羡慕你们的冒险经历，<br>但妾身无法离开这个国家。
59,像是在为自己的失礼表达歉意一般，<br>芙莉亚向姬塔微微低头致意。
58,唔……<br>你这话听起来<br>就像是在催促我一样……
57-sel2_txt,要我带你去吗？
57-sel1_txt,你要一起来吗？
57,无聊可是比任何东西都要猛烈的毒药哦。<br>你们也是这么觉得的吧？
56,那、那个……<br>我们倒也没有乐在其中……
55,突然来到一个崭新的舞台，<br>然后与无数敌人交战后凯旋而归。<br>就像哪里的冒险话剧一样。
54,但是……一码归一码，<br>你们看起来，<br>好像玩得相当开心啊。
53,然后像是要结束谈话一样，<br>芙莉亚深深地叹了口气。
52,嗯。<br>好了，你们到了那里自会明白的。<br>妾身多说无益。
51,家、家族……？
50,家族，吧……
49,嗯……<br>与其说是组织……<br>不如说是……
48,收为盟友……？<br><span class='scene-font-place'>贝斯缇耶岛</span>果然在某个组织的<br>掌控之下吗？
47,帮助姬塔一行寻找同伴，<br>并尽可能地将<span class='scene-font-place'>贝斯缇耶岛</span><br>收为盟友。
46,该隐。<br>妾身命令你，和蕾欧娜、莱茵哈萨一起，<br>和姬塔一行人共同行动。
45,稍加思考后，<br>芙莉亚转向该隐，<br>开口说道：
44,不，倒不如说这座岛<br>正适合派你们前去……
43,不过……<br>如果是你们的话……
42,见识到姬塔一行的坚定决心，<br>芙莉亚十分满意地瞧着他们。
41,…………
40,哪怕只有一丁点儿<br>同伴在那里的可能性，<br>我们也要赌上一把。
39,我们也还没和在白风之境那边失散的同伴<br>全部会合……
38,不过……<br>如果是你们的话……
37,见识到姬塔一行的坚定决心，<br>芙莉亚十分满意地瞧着他们。
36,不过，很好……非常好。<br>率领骑空团的团长，<br>就得拿出这种气魄才行。
35,哈！<br>没想到你能如此痛快！
34-sel2_txt,既然有这个可能
34-sel1_txt,当然要去
34,去了就知道了。<br>反正不论妾身怎么说，<br>你们都还是要去的咯。
33,在那个<span class='scene-font-place'>贝斯缇耶岛</span>上，<br>到底有什么东西啊？
32,莱茵哈萨似乎对这个说法很有兴趣，<br>开口询问道：
31,就是如果还想活命，<br>就不要靠近那座岛屿。
30,牺牲……？
29,就是这样。<br>毕竟要避免无谓的牺牲啊。
28,不过，我确实记得伊德尔瓦<br>是严令禁止船只向<span class='scene-font-place'>贝斯缇耶岛</span>航行的……
27,关于<span class='scene-font-place'>贝斯缇耶岛</span>，<br>我也不是特别了解，<br>但我从没听过这样的传闻。
26,<span class='scene-font-place'>贝斯缇耶岛</span>的居民<br>也和老师他们一样吗？
24,就这样，为了寻找剩下的伙伴，<br>伊欧向芙莉亚问起了<br>泽恩告诉他们的那座岛。
23,在那之后，他们回到了伊德尔瓦王国。<br>在得到国王芙莉亚的允许后，<br>伊欧和拉卡姆也留在了那里。
22,姬塔一行在克尔加岛夺回了拉卡姆、伊欧<br>以及格兰赛法。
16,哎呀呀……<br>看来这次的探寻失散同伴之旅，<br>也不会那么一帆风顺呢……
15,听完卡塔莉娜的推测，<br>芙莉亚苦笑着点了点头。
14,…………
13,果然那座岛屿……<br>是有什么非同寻常之处吧……
12,这个岛屿的条件这么好，<br>却没有被任何一个国家收入囊中，<br>也就是说……
11,丰富的自然资源，再加上温暖的气候，<br>那里甚至得到了“乐园”的美称，<br>是个环境非常优越的岛屿。
10,<span class='scene-font-place'>贝斯缇耶岛</span>和<span class='scene-font-place'>克尔加岛</span>一样，<br>是一个自古以来就保持着独立的岛屿。
9,不……<br>那个岛不属于任何国家。<br>话虽如此，可……
8,啊……<br>难道那座岛屿是属于<br>雷姆王国的？
7,那座名叫贝斯缇耶的岛，<br>究竟是怎样的一座岛呢？
6,老师对我说，<br>如果想要找到失散的同伴们，<br>就到那座岛上去。
5,在伊德尔瓦王国的王座之上，<br>国王芙莉亚轻点着头，<br>为一座岛的名字皱起了眉头。
4,其实在听你们说这些之前，<br>妾身也不是没有想过……<br>只不过……
3,嗯嗯……<br>没想到竟是<span class='scene-font-place'>贝斯缇耶岛</span>……
0-synopsis,为了去<span class='scene-font-place'>贝斯缇耶岛</span>寻找其余的同伴，姬塔一行人向芙莉亚询问了岛屿的情况。尽管芙莉亚警告说那里很危险，可姬塔等人的决心却没有丝毫动摇。于是芙莉亚命令该隐等人与其同行，并下达了尽可能将<span class='scene-font-place'>贝斯缇耶岛</span>上的势力收为盟友的命令。该隐询问掌控这座岛屿的究竟是怎样的组织，芙莉亚意味深长地暗示了某个“家族”一般的存在。
0-chapter_name,第90章 兽之岛
