id,trans
filename,scene_evt170430_cp5_q2_s10
info,scene_evt170430_cp5_q2_s10
59,那么由我来带路。<br>跟我来吧。
58,先听你的。
57,……我知道了。
56,但是现在，先逃出去再说吧。<br>走了，跟我们来。
55,你们要是不相信我……就当做是始祖一时兴起呗。
54,关我什么事。<br>做什么，不做什么，是我自己决定的。
53,啊，我也是……
52,始祖会听克拉莉丝的请求？<br>我可是听说，始祖极端地旁若无人……
51,是啊……那个淘气鬼可是低下头来请求我了。
50,那孩子……吗？
49,克拉莉丝那家伙拜托我来的。
48,为什么始祖会在这里……
47,看来你们还算有父母心，至少会关心一下女儿。
46,<span class='scene-font-katari'>一看到卡莉奥斯特萝的脸，克拉莉丝的父亲便瞪大了眼睛惊慌失措。</span>
45,什么！？ 始、始祖！？
44,放心吧，她没事。
43,我是她父亲哈罗德。<br>那孩子怎么样？<br>没有受伤吧……
42,……失礼了。<br>我是克拉莉丝的母亲，普洛美缇娅。
41,克拉莉丝的骑空团？<br>那你们就是克拉莉丝在信中提到的……
40,今日有缘，来搭救二位。
39,唔，失礼了。<br>我叫做德里福德，和克拉莉丝在同一个骑空团。
38,真是不懂礼貌……<br>先报上你的名字！
37,……请问你们是克拉莉丝的父母吗？
35,你退下，普洛美缇娅！
34,……怎、怎么回事！？
32,<span class='scene-font-katari'>听到卡莉奥斯特萝的话，德里福德点点头，用长枪在门上开了个大洞。</span>
28,唔，我知道了。
27,这气息……是这里吗？<br>喂，他们在这里。<br>把门破坏掉。
26,怎么了？<br>卡莉奥斯特萝？
25,……等下，大叔。
24,而且，我还有妻子……
23,……不，算了吧。<br>我没有自信能变得像卡莉奥斯特萝一样可爱。
22,……我是觉得好玩才说的，意外的还不错吧。<br>怎么样，要不要试试？
21,变成美少女的我……吗……
20,如果你有做美少女的觉悟。
19,唔……
18,要不要我帮你炼成一具不会肌肉酸痛的肉体啊？
17,……不、不会的。
16,哈，枪术达人啊……<br>反正明天你就要肌肉酸痛了。
15,哼……<br>可别小看我这个枪术达人。
14,哎……<br>有两下子嘛。
13,<span class='scene-font-katari'>途中，德里福德用他的枪术利落地击败了向他们袭来的炼金术师和帝国兵。</span>
9,嗬！
1,哈！
0,<span class='scene-font-katari'>德里福德和卡莉奥斯特萝在设施内寻找克拉莉丝的双亲。</span>
0-synopsis,德里福德和卡莉奥斯特萝在设施内寻找克拉莉丝的双亲。途中他们被守卫发现，但德里福德以漂亮的枪术将守卫击倒。最后他们找到了克拉莉丝的双亲，并将他们安全地带了出来。
0-chapter_name,第5话 超越分歧的合作
