id,trans
filename,scene_ult_chr114_ep1_q3_s10
translator,蘑菇
info,scene_ult_chr114_ep1_q3_s10
54,与我的过错与悔恨一起……<br>用这双手亲自打倒你！！
53,……闭嘴。<br>我已经听够了你的无意义的话！
48,…………
47,好好看看吧，自己是多么无力的证据。<br>好好听听吧，憎恨着自己的亡灵的声音！
46,不正是你打着启示的名号，<br>让我们去送死的吗……
45,明明就没有拯救我们……
44,贞德……<br>你无法拯救任何人……<br>
43,……你是……！
42,…………
41,<span class='scene-font-kokoro'>（现在，我该学习的难道不是姬塔他们吗……？）</span>
40,<span class='scene-font-kokoro'>（不用高举什么大义，姬塔他们只是很自然地为了拯救他人而行动着……）</span>
39,<span class='scene-font-kokoro'>（得到去拯救世界的启示，深信不疑的我从何时开始就光顾着想启示了。）
38,<span class='scene-font-kokoro'>（姬塔他们这样只是想要帮助他人的纯粹想法……我是不是已经忘记了呢……）</span>
37,<span class='scene-font-katari'>深夜，贞德独自一人在篝火前冥想。</span>
36,<span class='scene-font-katari'>被与魔物的作战耽误了事件，</span><br><span class='scene-font-katari'>一行人决定今天在外露宿。</span>
30,……谢谢。
29,…………
28,不过，确实如碧所说。<br>贞德，请不要一个人勉强自己。<br>困难的时候请告诉我们。
27,碧真是的！
26,相应的，当我遇到困难的时候，<br>贞德也得让我依靠哦~哈哈！
25,嘿嘿，被表扬地有些不好意思了！<br>贞德遇到困难的时候也要依靠我们哦！
24,……你们真温柔啊。
23,<span class='scene-font-katari'>姬塔也对碧和露莉亚表示赞同。</span>
22,嘿嘿，有困难的人总是想尽力帮忙的！<br>加油吧，姬塔。
21,所以啊，去找委托大叔要报酬的时候好好抱怨一通吧！
20,这……确实如此。
19,唔……可如果我们现在回去了，<br>收货人会很困扰吧。
18,……确实是委托人的说明不充分。<br>这种情况，就算毁约也是可以的……
17,真是的，委托的那个大叔还说只是很简单的工作。<br>这和说好的不一样啊！
16,……附近似乎没有魔物的气息了。
15,<span class='scene-font-katari'>在大家的奋战之下，姬塔等人总算击退了魔物。</span>
14,……不要紧！<br>姬塔，抱歉了……！<br>我会提高警惕的！
13,贞德！<br>没事吧！？
12,<span class='scene-font-katari'>在差点要遭到致命一击的危急时刻，</span><br><span class='scene-font-katari'>姬塔救下了贞德。</span>
7,糟了……！
5,<span class='scene-font-katari'>魔物们朝着因为缺乏睡眠而变得动作迟缓的贞德靠近。</span>
4,咕唔！！
1,唔……！<br>哈！！
0,<span class='scene-font-katari'>在搬运被委托的物品之时，</span><br><span class='scene-font-katari'>在森林中的姬塔等人遭到了魔物的袭击。</span>
0-synopsis,执行搬运物品的委托的途中，姬塔等人被魔物袭击。贞德表示因为委托人的说明不充分，毁约也是被允许的。但考虑到收货人的困难，众人决定继续完成委托。再次体会到同伴们的温柔的贞德在半夜中独自沉思。就在这时，幽世的存在再次向贞德对话。
0-chapter_name,诱惑之手，拒而推开
