id,trans
filename,主线剧情第69章第1节第1幕
info,scene_cp69_q1_s10
64,<span class='scene-font-katari'>一行人暂且赶往格兰赛法，以帮助岛民避难。
63,<span class='scene-font-katari'>露莉亚认真地点头赞成金骑士阿莉亚所说的话。
62,我认为我们需要在帮助疏散的同时，搜索菊理的行踪。
61,救人固然重要，但我也不能眼睁睁看着碎石环这么消失掉。
60,咋回事呀？好像没有看到什么奇怪的东西。
59,<span class='scene-font-katari'>这么说着的露莉亚用手指着拉卡姆和伊欧所在的那个方向。
58,在那边的某个地方，但它很快就消失了。
57,什么！？在哪儿！？露莉亚？
56,啊！刚刚！有星晶兽的气息！
54,好嘞好嘞。这个小鬼真的失去记忆了吗？
53,既然已经决定了，那就赶紧上船吧！出发咯！拉卡姆！
52,虽然不能完全解决问题，但也没别的办法了。
51,确实如此。住在那些快要掉下去的岩石上的居民是首要的救援目标。
50,现在除了放手去干也没别的办法吧，喂！
49,<span class='scene-font-katari'>就在金骑士阿莉亚陷入沉思时，她身旁的众人为了打破眼前的状况开始谈论策略。
48,<span class='scene-font-kokoro'>（难道他想对真王陛下谋反，自立为王吗？不，这么狂妄的事情……）
47,<span class='scene-font-kokoro'>（如果那家伙真是以此为目的，那么他在这个法塔·格兰德空域到底是想做些什么呢？）
46,<span class='scene-font-kokoro'>（这就意味着，真王陛下在奥莱・格兰德大空域之外地区的影响力会下降。）
45,<span class='scene-font-kokoro'>（虽然我们也能在没有碎石环的情况下往返空域，但是这样花费的时间会明显增加。）
44,<span class='scene-font-kokoro'>（对于要频繁在空域之间往来的我们来说，碎石环是不可或缺的要地。）
43,<span class='scene-font-kokoro'>（这就是巴拉格纳的目的吗？）
42,<span class='scene-font-katari'>露莉亚的声音饱含悲伤，但是金骑士阿莉亚陷入了思索。
41,怎么会这样！那么我们应该尽早去阻止菊理才对！
40,只是一堆岩石的话，要么会被瘴流域吞噬，要么就会这么掉下去罢了。
39,但是由于它的力量失控，碎石环这里也就失去了能形成岛屿的巨大的聚合力。
38,正因为有菊理，才能将这些不足形成岛屿大小的岩块维系在一起，形成统一而巨大的岛屿。
37,这个碎石环的核心恐怕就是星晶兽菊理。
36,缘……将某物与某物联系起来的星晶兽。
35,诶？那么，这也是因为星晶兽菊理失控发生的吗？
34,不，要说原因的话恐怕是一样的。
33,喂喂喂，\n为什么在街上还处于一片混乱的时候\n还会发生这么麻烦的事啊！
32,我们必须尽快让碎石环上的居民到附近的岛屿去避难。
31,但是这也只是时间的问题，现在这个碎石环上已经没有安全的场所了。
30,幸运的是，我们还没有收到任何伤亡报告。
29,那么住在那些被分开的岩石上的人会怎样呢？
28,再这样下去，要不了多久碎石环就会在空中分解，然后什么也不剩。
27,这其中有一部分会被瘴流域吞进去，也有失去了作为岛屿的浮力、直接掉到空之底去的。
26,不久之前，构成碎石环的岩石正在互相分离。
25,正如字面含义，这样下去的话碎石环就要毁灭了。
24,莫妮卡阁下，到底发生什么了？碎石环毁灭是什么意思？
23,嗯？哦哦，看来诸位都顺利和伙伴汇合了呀，大家都平安无事真是太好了。
22,喂！刚刚说的是怎么回事呀？什么碎石环要毁灭了？
21,<span class='scene-font-katari'>秩序骑空团的团员接受了莫妮卡的指示，慌忙地跑了出去。
19,得、得令！
18,这么下去的话碎石环恐怕要毁灭了！
17,哈……哈……谁现在能紧急联系阿玛提亚岛那边吗？？现在需要足够多的援军！
15,<span class='scene-font-katari'>众人目光一齐转向门那边，而一个小小的身影以像是要破门而入的势头开门进来了。
14,<span class='scene-font-katari'>正当大家都为解决事态的方法而绞尽脑汁时，外面传来了慌张的脚步声。
13,水呀火之类的倒很清楚，但是缘这种概念该怎么寻找呢。
12,除此之外，这只星晶兽所司掌的东西也无从探寻。
11,但此处的居民大部分都属于流动性人口，所以这里没有祭祀星晶兽菊理的类似场所。
10,因为是将人与人的关系维系在一起，来访此处的商人们或多或少都信仰着这只星晶兽的吧。
9,司掌缘的星晶兽，到底该去哪找它呢？
8,是的，但我感觉不到它存在的气息。
7,我们原本的记忆还没有回来，也就是说星晶兽的失控现在还没有止住吧。
6,但是，还是有存在幕后黑手的可能吧。
5,虽然这只星晶兽非常棘手，\n但是能这样重聚已经算是\n避开一桩灾难了吧。
4,这也是没什么办法的事呀，毕竟是星晶兽搞的鬼。
3,嗯……我不知道该说些什么。对不起，明明是很重要的人，我却不记得了。
2,确实，这样的说明能解释今早开始自己周围发生的异常呢。
1,<span class='scene-font-katari'>卡塔莉娜、伊欧、欧根和莉夏因失去部分记忆而感到了异样，在听取这一说明之恍然大悟。
0,姬塔将向重新集结的伙伴们说明了\n星晶兽菊理的失控\n以及金骑士阿莉亚之前所说的事。
0-synopsis,姬塔终于与伙伴们重新集结，但是他们正头疼于阻止星晶兽菊理失控的方法。这时从莫妮卡那里传来了构成碎石环的岩石块正在分崩离析的消息。
0-chapter_name,第69章 存在于此之物
