id,trans
filename,scene_chr550_q1_s10
info,scene_chr550_q1_s10
48,<span class='scene-font-katari'>老奶奶带着笑容离开了，</span><br><span class='scene-font-katari'>圣德芬面色温和地目送她。</span>
47,好的，请务必。
46,很美味哦，<br>我明天也来吧。
45,啊，没什么……
44,哎呀，抱歉让你听我这个老人的旧话。
42,…………
41,我丈夫是有名的会参与客人们的商谈的店主。<br>我很尊敬那样的他，<br>和他在一起的时候我很幸福。
40,呵呵，不用太在意哦，<br>已经是很多年前的事了。
39,是这样吗……
38,但作为店长的我丈夫在几年前因病去世了，<br>所以店也关了。
37,原来如此……<br>所以才会对咖啡了解的这么详细。
36,不用那么惊讶。<br>别看我这样，<br>曾经我也在这片海边经营过咖啡店呢。
35,竟然能看到这种层面……<br>您到底是……<br>似乎不是来度假的游客。
34,…………！
33,哪一点都不是一朝一夕能练出来的呢。
32,研磨时把摩擦的热度控制在最小限度，<br>使粉末大小平均，<br>去除细粉与薄皮……
31,您，您懂的吗？
30,呵呵，非常棒哦。<br>香味的强度，浓郁的醇香与均衡的浓度……<br>无论哪一点都是细致的工夫才能做到的。
29,我的经验还不足，<br>至少想知道合不合您的口味……
28,那个……<br>很抱歉，<br>可以的话能问一下您的感想吗？
27,…………
26,呵呵，<br>咖啡果然是好东西，<br>我的心平静下来了。
24,<span class='scene-font-katari'>老奶奶把咖啡杯凑近鼻尖享受着香气，</span><br><span class='scene-font-katari'>随后慢慢将杯子放到嘴边喝了起来。</span>
23,谢谢，<br>那我赶快品尝一下吧。
22,让您久等了……<br>这是本店推荐的咖啡。
16,但是不要慌张……<br>要像练习的时候冷静……
15,第一份咖啡点单……<br>终于到这个时候了……！
14,不，不是！<br>我立刻准备！
13,哦呀，难道咖啡卖完了？
12,<span class='scene-font-4'>要咖啡吗！？</span>
11,…………！
10,感谢您点单，<br>请坐在那个椅子上稍等……
9,打扰了，<br>能给我来杯咖啡吗？
7,嗯……？<br>那位客人是……？
6,虽然这个时间段正是忙的时候，<br>看看情况让他们早点休息去吧——
5,呼……<br>今天真是特别的热啊，<br>姬塔他们也明显很疲劳。
4,<span class='scene-font-katari'>自从配置了长椅和产生风的装置后，</span><br><span class='scene-font-katari'>摊位的来客也顺利地多了起来。</span>
3,<span class='scene-font-katari'>圣德芬流畅地应对着点单，</span><br><span class='scene-font-katari'>顺利做好了店长的职务。</span>
2,碧，拜托你准备甜瓜汁。<br>露莉亚把萩饼当特产包起来，<br>姬塔继续接客。
1,好的，甜瓜汁是吧？<br><span class='scene-font-spword'>“海豚萩饼”</span>是我们的人气商品……<br>每位限购2个。
0,久等了，<br>这是您点的刨冰。
0-synopsis,圣德芬与姬塔他们在奥古斯特海边摊位上工作着。一位老奶奶来到摊位点了一杯咖啡，圣德芬在与老奶奶谈话时，听说了老奶奶曾经与丈夫一起经营咖啡店的事，她的丈夫是有名的会参与客人们的谈话的店主。圣德芬温和地目送老奶奶喝完咖啡带着笑容离开。
0-chapter_name,有一天会再寻访的场所
