id,trans
filename,scene_evolutionweapon_1_ep2
info,scene_evolutionweapon_1_ep2
40,<span class='scene-font-katari'>随着</span><span class='scene-font-spword'>「一伐槍」</span><span class='scene-font-katari'>的觉醒，姬塔一行也将得知真相。</span>
39,<span class='scene-font-katari'>在那之后，不论再怎么追问，榭洛科特也闭口不言。</span>
38,嗯嗯……目前榭洛酱我只能说这么多了~
37,什么啊？说得这么不清不楚的……
36,他也说过既然被称作十天众，就要有相应的行动啊~
35,那是……嘛，我觉得那也是无可奈何的~
34,但是……十天众们和<span class='scene-font-spword'>「一伐枪」</span>的觉醒有什么关系呢……？
33,那，那个胡子大叔，是那么厉害的骑空团的一员吗……
32,聚集了最强十人的十天众，被称作全空的威胁~
31,那十人使用着不同的武器……
30,十天众正如其名，是由十人组成的传说骑空团~
29,真稀奇啊~居然不知道十天众~
28,那个……十天众是怎样的存在呢？
27,怎么了，那个人……结果是怎样啊？
26,<span class='scene-font-katari'>说完，乌诺一脸严峻地离开了。</span>
24,那是无可避免的……给我好好记住这件事吧……
23,你们总有一天……会不得不与我们十天众……全空的威胁扯上关系。
22,总之……如果你要继续让<span class='scene-font-spword'>「一伐枪」</span>觉醒的话……
21,那恐怕是因为你下意识感觉到了<span class='scene-font-spword'>「一伐枪」</span>蕴含的那强大的力量吧……
20,是嘛……确实对于获得它的人来说，是理所当然的选择呢……
19-sel2_txt,<span class='scene-font-katari'>还在烦恼中……</span>
19-sel1_txt,<span class='scene-font-katari'>当然了</span>
19,你打算让<span class='scene-font-spword'>「一伐枪」</span>完全觉醒吗？
18,我在文献上看过……这就是真品吗……而且这股力量……！
17,被称作霸空战争最终兵器的<span class='scene-font-spword'>「天星器」</span>的潜能可是难以估量的呢~
16,是啊~毕竟<span class='scene-font-spword'>「一伐枪」</span>可是<span class='scene-font-spword'>「天星器」</span>之一啊~
15,呜诶……还要再努力啊……
14,啊，不是的……虽说是接近了，但要觉醒还是要再努力啊~
13,嗯哼！那是当然！因为我们的努力，这把枪才这么快觉醒！
12,是<span class='scene-font-spword'>「一伐枪」</span>啊~<br>姬塔，离觉醒又近了一步的样子呢~
10,话说回来，你……你手上的那是……
9,是嘛……啊，没事的，请不必介意。
8,那个……对不起。不是很清楚呢。
7,嗯……你们不知道十天众吗？至今为止都没听说过吗？
6,嗯？你说什么？十天众什么的……
5,我叫乌诺……是被称为全空威胁的十天众的一员。
4,啊，失礼了！我还没自我介绍过呢。
3,啊，你是……嗯……
2,呀……又见面了呢，骑空士。
1,<span class='scene-font-katari'>然后在那又看见了之前那位娇小的客人。</span>
0,<span class='scene-font-katari'>为了确认<span class='scene-font-spword'>「一伐枪」</span><span class='scene-font-katari'>觉醒的时机，一行人再度拜访了万事屋。</span>
0-synopsis,姬塔一行拜访了万事屋，再次遇到了那个哈文族男子。他告诉一行人他叫乌诺，是被称作全空威胁的十天众的一员。然后乌诺对一行人说，如果一伐枪完成了的话，他们总有一天会和十天众扯上关系，便离开了。一行人对一伐枪和十天众的关系产生了疑问。
0-chapter_name,与十天众的邂逅②
