id,trans
filename,scene_chr872_q2_s10
translator,圣代天使
info,scene_chr872_q2_s10
141,在梅德维基亚的禁书库——\n那个被封禁的地方，\n他将会发现什么呢。
140,斑特凛然抬起头，\n转身背对家人。\n作为未来其中之一的统治者。
139,嗯……
138,……斑比，\n你最好稍微休息一下。\n贝丝，拜托了。
137,当然。\n那么请批准我使用禁书库。
136,嗯……那这件事就交给你，可以吗。
135,请费尔德拉克大人继续\n专注于平息混乱。
134,不，这件事太不确定了……\n不能占用您的时间……
133,<span class='scene-font-spword'>禁书</span>吗。我也有印象。\n一起调查吧。
132,……但恐吓信中的那些词，\n我隐约有些印象。
131,我无法……整理好自己的情绪……
130,（思念母亲大人的心情，\n她一定比我更强烈──）
129,（斑比是我的姐姐……\n论和母亲大人共度的时间，\n她比我更长）
128,是、是……
127,你也是，斑特。
126,嗯……
125,你尚且……年幼。\n想见到深爱的母亲，\n这是理所当然的感情，不要将其断定为过错。
124,你的想法很好。\n你已经配得上统治者的身份了。\n但是啊。
123,呜诶……？
122,斑比，不要掩饰。
121,明明斑比也很喜欢外面的人类们！\n却还是……内心……\n稍微动摇了……
120,明明发生了这么严重的事，\n明明应该更多地去考虑\n梅德维基亚的事……
119,明明斑比……\n必须变成像妈妈那样\n的人才行……
118,斑比……
117,自己竟然有一瞬间那样想了，\n这让斑比觉得非常、非常……\n莫名的讨厌……
116,不是的……\n斑比只是……
115,连你也说这种话……
114,真的，\n还能再见到妈妈吗？
113,……无论事实如何，\n恐吓信想要传达的……\n应该是那个意思吧。
112,这也就是说……\n又能见到妈妈了。\n是这个意思……对吧？
111,嗯……不。\n斑比自己也不太明白。\n还有他们说的复活也是……
110,斑比……你还好吗？
109,妈妈……
108,是啊……虽然对你们\n没怎么提起过……\n她是一位如花般绚烂……如火般热烈的人。
107,您过奖了。\n……女王陛下\n是位相当强势的人呢。
106,不……我只是觉得你成长了。\n刚才那一声呵斥，让人想起了当年的女王。
105,……费尔德拉克大人？\n您怎么了？
104,…………
103,唉……
100,遵命！
99,明白了就退下吧。\n把出入境管制和信息收集\n作为最优先事项。
98,是我失言了……
97,……非常抱歉。
96,常言会议只是个形式，这话还真没说错。\n在这种非常时期，你们优先要做的事\n就是内讧对骂吗？
95,…………
94,给我适可而止！！
93,喂──……
92,喂！ 你这不仅是对\n造就了如今梅德维基亚的斑比大人\n的侮辱！ 你这家伙竟敢──
91,渴望女王陛下复活的人\n在民众中应该也存在。\n如果民意因此倾斜的话……
90,我想说的是，\n正因为如此，向民众公开信息时\n才更应该谨慎！
89,<span class='scene-font-4'>我没那么说！</span>\n啧……你是不是有点\n被害妄想过头了？
88,……你的意思是，为了复活女王陛下\n就眼睁睁看着\n受害者被杀吗？
87,下一个满月是在三天后，\n万、万一那是真的话……
86,啊、不，那个……\n我是指复活女王陛下。
85,……什么？
84,……不过，\n真的可能实现吗……
83,（看来斑比\n受到了相当大的打击啊……）
82,是吗……
81,……对不起，\n斑比还没想出什么办法……
80,啊哇！ 啊、那个……\n斑比呢……\n嗯～～……
79,嗄呜呜……？
78,…………
77,不过，唉……\n斑比你怎么看？
76,……呃。\n是……
75,费尔德拉克大人说得对。\n这样有可能招致民众的反感。\n我理解你的心情，但请先忍耐一下。
74,可、可是！\n再这样下去，人类们\n可能会遭受更进一步的伤害……！
73,不。\n去怀疑民众这件事，\n还是谨慎为好。
72,…………
71,嗄呜、嗄呜呜呜呜……
70,果然，还是应该进行\n大规模搜查吧。\n必须从民众中揪出谋反者。
69,没想到还有人在\n想这种事……真是令人叹息。
68,信里相当于说\n要牺牲人类呢……
67,这是对当前梅德维基亚所倡导的\n『融和』这一目标的\n正面挑衅。
66,无论内容真假，\n竟敢说要用人类的鲜血\n来复活女王陛下……！！
65,现在的论点不是这个问题。\n犯人……不，敌人。\n正在进行不可饶恕的亵渎。
64,（费尔德拉克大人……）
63,……嗯，这话并无虚假……
62,…………
61,复活……？\n可是，费尔德拉克……妈妈她\n只是去了很远的地方不是吗……
60,不过……\n复活女王吗……
59,你没有把这当作无稽之谈搁置一边，\n而是前来传达，做得很好。
58,因为内容太过骇人，\n我一直在犹豫是否该\n直接传达这件事……
57,（不，满月之夜、\n人类之血──复活。\n这些词，我好像在哪……）
56,…………
55,（我、我不明白……\n这也太荒诞了……\n况且母亲大人她……）
54,妈妈……？
53,女王——现已离去的女王。\n也是斑特和斑比\n的母亲……
52,女王……？\n难道是指女王陛下？
51,『欢喜吧！\n在满月之夜，藉由邪恶人类的鲜血，\n吾等的女王将会复活』
50,我念给您听。\n<span class='scene-font-italic scene-font-blue'>『欢喜吧──』</span>
49,又来了……！？\n这次写了什么……！？
48,恐吓信又来了。\n格式和之前那封相同，\n笔迹也一样。
47,那、那个……
46,怎么了？\n有什么进展吗？
45,打、打扰了！
42,……这样一来，果然还是──
41,这样啊……我也这么认为。\n无论从感情上，还是从\n客观角度来看，她应该都是受害者。
40,那位大姐姐\n非常非常温柔！\n完全看不出任何坏心眼……
39,她只是作为嘉宾\n受所属乐团的指示前来这里。\n逗留期间的行为举止也很良好。
38,无法断言没有。\n但动机实在不足。
37,有没有可能是那位女性自行消失的？
36,……接下来是关于目击情报，\n由于事情发生在黑暗中，\n几乎无法确定任何情况。
30,音乐会的热烈气氛已不知去向。\n梅德维基亚的夜晚\n在寂静中渐渐深沉──
29,斑特深深地低下头，\n随后带着斑比\n离开了房间。
28,嗄呜……
27,我知道啦……\n贝丝也去吧……
26,……斑比，走吧。
25,……我们去和费尔德拉克大人\n商议这件事。\n护卫的事就拜托你了。
24,嗄呜呜呜……
23,梅德维基亚的大家\n才不会做这种事呢……
22,但越是看现场的证据，\n梅德维基亚的吸血鬼\n就是犯人的可能性就越高。
21,对于早已送达的那封恐吓信……可恶……\n我不愿相信、也不愿去看。\n……是我逃避了。
20,不……如果犯人真的是\n吸血鬼的话……\n那就是整个梅德维基亚的失态。
19,为、为什么斑比\n要道歉！\n做坏事的是犯人啊！
18,姬塔……\n翠，你们也是，对不起呀……
17,承蒙关照。人类客人们\n已经被集中安排在一栋旅馆中了，\n详细情况请向我的部下询问。
16,明白了……\n护卫的任务就交给我们吧！
