id,trans
filename,scene_chr846_q1_s10
translator,雨降星
info,scene_chr846_q1_s10
97,听了式神的话，\n哈伊拉大惊失色。
96,什么！？
94,辰神宫的宝库有盗贼入侵，\n哈伊拉大人您的宝物被夺走了……
93,刚才辰神宫传来了急报。
92,若是琐事，便由汝等——
91,何事吵闹。\n本宫正与姬塔等人用茶呢。
90,门被猛烈地撞开了。\n接着式神中的一位\n慌慌张张地冲了进来。
89,哈伊拉大人！
86,哈伊拉一脸理所当然的样子。\n听了她的解释，\n姬塔等人也恍然大悟。
85,本宫要与汝等共度旅程。\n那为了了解汝等，\n做些背景调查也是应当的吧？
84,说起来，\n为啥你会对俺们这么了解啊？
83,无妨。\n汝等维持现状便可。
82,呃，抱歉。\n我听不懂你在说什么。
81,这光辉美丽得令本宫\n无论如何都想据为己有……
80,本宫即是被这份异常中生出的\n罕见光辉所吸引的。
79,呵呵，啊哈哈哈！\n能够若无其事地说出这句话\n才是最异常的。
78,帮助有困难的人\n是理所当然的……对吧？
77,毕竟汝等可是救人于险境\n却不求回报啊。
76,不，或许称之为疯狂\n会更加恰当吧。
75,既然汝等尚未察觉，本宫便直言了。\n汝等的处世之道……实乃异常。
74,而哈伊拉只是用爱怜的眼神\n注视着他们困惑的样子。
73,哈伊拉的话\n听得姬塔等人一头雾水。
72,是啊。汝等之美，\n在本宫所拥有的众多宝物中也位居前列。
71,咦，我们吗？
70,姬塔，本宫认为在此之中，\n汝等显得分外美丽。
69,哈伊拉这样说着，\n直直地望着姬塔等人。
68,那些经过精炼升华的\n人之执念、意志与祈愿，\n本宫亦以之为美。
67,像金银珠宝这样\n纯洁美丽的东西自不必说……
66,……唔，选择宝物的基准吗。\n主要是本宫看为美丽的事物。
64-sel1_txt,这宝物是以什么为基准选的啊？
64,说起来哈伊拉小姐\n也称我们为宝物呢。
63,从布娃娃之类的东西\n到镶着钻石的戒指都有呢。
62,……宝物？\n而且看起来五花八门的，\n没什么共同之处啊。
61,哦，这些东西啊。\n这些全是本宫收集的宝物……\n严格来说，是其中的一部分。
60,说起来，哈伊拉的房间里\n还真是摆了不少稀奇古怪的东西啊。
59,在此期间，碧一脸惊讶地\n打量着哈伊拉的房间。
58,姬塔等人和哈伊拉以及式神们\n一起享用起茶点。
52,各位久等了~\n茶和点心准备好了哦~
50,正是如此！
49,原来是这样。\n所以每个人的性格才会不同啊。
48,所以本宫做了许多式神\n以达成不同的目的。
47,但哪怕是本宫，\n也很难做出一个一人就足以胜任所有工作的\n完美式神……
46,造她们出来是为了给本宫代劳的。
45,咦，这是怎么回事？
44,我们根据各自的能力\n被赋予了不同的性格。\n而且之后也各自出现了差异。
43,嗯，说得也是。\n不过，虽然你们长得都一样，\n但还是有很多不同之处的。
42,毕竟外表也不是我们能掌控的。
41,啊哈哈，那就只有\n请诸位慢慢习惯了。
40,果、果然看到一堆一模一样的人\n还是会觉得惊讶呢。
38,谢谢你~
37,我来帮你。
36,谢、谢谢。
35,啊，那我来为各位倒茶吧~
34,汝等难得来访，\n来陪本宫饮几杯茶吧。
33,罢了罢了。\n汝等的事问完了吗？
32,啊、啊哈哈……
31,你这，别说宅了，\n这根本就是家里蹲啊……
30,再说了，没有目的，\n为何要外出？\n那才真是虚度光阴吧？
29,而且她们的工作都完成得很好。\n可谓无可挑剔。
28,也就是说，式神们即是本宫的力量。本宫自己使用自己的力量有何不对？
27,此言差矣。\n式神们由本宫创造，\n并以本宫的力量为粮才能显现于世。
26,身为辰神宫之主，这样像话吗？
25,而且还把活都扔给式神姐姐们，\n自己在这里享受……
24,喂喂，你这也太宅了吧。
23,这一阵子，我也暂时没见过哈伊拉大人\n因洗澡和去厕所以外的事外出。
22,姬塔等人哑口无言，\n同时把目光投向式神，\n试图确认这件事的真实性。
21,是这样，怎么了？
20,待在屋里……\n难道说这些天\n你从来没出过门吗！？
19,抱歉，白让汝等担心了。\n请原谅。
18,原来是这么一回事啊……\n本宫只是按平时的习惯\n一直待在屋里罢了……
17,所以，稍微有点担心……
16,那个……自从哈伊拉小姐加入我们，\n我还一次都没在船上见过你……
15,……精神？\n真是莫名其妙。\n何出此言？
14,什么啊，这不是精神得很嘛……
13,唔，姬塔，是汝等啊？\n怎么了？找本宫何事？
12,屋内，是忙碌地进行着扫除的式神们\n和优雅饮茶的哈伊拉。
11,式神中的一位领着姬塔等人\n进入了哈伊拉的房间。
7,担心？情况？\n总之进屋再说吧。
6,我们有点担心哈伊拉小姐……\n所以想来看看情况。
5,是，请问是哪位……\n咦，是姬塔等各位大人？\n今天有什么事吗？
2,姬塔、碧和露莉亚一起来到了\n哈伊拉的房间。
1,就在哈伊拉与姬塔等人同行的几天后……
0-synopsis,姬塔等人来到了哈伊拉的房间。哈伊拉把一切杂事都交给式神，自己窝在房间里。一行人得知了哈伊拉极端宅家的秉性，露出了苦笑。之后，就在哈伊拉招待众人饮茶之时，一位式神冲了进来。式神带来消息称“辰神宫有盗贼入侵，哈伊拉的宝物被夺走了”，令哈伊拉大惊失色。
0-chapter_name,哈伊拉寻求的宝物是？
