id,trans
filename,主线剧情第142章第3节第一幕
translator,雨降星
info,scene_cp142_q3_s10
69,看着顺理成章般交在自己手里的面具，\n一行人难掩脸上的困惑。
68,不顾继续讲解的阿尔芭，\n姬塔一行已经将注意力转到了递给他们的\n“面具”上。
67,那儿的位置不太好找，\n应该说是只有熟客才知道的剧场……
66,好了，这个给你！\n这是我相当中意的一家，\n保准你们看一次就立马想去了。
65,这时，阿尔芭慢慢地将手掌遮在自己面前，\n递出她所制作的“面具”。
64,不过地点基本都在巷子里，会有点难找……
63,没有像“剧场”那样的入场限制，\n还能看到内容尖锐的剧目，\n真要说还是小剧场那边更充实精彩一些。
62,如果一定要大家一起看的话，\n剧场区还有几个小剧场，\n那边也很推荐哦！
61,看到姬塔一行思考“剧场”的攻略方法时\n表情凝重的样子，阿尔芭愉快地开口，\n试图缓和气氛。
60,(也许他们限制进入人数，\n是为了减少被入侵的风险……)
59,一组最多两三个人吧？\n我基本上都是一个人去，\n所以几乎从来没有受过限制。
58,限制人数是因为地方太小，\n而来的人又太多。
57,不是的！\n“剧场”中上演的戏剧是莱伯塔利亚岛的\n招牌项目之一。
56,限制入场吗……？\n就像进岛时需要身份证那样……
55,由于上述原因，\n“剧场”是有入场限制的，这点需要留心。
54,所以那里只有一些最基本的政府性质的设施，\n占地方的拘留所和档案室应该在别的地方，\n我记得。
53,那里原本只是一个大剧院，\n后来为了作为岛屿的中枢运作才进行了\n改造和扩建。
52,剧院本来就会建得大一些嘛。\n毕竟要装下那么多舞台道具和装置。
51,窄……\n这座建筑看起来明明很大啊？
50,啊，对了对了。\n“剧场”里边其实还挺窄的。
48,特征……？\n特征嘛……
47,我说。\n那个“剧场”有什么别的特征吗？
46,既然那地方也是副王的居所，\n那么安保自然也不会弱……\n要是有什么突破口就好了……
45,现在，我们可以确定“苍蓝解放战线”的成员\n被带去的地方，就是岛上的中枢了。
44,卡塔莉娜压低声音与团员们交谈，以免引起阿尔芭的注意。
43,一手担起国家娱乐的岛屿，\n还真是名不虚传啊。
42,戏剧、体育赛事，还有面向成年人的店……\n娱乐方面可谓是应有尽有。
41,姬塔一行回顾阿尔芭描述的莱伯塔利亚岛的\n构成。
40,这是一个关于一个少年和他的同伴在不同\n岛屿上冒险的故事，或许你们能产生共鸣。
39,现在上演的剧目中，\n我最推的是“飞天勇士的传说”！
38,不过「剧场」的本体还是演戏用的大剧院，\n你们至少应该去看一回。
37,副王大人应该就住在那里，\n同时也兼具政府大楼的功能。总之，\n从各种方面来说，它都是岛屿的中心。
36,“剧场”位于主干道尽头，是岛上最大的建筑。
35,阿尔芭说着，拿起了第三个最大的杯子。
34,最后……\n是包括岛屿中枢“剧场”在内的剧院区域。
33,既然你们都能穿越空域了，\n如果对自己的实力有信心，\n你们也可以作为挑战者报名。
32,这个区域主要是用来观看体育赛事，\n格斗大会之类的比赛的。
31,第二个，是以斗技场为中心的观赛区域。
30,阿尔芭又拿起第二个杯子，\n继续讲解岛屿的构成。
29,这个区域的大部分地方谢绝未成年人入内。\n需要注意的是，\n在这里小孩没有监护人跟着是会被赶出去的。
28,这里有像我们家这样可以喝酒的地方，\n不远处还有几家赌场。
27,我们现在所处的这家店所在的，\n是面向成年人的欢乐街区域。
26,首先，莱伯塔利亚岛大致分为三个区域。
25,阿尔芭拿起大大小小的空玻璃杯，\n把它们摆在一起来描述街道。
24,以不迷路为前提进行讲解的话……
23,啊，你们是想听关于岛屿的信息来着。\n的确，这里乱糟糟的，\n刚来的时候理不清楚也正常。
22,姬塔一行隐藏身份，试图从阿尔芭那里获得\n关于莱伯塔利亚岛的信息。
21,不，其实……\n该怎么说呢。
20,能在空域间随意来往，\n你们其实是很了不得的人吧？
19,去过其他空域的人也不是没有，\n但基本上碰不到呢。
18,原来如此啊～\n不过，很少见呢。
17,能不能麻烦你给我们介绍一下岛上的地理情况\n和店铺的种类呢。
16,——说实话，关于这个岛，\n我们几乎一无所知。
10,不过，这里主要还是作为酒吧运作的，\n想吃什么尽管点！\n我来请客，作为刚才的谢礼！
9,就是那种可以一边喝酒一边和很棒的小哥哥\n小姐姐聊天的店吧……？
8,什么店……？\n呃，怎么说呢……
7,那家店离主干道有些距离，\n并且周围都是类似的店。
6,姬塔一行帮助了被醉汉纠缠的女性\n——阿尔芭，并被邀请到她工作的店。
5,那个……\n这里到底是个什么店？
4,总之，每次有客人来的时候都得这么做……
3,……嗯，就是这样。\n刚才是我们店里的特色问候。
2,…………
1,欢迎光临～☆今天就让阿尔芭来把你们迷・倒・倒☆
0-synopsis,在酒吧接受款待的同时，姬塔一行从阿尔芭那里听说了岛屿的情况。该岛大致分为三个区域，一行人猜测“苍蓝解放战线”的成员被带去的地方，可能是剧院区域里的岛屿中枢建筑“剧场”。与此同时，阿尔芭向他们介绍了她推荐的小剧院，然后用手掌遮住自己的脸，做出一个“面具”，递给他们。
0-chapter_name,第142章 面具
