id,trans
filename,scene_evt180630_cp2_q3_s10
translator,psyche
info,scene_evt180630_cp2_q3_s10
84,铺床的时间里，\n姬塔他们一直都在关注两人的练习。
83,是啊，\n他俩都是很努力的人。
82,就是因为每天都这样练习，\n才能演奏出那样动听的旋律。
81,细致地重复看似单调的动作。\n持续地练习着，直到自己满意为止，\n连旁人无法察觉的一丝杂音都不放过。
80,空弦运弓练习，\n左手依序按音位的音阶练习，\n跨越多根弦的琶音练习——
75,嗯……\n那我也练一会儿。
74,住在这里的只有我们，\n不用顾虑，尽管练吧！
73,旅舍的人说这里是算是城外，\n发出声音也没事的。
72,可是，已经这么晚了，\n声音传出去，不会打搅别人吗？
71,只是想练习一会儿……\n等大家睡觉的时候就停下来。
70,哦，要弹什么曲子？
69,大家准备睡觉的时候，\n艾尔塔慢悠悠地架起乐器\n开始调音。
67,那我先失陪了。\n对面的工房就是我家，\n有事尽管来找我。
62,姬塔一行在这位女士的带领下，\n来到旅舍的一间房间里。
61,是呢，\n那我们就心怀感激地住下了。
60,都说到这个地步了，\n还要拒绝反而会失礼呢。
59,这是大家的一点心意。\n别客气了，尽管住吧！
58,没事啦，\n你们帮了这么多忙，\n我们却没有什么可以报答的。
57,真的可以吗？\n既然有旅舍，还是给\n住在避难所里的人们……
56,结束了一天的工作，\n姬塔一行来到没有受灾的旅舍。
51,可是，无论笑得多灿烂，\n那个人的话还是梗在她心里，\n挥之不去。
50,塞尔菲拉挤出笑容，\n把碗递给下一位岛民。
49,啊，很抱歉。\n来，给你。
48,我说，可以把食物给我吗？
47,（……可是，\n说演奏会没用，这也太……）
46,（是啊……\n每个人想法不一样，\n他可能遇到了什么事。）
45,（也会有人\n不想举办慰问演出吧？）
43,啊，又只顾着说话了。\n之后也请你多关照了。
42,对不起，\n我想那个人只是心里不痛快，\n但也不该那么对你说啊。
41,……嗯。
40,不要往心里去。\n你们的演奏真的很出色。
39,没事，只是有点意外。
38,嗯……
37,塞尔菲拉小姐，没事吧？
35,男人丢下这句话后，大步离开了。
33,……！？
32,谢了。\n比起没用的演奏会，我宁愿吃点东西。
31,嗯，是啊……
30,我在想，\n好久没吃到热的饭菜了。
29,哼……
28,那个，分量不够吗？
27,男人盯着碗里的东西，\n一动不动地站着。
26,…………
25,不好意思，让你久等了。\n请拿好……
24,排在这位女士后面的男人\n烦躁地走到塞尔菲拉面前。
20,啊……是啊。
19,喂，要闲聊的话就到一边去。\n排队的人太多了。
18,是呢，我和你一样……
17,……难道你也演奏乐器吗？
16,谢谢，我会小心的。
15,谢谢你们留下来帮忙。\n不过要小心哦，\n不要弄伤重要的手指。
14,当然记得。\n听你们唱歌的时候，\n我激动得不行呢。
13,咦，你记得我吗。\n我好开心。
12,哎呀？\n莫非你是出席演出的\n塞尔菲拉小姐？
8,帮大忙啦。\n可以把那些餐具叠起来吗？
7,喂，塞尔菲拉！\n我把新的餐具拿来了。
3,嗯！　谢谢。
2,好啦，小心一点哦，\n不要打翻。
1,物资整理完毕后，\n姬塔他们帮忙去分发食物。
0-synopsis,塞尔菲拉帮忙分发粮食时，接过食物的男人没好气地说了句“比起没用的演奏会，我宁愿吃到温热的饭菜”。塞尔菲拉明白也会有人讨厌举办慰问演出，但还是受到了冲击。夜里，一行人承蒙岛民的好意借宿旅舍，姬塔他们准备睡觉时，艾尔塔和塞尔菲拉用心地练习乐器。
0-chapter_name,艺术家和阿尔特大人
