id,trans
filename,scene_evt200529_cp2_q1_s10
info,scene_evt200529_cp2_q1_s10
127,……是啊。他不用回忆起那些事，把注意力集中在音乐节上就好了。
126,我并不认为他有必要找回那段记忆……那对他来说不是好事。
125,如果……他过去是残虐三兄弟的一员……
124,亚欧伊多斯说过，消失的记忆中有他要寻找的音乐。
123,看现在的亚欧伊多斯根本无法想象他还有那种诡异的过去。
122,血腥的黑暗演奏，么。
116,激情……最初的冲动……<br>到底是音乐不行还是歌词不行……<br>我怎么能这样……！
115,……行吧，我倒是无所谓。<br>我去安排练习室。
114,我要找回最初的冲动！<br>从老歌里找到激情！
113,<span class='scene-font-4'>啊！？</span>
112,比起这个，我们先练习吧。
111,……看你无精打采的样子。作曲怎么样了？
107,这样下去咱们真的能顺利上台吗……
106,还有他的作曲瓶颈，问题真是一大堆啊。
105,Ahhhhhhh————！！
103,不知道亚欧伊多斯是初代还是二代，总之与他们有关。没想到会在音乐节撞上他们。
102,只是有这个可能而已。<br>自从初代吉他手因为一些争吵而退出之后，他们就进入“基本上”是三个人的状态了。
101,也就是说，亚欧伊多斯以前是在残虐三兄弟里弹吉他的。
100,吉他手都是从通缉犯里选的。所以他们不会被问罪。
99,……真是群不得了的家伙。<br>做这种事不会被抓吗？
93,说他们“基本上”是三人组是因为吉他手会被处决。用血雨来给演出落幕。
92,————……
91,啊啊！
90,不行。<br>不过我会奖励你的，在庆功会上，好好地奖励你。
89,唔……写上「杀了鼓手」也可以的。
88,音乐人无法违逆琴谱。<br>没办法啊。
87,<span class='scene-font-4'>哦哦哦哦哦哦哦哦哦哦哦！</span>
83,啊？
82,……「处死吉他手」。
81,等一下，最后那张谱子上写的什么？
80,啊啊，我真想代替他来啊。
79,是我们的多了一张而已。<br>因为你不需要那张谱子。
78,……啊？<br>我的谱子是不是少了一张？
77,但演出的高潮是在最后——
70,"承受诅咒的因果 谁会是下一个下一个 "
69,把燃烧起来的悲鸣踩扁 回归沉默
68,腐蚀城市的诅咒 那就是元凶元凶元凶
67,把野狗逼进死路 用石头砸用棍棒打
66,他们的音乐和歌词都很暴力，以至于第一次听的人会把耳朵捂起来——
65,Grrraaaaaahhhhh！！！
64,呵呵……抱歉。
63,蠢猪……别给我插嘴。
61,到时间了。我们开始吧。
59,呵呵，还请你把这种感觉保持到演出最后哦。
58,没想到谱子还是用成员的血写的，太有感觉了……
57,我们的信条是即兴表演，编曲是昨天完成的。
56,嘿嘿嘿……这是我的荣幸。<br>不过，在演出上还看谱子，真是罕见呢。
55,是啊。毕竟接下来会发生一件大事。我都想代替你来了。
54,大家都很期待你这个新成员的表现啊。
53,嘿嘿……<br>跟传闻中一样受欢迎啊。
45,他们“基本上”是三人乐队，信条是即兴表演。还搞出些什么黑暗演奏之类的奇怪的东西——
44,残虐三兄弟因为他们血腥的表演在心理阴暗的人中很受欢迎。
43,关于残虐三兄弟，我和经纪人在城里问了个遍。
37,那种疯狂的行为……<br>也许是他失忆前一直在做的事情。
36,以前就是这样，亚欧伊多斯一拿起剑就会性情大变。
33,他把魔兽剁得都看不出原来的样子……而且那时候他的眼神看起来也很不正常。
32,都被剁碎了……<br>恶趣味也要有个限度啊……
31,喂……<br>你在干什么啊……？<br>那堆……是魔兽吗……？
28,咯咯咯……
25,那之后，咱们看见亚欧伊多斯那家伙……
24,盗贼们的反应可不寻常。<br>咱还想他们到底在怕什么呢……
23,小的们，赶紧把精锐叫来！<br>否则我们所有人都会没命的！！
22,……什么？
21,……呃！？<br>你、你是残虐三兄弟！？
15,之前，溜进船里的盗贼叫他残虐三兄弟吧。
14,我认为，亚欧伊多斯状态失常和他的过去……和他的记忆有关。
13,经纪人，先不管亚欧伊多斯，你找我们有什么事吗？
12,果然创作歌曲是很辛苦的啊……
11,真是的……好吵啊。<br>他又在叫了。
10,Ahhhhhhh————！
9,<span class='scene-font-katari'>──几天后。</span>
0-synopsis,亚欧伊多斯曾经遇见过一些盗贼称呼他为残虐三兄弟。而他拿起剑时性情大变，剁碎了众多的魔兽。看来残虐三兄弟和亚欧伊多斯失去的记忆有关。据说残虐三兄弟以暴力的音乐和表演获得了狂热的人气。经纪人很担心亚欧伊多斯回忆起过去的事情。
