id,trans
filename,scene_s7_birthday_2124_v1_0_2006_7_3030182000
translator,雨降星
info,scene_s7_birthday_2124_v1_0_2006_7_3030182000
33,我也希望能和姬塔一起，\n留下许许多多的回忆。
32,只要我们继续旅行……\n不，就算是在旅程结束以后。
31,姬塔。\n谢谢你陪我一起旅行。
30,但是，只要和你在一起，\n无论走到哪里……\n无论发生什么，\n都不要紧！
29,我们的旅程还会持续多久呢。\n将来还会发生什么呢，\n我们现在还无从知晓……
28,我们的旅程就是从那里开始的……\n原来我们已经旅行了这么久、\n这么远了。
27,呵呵，答对了！\n是我和姬塔初次相遇的\n<span class='scene-font-place'>赞克汀泽</span>森林。
26,……对了。\n第一页上的地点，\n你还记得吗？
25,那个……\n要是你郑重其事地在我眼前读，\n我会觉得有点不好意思……
24,啊……！\n最后一页\n请一个人的时候再看哦！
19,我收集了我们去过的岛屿的明信片、\n邮票和干花书签，\n然后把它们做成了一本书。
18,这本相册装满了\n与姬塔你一起旅行的回忆！
13,这是我送你的礼物！\n……虽然刚才被你\n看到了一点……
12,姬塔!\n 生日快乐！
11,呃……\n那么我要说了！
10,呼……可以转过身来了！\n对不起，\n突然说出那种话……
4,啊，啊哇哇……！\n不好意思，再等等！\n请稍微转过去一会儿！
3,"<span class='scene-font-4'>呀哇! ?</span>\n姬塔！？ "
1-sel1_txt,你在做什么？
1,把这个贴在这里，然后放在这里……
