id,trans
filename,scene_evt220429_cp6_q3_s10
translator,朔夜Rei
info,scene_evt220429_cp6_q3_s10
61,但是，莱萨利德低语道，这应该能成为他们思考的契机。
60,不知道斯卡尔的言语是否真的触动了他们。
59,斯卡尔环顾四周，信徒们都垂下了目光，看起来似乎是在犹豫。
58,或许……虽然只有一点，那些家伙也稍微听进去了。
57,你哭什么啊……
56,呜、呜呜……
55,喂，你们……平日里在笑吗？\n哈哈大笑，张开大嘴那样！
54,我可不这么认为啊？自由这东西啊……难道不是能让人能够发自内心欢笑的东西吗？
53,所谓的自由啊……是像你们这样杀气腾腾地四处破坏吗？
52,看各种各样的事物，惊讶，吵闹，吃饭，睡觉……
51,就像天上悠然飘着的云一样，悠闲又刺激地、快乐地……冒险……
50,既没有被谁束缚，更没有被谁命令。
49,我，是凭自己的意志……回到这里来的。
48,岂会因你这等小鬼的几句话就让我等停下脚步！不可能，绝对不可能！！
47,那正是！古扎雷萨大人的意志！！
46,在从这空之世界将夺走自由的虚伪之王驱逐出去之前，战斗不会停止。
45,我等夏玛斯教团是聚集在古扎雷萨大人麾下\n之人。
44,叽叽喳喳地……说完了没～？
43,虽然斯卡尔用真挚的眼神凝视着信徒们，但他们依然沉默不语。
40,所谓的自由啊……就是要由自己亲手抓住的东西不是吗！！
37,…………
36,你们，要是觉得自己比我聪明的话就好好动脑子想想！！
35,放纵欲望就好了吗！？这其中有没有你们曾经憧憬、追求过的男子气概！？
34,不分对象地挑起争斗，从别国掠夺各种东西，欺凌女人孩子和弱者……
33,说是从那个怪胎那里得到了能恣意妄为的自由什么的……该不会是因为这种理由吧？
32,但是啊，你们到底是为了什么而战斗！？
31,你们确实很强！！难怪其他国家会头疼啊！
30,切，老大是老大……我是我。
29,斯卡尔，我豁出去在你身上赌一把。\n继承老大意志的人，是你啊……！
28,或许是被莱萨利德怒发冲冠的气势所慑，信徒们虽然依旧恼怒，但还是安静了下来。
27,要是谁敢妨碍，我现在就送他去死！!
26,你们这群家伙！！！\n听斯卡尔把话说完！！
25,…………
24,随着莱萨利德用尽浑身力气挥下拳头，据点的地面裂开了巨大的缝隙。
23,嗬……！！！
17,<span class='scene-font-4'>给我安静！！</span>\n我话还没说完——
16,<span class='scene-font-4'>宴会还在继续！！</span>\n要抓住斯卡尔的人可是我～！！
15,<span class='scene-font-4'>啊哈哈哈哈！！</span>\n谁会听你废话啊！
14,——本以为如此，但是……
13,随着斯卡尔赴死般的呐喊，寂静降临——
12,<span class='scene-font-4'>吵死了！！</span>我既不会逃也不会躲！！\n就当是我的遗言，都给我听好了！！
11,敢侮辱老大，绝不原谅！\n我要把你碎尸万段！！
10,一个个都……对那个怪胎唯命是从吗！？\n真是逊毙了啊！！
9,斯卡尔做了个深呼吸，下定决心，狠狠地瞪向信徒们。
8,但是啊……我有话要说。对这群完全不思考、被人摆布的笨蛋们说～～
7,<span class='scene-font-4'>啥！？</span>没对策也敢回到这里来……\n你果然，是个真正的男子汉啊……
6,没有。
5,啊～……
4,你有对策吗……？
3,论面貌，你也没资格说别人吧。
2,一个个的都是丑恶的嘴脸啊～
1,陷入狂热的信徒们在震耳欲聋的音乐声中，挂着下流的笑容包围了姬塔一行人。
0-synopsis,斯卡尔向信徒们阐述何谓真正的自由。他说道，自由并非是在实现古扎雷萨的意志这一大义名分下恣意妄为，而是凭自己的意志而活，能够发自内心地欢笑。听闻此言，莱萨利德流下了眼泪，其他信徒们也垂下了目光，开始反省自身。
0-chapter_name,第6话 亲手抓住自由
