id,trans
filename,scene_pt02_cp008_q1_s10
translator,雨降星
info,scene_pt02_cp008_q1_s10
287,拿米娅敏特当人质……！？
286,星晶兽玛塔戈！\n如果还想这女人活命，\n就把你的全部都让给我！
285,太、太迟了！\n它刚才是从水里一下子靠近我们的……！
284,它就是最后一只……！？
283,咕啊……咳咳……！
282,我赶时间！\n你们听好！\n这个人现在在我手里！
281,朝水路里望去，\n米娅敏特身后露出了\n一对闪着寒光的眼睛。
280,米娅敏特！？
277,哇！？
276,那东西缠上了米娅敏特的脖子——
275,诶——
274,听到乌兰的提醒，\n菲尔基丝回过头去，\n只见米娅敏特背后正有奇怪的东西接近。
271,嗯？
270,等、等一下！\n别大意！
267,哥哥，你生气的样子可真逗。\n还有一只不知道藏哪去了，\n但大家都在，一定能很快找到的。
266,菲尔基丝等人回头一看，\n只见一大帮人正朝她们跑来。
265,米娅敏特！\n你到底想干什么！
264,喂~！\n你们还好吗~！
263,是吧~♪\n我也开心啊~！
262,8条……一共是9条……\n我马上就……\n恢复原状了了……好开心……
256,别管我……\n就你们两个先走……\n我很快就……追上去……
255,你需要静养！
254,菲尔基丝太善良了……\n哪怕再怎么被人指责懒惰也绝不上前线，\n只是因为不想给我们添麻烦……
253,诶？
252,我有不好的预感……\n我得过去……
249,姬塔等人也到菲尔基丝那边去了。\n所以你就放心吧。
248,为了阻止这件事发生……\n那孩子可靠起来了呢。
247,维尔基丝看向自己的侧腹，\n只见那里凝固成了钢铁一般的物质。
246,她在和魔族作战。\n如果那头星晶兽被彻底夺舍，\n你的伤也会变回原样，
245,菲尔基丝呢……？
244,伤虽然在玛塔戈的帮助下治愈了不少，\n但仍没有脱离危险……
243,咕……唔……
238,帅呆了~！
237,第7只，退魔完成。
223,近距离接下了安多琳娜激光的魔族\n顷刻间灰飞烟灭。
219,不要——
218,菲尔基丝发动安多琳娜，\n将它的手臂抵在魔族额头上。
214,施工用魔导机甲进一步将魔族挤压在墙壁上，\n令它发出了痛苦不堪的呻吟。
213,咕啊啊啊！
211,<span class='scene-font-4'>真假！？</span>\n它可是在深山里啊！\n和我们隔了那么远！
210,不知怎么好像能做到。
209,无人驾驶……那台魔导机甲\n是菲尔基丝之前修理过的……？\n你把它开到这里来了！？
208,这是什么！？
207,呼……
206,呃！？
203,别得意忘形了！
202,诶，什么到了？
201,别担心。\n交给我吧。\n差不多该到了。
199,呜哇，出现了！\n玛塔戈，快躲开！
198,不知是不是从旁边绕过来的，\n这次两人面前又出现了一只。
197,哈！！
196,附在会分身的星晶兽身上，\n自己也能获得分身的能力，\n这也太不讲道理了！
195,刚才消灭的也是分身吧。\n还有两只不知道在哪。
194,真拿你没办法，\n我就姑且帮帮你吧。
193,你跟过来了啊，乌兰！\n帮大忙了！
192,嗯哼！\n尾巴又回来了一条……\n这下7条了……好厉害……
191,对~吧！
188,厉害啊。
187,米娅敏特用剑刺向从分身中逃离的魔族，\n迫使它在光中消散了。
181,看招！
178,咕啊……！？
177,乌兰不知从哪里冒了出来，\n放出光芒照在跳起躲避攻击的魔族身上。
175,锵锵！
168,你觉得这样粗糙的攻击能打到我？
167,米娅敏特转过身来，\n一挥大剑，\n放出的冲击波破坏了地面。
162,那是我的台词！\n这次绝不会放跑你！
160,死心吧。\n你们逃不了的。
159,两位少女追着玛塔戈逃跑的方向，\n突然察觉到背后有东西接近。
158,……我知道！
157,你知道的，我不是一向很随心所欲吗？
156,你不是说要放着魔族不管吗？
155,米娅敏特！
154,菲尔基丝！
146,咦？米娅敏特？
144,正与娜尔梅亚交战的玛米纳斯，\n用余光瞥见了一旁跑过的女儿的身影。
141,我已经受够了！\n我要按我自己的想法行动！
140,妈妈是笨蛋……！\n蛮不讲理！\n杀人机器！
137,喝！
136,哈！
135,跑出去的米娅敏特略一驻足，\n看向正与娜尔梅亚交战的母亲。
134,<span class='scene-font-4'>什么……！</span>\n你要去哪儿！？
131,……对不起！
130,米娅敏特，专心战斗！\n现在正是大好时机！
129,……唔！
128,玛塔戈跑了出去，\n菲尔基丝乘着安多琳娜紧随其后。
127,<span class='scene-font-4'>喂！</span>\n就凭你们两个能成什么事！？
126,嗯哼！\n我懂了……
125,玛塔戈，你走吧。\n离开这里。\n我很快就会追上的。
111,现在这座城镇的环境对魔族有利……
110,你说谁细了！？
109,不用解释得这么细！
108,光在水中会变弱！\n在朝深处照射的途中会散射掉——
107,啥！？
106,我、我努努力~\n但是水下可能有点难度……
105,法斯啊！\n你还能行吧！？\n能保护好俺们吧！？
104,我，在这里，是个麻烦……
103,诶，怎么这样！
102,零件还没有完全长成身体的一部分……\n要是我被夺舍了……\n伤口又会恢复原状……
100,不用管我……走吧……
99,<span class='scene-font-4'>请等一下……！</span>\n维尔基丝现在还在治疗中！
98,在水中战斗于我们不利……\n换个地方吧！\n我们必须离开这里……！
97,我明白它在我们凑在一起的时候\n发动攻击是为什么了！\n它原本是想将我们一网打尽！
96,3只魔族再次行动起来，\n边跑边用锐利的尾巴\n击打周边的地面。
91,太迟了！
90,是想让我们跌入水中，\n然后在那里决胜负吗……！
89,这里相当于原来城镇的二楼……\n因为大浮上的原因水位上升了，\n所以才把道路建在了这个高度……
88,喂，难不成……！
87,哦哦……！？\n它、它们在做什么！
86,三只魔族停止了奔跑，\n甩动长尾深深刺入地面，\n引得大地震动不已。
83,不，等等！\n它的举动有些奇怪！
82,唔……！\n不把我们放在眼里吗……！
81,这一剑砍下了分身的脚，\n但魔族看也不看卡塔莉娜，\n径直冲向玛塔戈的本体。
75,卡塔莉娜的剑势突然回转，\n砍向分身的身体。
74,好快……！\n但还没完！
69,卡塔莉娜主动接近袭来的玛塔戈分身，\n向它的眉心刺出一剑。
68,准备迎战！
67,刚才还是2条的吧？\n说起来，他真的一个人打倒了4只啊……
66,嗯哼！\n我的尾巴……变成6条了。
65,呜哇！？\n魔族追过来了！
63,<span class='scene-font-4'>姬塔，当心！！</span>\n有3只冲你们去了！\n其他的我已经干掉了！
62,那……
60,至少你面前就有一个不是吗！！
59,……啥？
58,——吗……
57,不知道。
56,你在说什么啊？
49,根本不是妈妈的错！！\n我交不到朋友是我自作自受……！
48,啊，但现在……\n虽然有些迟了，\n但现在我明白了……！
45,我是个差劲的人！\n所以才一直交不到朋友！\n我根本就没有自己的思想……
44,真的很抱歉……！\n明明那么担心玛塔宝，\n还想着什么工作……
41,因为我除了家人之外\n一无所有……！
40,但我最喜欢妈妈了！\n所以妈妈吩咐的事，我……\n一定都会完成！
37,也不知从什么时候开始，\n就自然而言地变成在认真学怎么战斗了……\n我总觉得这不太对……
36,闲得要死的时候\n也只能跟妈妈半玩半打地打发时间……
33,<span class='scene-font-4'>啊，但是呢！</span>\n我有很多朋友！\n所以不用担心！
32,我有本书也被朋友借走了，\n结果没等人家还回来，\n我飞就到空之世界来了~
28,<span class='scene-font-4'>我只是装作自己有朋友而已！</span>\n实际上一个都没有……！
27,因为妈妈是杀手……\n我从小就被周围人畏惧，\n和谁都打不好关系……
26,米娅敏特，你在说什么呢！
25,……哈？
24,其实我一个朋友都没有！
23,诶？
22,我撒谎了！！
21,……唔！？
20,对不起！！！！
19,对……
18,喂，米娅敏特！\n你怎么了？\n要上厕所就赶紧去！
17,唔、唔唔……唔唔……唔~！
16,战斗仍在进行当中，\n但菲尔基斯刚一移开视线，\n米娅敏特便立刻颤抖起来。
15,啊……
14,是嘛。那算了。
13,当、当然……
12,你还要打吗？
11,唔唔……
10,你在高兴什么？\n空之民真是令人费解……
9,哦哦，说得好！\n就得把脑子扔了拿大锤横冲直撞\n才叫男子汉！
8,我用的是“头脑”。\n不像某人似的只会拿个大锤到处乱挥。
7,切！\n净使些奇技淫巧！
0-synopsis,在战斗正酣之际，米娅敏特坦白自己其实没有朋友，但菲尔基丝却表示身为她朋友的自己就在这里。魔族试图破坏地形让两人落水，却被后者携手击败。胜利近在眼前，但最后一个分身却把米娅敏特抓为人质，胁迫玛塔戈交出自己的全部。
0-chapter_name,第8章 朋友
