id,trans
filename,scene_evt260329_cp5_q4_s10
translator,朔夜Rei
info,scene_evt260329_cp5_q4_s10
121,请把妈妈我，\n当作你的妈妈吧。
119,那么，至少……是啊，哪怕只有现在，\n只有我身处于此的这段时间也好——
117-sel1_txt,艾奇多娜……？
117,看你被问到是否想成为家人时的表情，\n我就一清二楚……
116,……不，不说也没关系。\n妈妈我，什么都知道。
115,面对艾奇多娜突如其来的提问，\n姬塔疑惑地歪了歪头。
114,我说，姬塔……\n你是不是，还是想叫声妈妈试试？
113,妈妈……呢……
112,安苏莉娅拖着还想\n说什么的莉莉安娜，离开了房间。
111,这个话题就打住吧……！\n那么，姬塔……我们就先走了。
110,虽然我现在有了个新的梦想，\n想让小姬塔叫我一声妈呢——
109,嗯嗯，能聊到关于我们的事情，\n我已经非常满足了！
108,没事啦。\n聊了这么多，心情也舒畅了……
107,姬塔看着已经完全陷入沉思的碧，\n代替他表示歉意。
106,啊，把他给弄糊涂了……
105,那时我和姬塔的关系到底算什么……？嗯……？嗯嗯……？
104,……不、不对？我能跟着去吗……？\n这、这该怎么算啊……？
103,这个嘛……假设啊？假设姬塔找到了\n合适的对象要结婚了的话……
102,咦，我还以为你肯定会跟着来呢。
101,等等，我也能跟着去吗！？
100,我知道了——
99,等成为一家人的时候，\n小碧也是要来我们家的嘛。
98,嗯嗯。好好叫我的名字哦？
97,那不如就从今天开始改口试试？
96,就是初次见面的印象……她跳舞的样子\n像燃烧的火焰，就被那个印象带着叫了……
95,不……那个……\n我并没有恶意……
94,可碧却从第一次见面起就一直叫「火焰姐姐」……这到底怎么回事！？
93,<span class='scene-font-4'>就是啊！！</span>虽然在舞蹈演出的时候\n会放出火焰，但我的身体又不会燃烧！
91,说小姬塔的搭档一直不叫她名字。
90,就是啊！莉娅她，每次写信\n都会跟我抱怨这件事！
88-sel2_txt,安苏莉娅并没有在燃烧
88-sel1_txt,说起来刚才见面的时候也……
88,咦！？
87,什么叫火焰姐姐啊！！\n小碧，这到底是怎么回事！？
86,对了，说到昵称，\n我也有话想说。
85,我一不注意你又这样……
84,啊，小姬塔可以用\n自己喜欢的方式称呼哦？
83,就这样，我叫安娜的话，\n安苏莉娅就是叫莉娅了。
82,不叫本名，用昵称安娜称呼\n就成了家里的习惯。
81,她为了躲避他们用了各种假名，直到我出生懂事之后，这个习惯也一直没变……
80,安娜怀上我之后就立刻隐退了，但之后一段时间一直有难缠的粉丝和记者追着她不放。
79,啊，这是……从以前就养成的习惯。
78,那么……有件事一直没来得及问，\n你们为什么要用名字的昵称互相称呼啊？
77,这个嘛，我们今天还是第一次见面，\n还没有会分别很久的实感……
76,毕竟不知道下次\n什么时候能再见了……
75,对了，难得有机会，有什么想了解我们家的地方吗？趁这个机会好好聊聊吧？
74,这只是我个人的想法嘛。\n在这件事上说谎也没意义吧。
73,……结果说来说去，\n还不是在说同样的话。
72,莉莉安娜的心意\n让姬塔纯粹地感到高兴。
71,到那时如果你们选择成为家人，\n我们一定会倾尽全力欢迎你们！
70,等你们想了很多，经历了很多……
69,如果小姬塔和莉娅能在一起，\n成为一家人，我和亲爱的也会很高兴的。
68,但是，和莉娅一样，\n我的想法也没有改变。
67,安娜……
66,和我年轻时候完全不一样……
65,你们远比我想象的要深思熟虑，\n考虑得非常周全呢。
64,……对不起，两位。\n我好像误会得太深了。
63,（所以，我才会……）
62,……真是的，你总是就这样笑着。
