id,trans
filename,主线剧情-第54章第2节第1幕
info,scene_cp54_q2_s10
15,非常、非常不好的预感……所以我们快点前进吧，姬塔。
14,虽然不清楚究竟是什么……但我总有种不好的预感。
13,还有露莉亚和欧尔姬丝说的可疑的气息……
12,更别说去找那女人藏起的秘密，简直就是痴人说梦。
11,哼……要是这样就被发现，你们也别想着潜入首都了……
10,那……去首都就很轻松了吧。可是，被发现的可能性也很高……
9,那里有开往首都附近的公共骑空艇。
8,是啊~离这里不远的地方有个小村庄。
7,不用担心……我们没必要走着去首都。
6,现在连个影子都还没看见，前面是不是还有很多路要走啊……
5,可是……我们这样走，什么时候才能到首都？
4,所以往后才是重点。不要松懈，姬塔。
3,幸好这里没有什么人……但越接近首都，人当然也会越多。
2,嗯……走到这里还算顺利。
1,<span class='scene-font-katari'>众人行至某处稍微宽敞的地方。黑骑士环顾四周后缓了一口气。</span>
0,<span class='scene-font-katari'>姬塔一行正从</span><span class='scene-font-place'>阿加丝提亚</span><span class='scene-font-katari'>的郊外向首都前进。</span>
0-synopsis,姬塔一行在孤岛上前进。欧根因前路还看不到头而感到焦急。斯特姆与德朗克告诉他不要担心，只要去前方的村庄，就能乘上驶向首都的骑空艇。
0-chapter_name,第54章  崩毁的狼烟
