id,trans
filename,scene_fate_chr889_ep1
translator,-Roya
info,scene_fate_chr889_ep1
177,尼娅平静地吐露着心声，\nDeath微笑地注视着她。
176,不过，\n这样也不坏呢……
175,我从没想过自己\n能交到朋友，也以为情敌是\n只有在小说中才有的……
174,呐，Death。\n自从和姬塔一起旅行后，\n世界真的……改变了呢。
173,……我明白了。
172,而且我也不想\n让姬塔伤心……\n所以，绝对不行。
171,不行，Death。\n安苏莉娅小姐是注视我、\n认同我的重要的……朋友。
170,……所爱之人，该怎么办？\n碍事的话……
165,那么，\n我先去外面等你吧。
160,安苏莉娅轻轻抚摸着尼娅的头，\n让她平静下来。
159,伴随着这句话，开心的泪水\n从尼娅的眼中夺眶而出，\n顺着脸颊静静流淌。
157,像这样和我一起玩的人，\n只有姬塔他们……\n所以，非常高兴……
156,那个呢，我呢，\n因为家里的事情，\n从来没有过朋友……
155,不不，那个……\n我不是那个意思，只是没想到\n你会说这番话……吓了一跳……
154,诶，不是吗？\n我是这么想的……
153,朋友……？
152,嗯，确实是情敌。\n不过，在情敌之前，我们是\n团里的伙伴……是朋友吧？
151,诶……还可以……\n继续在一起吗？那个……\n我和安苏莉娅小姐……
150,<span class='scene-font-4'>不，不用管我！</span>\n先，先考虑下一站\n去哪里吧。
149,那个，安苏莉娅小姐。\n你的脸，很红……？
148,我也是。我是真心……\n喜欢姬塔的……\n所以……
147,不会输给安苏莉娅小姐……\n不对，不会输给任何人……
146,嗯，我也赞成……\n但是在对姬塔的感情上，\n我是不会输的……
145,我不想看到\n姬塔伤心的脸。
144,啊，还有，\n不管姬塔选谁，\n都不能有怨言……哦？
143,……是啊。\n那就像故事里那样，\n堂堂正正，各自努力吧。
142,呵呵，简直就像是\n故事里的情敌……呢。
141,两人对彼此都哑口无言。\n但是，下一个瞬间，\n尼娅不知为何露出了苦笑。
140,诶………
139,但，但我也……\n同床共枕过哦。害羞的地方\n也让姬塔看了……
138,呜！？\n这，这样吗……
137,毕竟，\n我和姬塔是共……\n共度一夜的关系。
136,……做决定的是姬塔哦。\n虽然，我不打算输给任何人呢。
135,……要从我这夺走吗？\n把姬塔……
134,尼娅和安苏莉娅面对面。\n一种剑拔弩张的氛围\n蔓延开来。
133,诶……
132,那个呢……\n其实我也……\n喜欢姬塔。
131,诶，怎么了，\n安苏莉娅小姐？\n脸色看起来很差……
130,……嗯。\n哪怕只有一点点，\n我也想消除不安……
129,所以，祈愿……啊。
128,我知道的哦，\n姬塔不会那样做的。\n但是，还是忍不住会这样想……
127,姬塔是不会──
126,像那些人一样，\n姬塔哪一天也会将我抛弃……
125,但是，\n有时也有些不安……
124,不，是我什么都愿意。\n即使把自己的全部奉献出来也可以。\n我是这么想的……
123,希望姬塔一直在我的身边……\n只要是为了姬塔，\n做什么都可以……
122,…………
121,就像……祈愿一样。\n那个呢，我其实，\n喜欢姬塔……
120,那个，能问一个问题吗？\n尼娅为什么\n如此想找白玫瑰呢？
119,…………
118,谢，谢谢。\n姬塔也会……\n说我可爱吗？
117,……这样就好了。\n非常适合你，很可爱哦。
116,<span class='scene-font-2'>腰带要再系紧一点……</span>\n还有，胸前的部分也要整理好……\n嗯，这样感觉差不多了。
115,安苏莉娅走近尼娅，\n小心翼翼地整理着\n她衣着不整的地方。
114,嗯……稍微别动。
113,怎么样呢……？
93,那，那个，这个……\n大概，换好了。
92,换好衣服了吗？
87,听了安苏莉娅的话，\n尼娅点点头，\n朝着浴衣专卖店走去。
86,说的是啊……\n去看看吧。
85,那机会难得，\n要不要去看看？
84,那个……我没有。\n也没什么机会穿……
83,说起来\n尼娅不穿浴衣吗？
82,不想穿得不得体，\n让姬塔觉得\n我是个散漫的人……
81,像浴衣这种，\n不偶尔穿一下就会忘了怎么穿不是吗？\n况且之后大家也会一起去祭典。
80,听说这有祭典。\n所以，我也配合着穿穿。
79,穿浴衣的人……很多呢。\n这么说来，\n安苏莉娅小姐也……
74,尼娅点点头，\n和安苏莉娅同行。
73,那就先去街上看看吧。\n问问街上的人\n或许就能知道些线索。
72,嗯。\n正好想找个人聊聊天，\n而且我也很在意那番话。
71,诶，我是可以……\n但是，安苏莉娅小姐\n乐意……吗？
70,这样的话，我们两个\n边散步边找怎么样？\n那样效率会更高吧？
69,啊，那个委托人提过的……
68,那个……没什么安排。\n只是，我想找白色的玫瑰……
67,啊，有什么安排吗？\n那样的话──
66,这，这个……
65,呐，我有个提议，\n一起散散步怎么样？\n搭讪男来了也能赶走。
64,尼娅和安苏莉娅\n互相深深叹了口气，\n面面相觑，露出苦笑。
63,安苏莉娅小姐……也是这样呀。\n我也不知道为什么，\n经常被人搭讪……
62,……嗯。粉丝中\n有相当一部分的人很麻烦。\n经常会被缠上。
61,那个，这个……\n安苏莉娅小姐也经常……\n被那种人缠着吗？
60,这样。那就好。\n话虽如此，真的无论哪里\n都有私生饭和搭讪男啊……
59,啊……嗯。\n没事……哦。
58,比起那个尼娅，\n有没有受伤？\n看起来被抓得很用力……
57,（所以，没问题……吧。）
56,（还没有，伤害任何人……\n也没有做会被姬塔发现\n责备的事……）
55,（我想把Death叫出来的时候，\n没被……看到吧？）
54,这，这样啊。\n……谢谢你。
53,看起来情况紧急，\n就虚张声势了一下。\n效果似乎比想象的还要好呢。
52,诶，安苏莉娅……小姐？\n卫兵在……
51,呼……真是好险啊。
47,男人们骂骂咧咧地\n放开尼娅的手，\n慌忙逃走了。
46,呜！？
45,卫兵先生，这边！\n无赖搭讪男在缠着女孩子！！
44,像你们这样的人……\n最好全部消失呢。\nDeath，消灭──
43,<span class='scene-font-2'>腻了再丢掉……？</span>\n是啊……你们就是这样的人呢。
42,“越是讨厌就是越是喜欢”呢。\n死心吧，给我们乐乐呗。\n腻了再丢掉。
41,放，放开！\n我——
40,都怪小姐姐你想逃。
39,好疼！？
38,男人们这样说完，\n阻挡住试图逃跑的尼娅的退路，\n并紧紧抓住了她的手。
37,诶~ \n有事绝对是骗人的吧。\n别撒这种谎了，陪陪我们吧。
36,那，那个，对不起。\n我还有事……\n所以，没空玩……
35,（这是……第几次了？\n现在明明根本没有时间\n去理这些人……）
34,…………
33,那边的小姐姐一个人\n在做什么呢？有空的话，\n和我们一起玩玩怎么样？
30,为了寻找特别的白玫瑰，\n尼娅在玫瑰盛开的湖畔\n走来走去。
24,谢谢。\n那我们走吧。
23,咳咯咯！\n所爱之人的愿望就是我的愿望！\n当然会帮忙的。
22,那个呢，Death。\n我想找委托人说的那朵白玫瑰。\n你能帮我吗？
16,但是，原则上只有\n特别的白玫瑰可以摘。\n请不要摘普通的玫瑰哦。
15,嗯。没关系哦。\n这是发现者的特权。
14,那个……如果\n能找到那朵玫瑰的话……\n是可以摘的吗？
13,将它摘下来，\n送给重要的人，两人就\n绝对不会分开了哦。
12,这里开着很多不合时节的玫瑰，\n每年还会开一朵特别的白玫瑰。
11,实际上，\n这个避暑胜地有一则趣闻……\n或者说，传说……
5,……嗯。\n我有一些东西想找……
4,所爱之人，\n不和那些人在一起吗？
3,在大家各自度过自己的假期时，\n只有尼娅一个人在湖畔散步。
2,一行人顺利地完成了委托，\n决定在避暑胜地休息度假。
1,姬塔等人收到委托，\n将物资送往避暑胜地。
0-synopsis,在某个避暑胜地，尼娅听到了一个传说「摘下特别的白玫瑰送给重要的人，两个人就能永不分离。」于是，她决定和救了她摆脱搭讪的安苏莉娅一起去寻找这种白玫瑰。听说有祭典的尼娅，在安苏莉娅的提议下，准备了浴衣。这一过程中，尼娅知道了安苏莉娅也喜欢姬塔的事实。两人作为情敌和朋友互相认同。
0-chapter_name,绝不退让的情感
