id,trans
filename,scene_evt260214_cp7_q1_s10
translator,-Roya
info,scene_evt260214_cp7_q1_s10
78,他觉得那双手虽然依旧粗糙，\n但似乎变得稍微柔软了一些。
77,高文注视着自己这双\n为芙罗伦斯制作了点心的笨手。
76,（呵……没想到会有\n对自己的变化如此惊讶的一天。\n不过……这样也不坏）
75,（特意为了别人腾出时间，\n费心费力地制作点心，\n以前的我绝对不会做这种事吧）
74,（不过……\n没想到我居然\n会在情人节送点心）
73,说什么呢。我做巧克力的时候\n你也陪我到了最后吧。\n真是受你照顾了。
72,虽然被夸奖很开心，\n但瓦姆只是稍微\n推了你一把而已。
71,如果没有你，\n我大概根本想不到\n要孝敬姐姐吧。
70,啊……你来了啊，六龙之『碧』。\n再次感谢你。
69,哦—— 我才是听过你的传闻！\n如果瓦姆的帮忙派上了用场，\n那就太好了。
68,久仰大名。\n舍弟在这个骑空团\n受您照顾了。
67,哎呀！\n莫非您是六龙的那位吗？
66,"呀吼，特异点。\n情人节快乐～！ "
61,他那依然逞强的地方，\n作为姐姐还是觉得很可爱呢。\n呵呵……真是不行呢。
60,不过……
59,虽然真的发生了很多事……\n但能够坦率地表达感谢，\n对那孩子来说，就是最大的成长。
58,姬塔。作为姐姐，\n我要感谢你在这个骑空团里\n让高文获得了成长。
57,今年的情人节，\n高文居然亲手做了巧克力\n送给我呢。
56,呵呵，姬塔。\n我也为了不让高文听到，\n跟你说个悄悄话。
54,是、是那样没错啦。\n刚才，她是不是说了什么悄悄话？\n我有点担心啊……
53,真是的……\n虽然在那里窥探了好久，\n不过能顺利送出去就好。
50,姬塔，\n我会等你的……呢。
45,所以……\n待会儿，来我房间……好吗。
44,说实话，我不太有自信……\n但是，为了能让你开心……\n我做了好多好多装饰……哦。
30,其实，不光是巧克力，\n还有……其他的礼物……
28,谢……谢谢……！\n你能收下，\n我真的好开心……啊。
27,姬塔微笑着点了点头，\n从尼娅手中接过了\n可爱的包裹。
26,那个……姬塔。\n我的情人节巧克力，\n你愿意……收下吗？
25,呀……！？\n啊……姬塔……
24,高文把手放在尼娅的肩上，\n将她推到了姬塔面前。
19,嗯？在那里做什么。\n你也是来送礼物的吧？\n快去吧。
18,（怎么办……\n我也得送出去才行……\n但是，有个不认识的女人在……）
14,只是，因为之前做过城堡和飞艇，\n想着如果不做得比那些更大可不行，\n结果就变成了这样……
13,真、真是的！高文你这人！\n我也给魔导师团的各位\n做了同样气派的东西哦！
12,什么时候做了这种东西……\n看来为了送“本命”礼物，\n你这回可是动真格了啊。
11,是的！今年我试着用巧克力\n复现了姬塔故乡的岛，\n并用魔法让它浮了起来。
10,啊，这个形状，\n不是<span class='scene-font-place'>赞克汀泽</span>吗！
9,哇啊！？\n食堂里浮着一座好大的岛！
1,情人节当天。\n姬塔的周围聚集了\n许多想要送礼物的团员们。
