id,trans
filename,scene_evt191228_cp6_q1_s10
info,scene_evt191228_cp6_q1_s10
109,<span class='scene-font-katari'>然而除夜还是无情地挥动了撞钟槌，乔伊全身都淋到了黑色的水滴。</span>
108,<span class='scene-font-4'>呜啊————！！</span>
104,咣！！！
103,咣！？！？
102,<span class='scene-font-katari'>看着依旧挥动撞钟槌的除夜，乔伊鬼使神差地站定在除夜面前。</span>
101,<span class='scene-font-katari'>乔伊的感情爆发出来，它全力地喊道。</span>
100,住手、乔伊说、住手！
98,<span class='scene-font-4'>咣——！！！</span><br><span class='scene-font-4'>咣——！！！</span>
97,害怕、讨厌。<br>住手、除夜……除夜！
96,你在、做什么！？<br>乔伊、害怕！
91,<span class='scene-font-katari'>优希斯用剑指着男人威胁他，随后向同伴所在的地方跑去。</span>
90,爷不动咯。<br>您走好，路上小心～
89,你要是敢走一步，下场是什么……<br>你应该知道。
88,我要去确认家族成员的安危。<br>你给我呆在这里不要动。
87,你也被控制了……？
86,嘻嘻嘻嘻……<br>大家伙吵得挺热闹！
84,我们也许阻止骚乱吧，姬塔！
83,走吧，库碧拉！<br>先从到处惹事的人身上驱除烦恼！
82,烦恼已经产生影响了……！<br>再磨蹭下去就没时间了。
81,别抢我的食物！<br>今天是我干的最多。<br>你拿走的那些应该全部归我！
80,这是我的食物！<br>我不会给你的！
79,呜哇！<br>不赶快做点什么的话会发生比大暴走那时更严重的骚乱的！
78,如果下的是那样的水，不赶紧阻止的话就糟糕了……！
77,如果碰到了祠堂后面的黑色水洼，就会进入一个充满烦恼的空间。
76,说起来，我以前听阿尼拉说过……
75,是烦恼浓缩成的雨滴。<br>普通人要是淋了，会瞬间被烦恼控制的！
74,呀！<br>这不是普通的水！
73,<span class='scene-font-katari'>突然间，黑雾释放出无数的水滴，砸向姬塔他们所在的岛屿。</span>
72,什、什么！？<br>这是雨吗？
64,有什么东西过来了！
53,<span class='scene-font-katari'>黑雾随之裂开，从中飞溅出烦恼高度浓缩成的飞沫。</span>
49,<span class='scene-font-katari'>除夜像在怒吼一般发出洪亮的钟声，一边大肆挥舞着撞钟槌。</span>
48,<span class='scene-font-4'>咣——！！！</span><br><span class='scene-font-4'>咣——！！！</span>
47,<span class='scene-font-katari'>除夜伴随着轰鸣出现，用烦恼裹住了自己，变成见者无不丧胆的可怕身姿。</span>
8,啊、除夜！
7,——……
5,越来越近……！<br>可是、是从哪里？
3,<span class='scene-font-katari'>这里无法辨别上下左右，乔伊不知道声源在何处，十分惊慌。</span>
2,<span class='scene-font-katari'>姬塔一行听见的轰鸣声也响彻在乔伊身处的空间内。</span>
1,什么？<br>发生了，什么？
0-synopsis,黑雾中，除夜出现在乔伊面前，被周围的烦恼包裹，变身为可怖的姿态。除夜挥舞撞钟槌，烦恼便浓缩成水滴落向姬塔他们所在的岛屿。居民们很快就又被烦恼控制，再次引发了骚乱。乔伊知道除夜要做危险的事，虽然很害怕，但还是为了阻止除夜挡在它面前，用自己的身体接住了那些黑色的水滴。
0-chapter_name,第6话 被寄托的希望
