id,trans
filename,scene_cp174_q3_s10
translator,雨降星
info,scene_cp174_q3_s10
283,你就尽管为不慎吸收了神明这件事\n后悔去吧……！！
282,不久后光芒成型，\n由“凶兆”所诱发的不逊灾祸\n现出了身形。
262,(芬里尔，你……)
261,这是怎么回事……\n为什么力量会越来越强……？
260,接受了“凶兆”光辉的芬里尔被光包围，\n姿态开始发生变化。
252,不……\n这下你们就全完了……！
251,……很好。\n虽然没能击中目标，\n但只要能削减战力──
250,很遗憾……\n这个由我收下了。
249,哎呀……
248,芬里尔……！？
247,……
246,然而接住“凶兆”的，\n是突然将姬塔推开的另一个身影。
234,逐渐坠落的灾祸之光即将\n降落在姬塔身上。
229,寒冷刺骨的“凶兆”……\n就让最坏的可能性降临在自己身上，\n自我毁灭吧……！
228,我不会给你们任何战斗的机会。
225,就像看透了一切一般，\n马克斯威尔嗤笑着一行人的战斗意志。
224,我把你们想要引出的“吉兆”\n完整地翻转过来了。
223,我们幽世希望的是翻转……\n翻转灵长与异形的立场，\n让天空回到应有的姿态。
222,你……！\n你做了什么！
218,马克斯威尔接触到志鸟的力量后，\n即将显现的“最好的兆头”变得乌黑混浊。
201,为了实现幽世的悲愿，\n这力量就让我利用一下吧……！
200,什……！？
199,马克斯威尔瞬间消失，\n然后又出现在志鸟身后。
194,因为我现在只是总体的代言人，\n所以无法像以前一样行使力量……
193,我作为一个终端得到了新的躯体。
192,你怎么……！？
191,马克斯威尔……！？
190,——这真是正合我意。
183,就在两人集中精神，\n开始使用能力的时候。
180,那么……\n开始吧，露莉亚，姬塔。
179,……我明白了。\n但是，真的不要勉强自己哦。
178,姬塔一副下定了决心的样子，\n牵起露莉亚和志鸟的手。
177,但是……真的没问题吗？\n这又会给你的身体带来很大的负荷……
176,即使创世神的分身已经消失，\n但或许伊斯塔尔西亚那里还有力量残留。
175,……我觉得还是有可能的。
174,可、可是那股力量已经……
172-sel1_txt,再用一次“际涯”的力量吧
172,如果有可能的话……
171,那么问题就是，\n要怎么打倒那个大家伙。
170,对着眼中再次燃起火焰的卡塔莉娜，\n姬塔用力地点了点头。
