id,trans
filename,scene_evt160506_cp2_q3_s20
info,scene_evt160506_cp2_q3_s20
26,咕噜噜噜噜……！
25,你们这些家伙就和这降魔作对手，<br>享受余兴吧。
24,呵呵呵……罢了。<br>就让我实验一下打开异界之门的术法。
23,你是！
22,你们这些家伙，<br>顺着味道到这里来了吗……
21,我们趁着混乱攻入这里，<br>也许是十分幸运了……
20,是啊。虽然艾尔斯特帝国军好像也持续着抵抗，<br>不过面对降魔还是陷入了苦战。
19,话说回来，居然这么轻松就拿下这个艾尔斯特帝国……<br>敌人也是十分厉害啊……
18,了解！
17,是吗……<br>恐怕敌人在这个塔的顶部。<br>你要留出足够的弹药！
16,"是的！没问题！ "
15,因为是敌人的大本营，<br>果然降魔的数量好多……<br>艾丽卡君，弹药还够吗？
13,咕啊啊啊！
12,哈啊啊啊啊！
11,小哥就是现在！上啊！
10,大神先生！<br>我来援护你！
5,了解！
4,全员一定要生还！<br>巴黎华击团，出击！
3,是吗……<br>姬塔君，艾丽卡君。<br>这恐怕是最后的战斗。
2,……是的，就是这里。<br>和那个假圣诞老人的妖气一起看到的<br>就是这个建筑物。
1,这股妖气……<br>艾丽卡君，是这里没错吧？
0,<span class='scene-font-katari'>艾尔斯特帝国的首都，阿加斯蒂亚。</span><br><span class='scene-font-katari'>这里是艾丽卡捕捉到的妖气的终点，</span><br><span class='scene-font-katari'>姬塔一行人来到了这里。</span>
0-synopsis,姬塔一行人顺着艾丽卡捕捉的妖气到达了阿加斯蒂亚。与预想相同，在妖气弥漫的地方有大量的降魔蠢蠢欲动。在大神的指挥之下，众人朝向深处前进。此后带着降魔的葵叉丹出现，使唤降魔扑向众人。
0-chapter_name,艾丽卡·大神篇
