id,trans
filename,scene_evt180228_cp2_q4_s10
info,scene_evt180228_cp2_q4_s10
68,<span class='scene-font-katari'>姬塔点头，发出起航的信号。</span>
66-sel1_txt,<span class='scene-font-katari'>出发吧</span>
66,<span class='scene-font-katari'>拉卡姆沉默地等待姬塔的反应。</span>
65,姬塔……<br>一切准备完毕，<br>接下来听你指挥了。
64,知道了，<br>这段航路会很辛苦，拜托了。
63,交给我们了！<br>那里空图和罗盘都没用……<br>让我们尽一些绵薄之力吧。
62,嗯，我们率先通过天国之门，<br>还要搜寻天司长大人的气息。
61,对了，还有诱导灯这件事，<br>你们真的要做吗？
60,也不至于道歉……<br>不过你一直都是这样子吗？
59,嗯……？<br>啊哈哈，抱歉♪<br>一时兴起就……
58,咳咳！<br>玛酱你做什么呢？<br>离这么近有什么企图？
57,哈？<br>喂喂，你干嘛？<br>脸贴的太近了，离远点。
56,嗯嗯♪<br>谈论理想的男人真帅气……
54,是，是吗？<br>不过理想的骑空艇就在面前，<br>无论哪个操舵士都会开心的。
53,呵呵♪<br>拉卡姆好开心啊，<br>像少年一样闪闪发光。
52,<span class='scene-font-kokoro'>（诺亚……</span><br><span class='scene-font-kokoro'>你也要好好看着我和</span><br><span class='scene-font-kokoro'>格兰赛法的成长啊。）</span>
51,连我都觉得很乱来……<br>没想到真能按照设计全部完工啊。
50,哦，你看得出来吗？<br>这可是做过很多改动的。
49,真是了不起啊……<br>虽然看上去没变化，<br>实则好好增强了一番。
45,<span class='scene-font-katari'>虽然工期很赶，</span><br><span class='scene-font-katari'>但倾注了所有人最大的努力。</span>
15,<span class='scene-font-katari'>接到天司委托的几天后……</span><br><span class='scene-font-katari'>众人在居民的帮助下总算</span><br><span class='scene-font-katari'>完成了格兰赛法的强化。</span>
9,嗯，其实呢……<br>为了以防万一……
8,啊对了，榭洛殿下。<br>你之前要说的建议是？
7,啊哈哈……<br>她已经适应旅程的生活了啊。
5,嗯，交给我了！<br>我去仓库确认必需品！
4,谢谢，接下来要补充储备物资……
2,放在这儿，露莉亚。
1,嘿咻，嘿咻……！
0-synopsis,在所有人的共同努力下，格兰赛法的强化终于完成了。哈露特与玛露特担当引路工作，准备一切就绪，姬塔众人终于向迦南起航。
0-chapter_name,第2話 絆
