id,trans
filename,scene_chr592_q2_s10
translator,まい施工中
info,scene_chr592_q2_s10
57,薄暗い艇の中に\nビカラと空き巣の\n和やかな笑い声が響くのだった。
56,えへ、えへへ……\nそうなんです。\nえへへへへへへ……
55,はは、ははは……\nそうか！\nはっはっはっはっは！
54,あたし、いつもふつうにしてるだけで\n「居たの？」って言われるぐらい\n気配なくて……えへへ……
53,あぁ、あと気配消して\n背後に立つのはやめた方がいいぜ……\nあれは心臓にワリィからよ。
52,は、はい……\nありがとうございます！
51,まぁ……嬢ちゃんは大丈夫さ！\n見切りつけるのはいつでもできる。\nもうちっと頑張ってみろや！
50,（こんな風に誰かと\n面と向かって話すのなんざ、\nいつぶりのことだったかな……）
49,お、おう……
48,あ、あたし、こんな自分をどう変えれば\nここに溶け込めるんだろうって\nずっとそればかり考えてました……
47,目が覚めた気がします……\nラカムさん、すごい……\nあたし、かしこみです……！
46,……あん？
45,目からウロコです……
44,（まぁ、俺の場合……\nいろんな現実から逃げ続けた結果が\n現在の盗っ人稼業なんだがよ……）
43,息苦しいなら辞めちまえよ。\n別に逃げたっていいだろ？\n強制されてるわけじゃあるまいし……
42,…………！
41,うん？　あ～……逆に聞くが、\nやりたいようにやれないところに\n嬢ちゃんは無理して居続けたいか？
40,で、でも……\nやりたいようにやった結果、\n溶け込めそうになかったら……？
39,やりたいようにやって……結果、\nそこに溶け込んだヤツってだけだ。\nつまり……結局は相性ってことだな。
38,え？
37,う～ん……そうか……\nまぁ溶け込んでるヤツってのは\n溶け込もうとしてないモンさ。
36,あ、いえ……あまり……\nというか、艇のみなさんには\nまったく溶け込めてないような……
35,それで……どうだ？\n艇での生活とか仲間には、慣れたか？
34,（ここはラカムってのになりきって\nこの嬢ちゃんを油断させ、\n隙を見て拘束するべきだな……）
33,（こんなおっきな人だったんだ……\nふだんうつむいてばかりだから\nラカムさんの顔覚えてなかった～……）
32,やっぱり……
31,んん……？\nあ、ああ……そう、その通り！\n俺が操舵士の……ラカムだ！
30,艇の修理……あっ！\nも、もしかしてあなたが……\n操舵士のラカムさんですか？
29,お、俺も出掛ける予定で外に出たら、\n艇の外壁に穴を見つけてな……\n修理するために戻ったってわけさ！
28,あ、あの……今日はあたしひとりで\n留守番だったと思うんですけど……\nどうして、その……ここに……？
22,……じゃ、じゃあそれ！\nぼくがやるよ！
21,今日は依頼があるし、\n他のヤツらも用事があるから\n誰かに留守番を頼もうと思ってんだ。
20,留守番？
19,へへっ、まぁいいんだけどよ。\nそれで東海テイオー、\n今日は留守番を誰に頼む？
18,……っ！？\nむむ、無理なんてしてないし……\n<span class='scene-font-2'>陽トピアモードでは、ビッキィだし……</span>
17,別に無理していつもネズ耳を\n着けてなくていいって\n東海テイオーが言ってたけどな。
16,そうかい？\nぼくにとってはこれがふつうさ！
15,ビカラは相変わらず明るいなぁ。
14,ハハッ！\nそれはいいね！
13,今日は依頼が入ってんだ。\nその準備をしてるところだぜ。
12,おはよう、東海テイオー！\n今日はいい天気だね！\nどこかへお出かけかい？
9,（ルリアさん、あたしが艇にひとりで\n残ることになるって言ってた……\nそもそも今朝だって……）
6,ビカラちゃん、\nひとりで大丈夫でしょうか……？
5,ハハッ！\n留守番はぼくにまかせて！\nみんな、気をつけてね！
2,（……あれ？\nなにかおかしいような……確か……）
1,グランサイファーに空き巣に入った男と\nひとりになりたいから艇に残った少女は\n互いにけん制を続けていたが……
0-synopsis,東海テイオーに留守番を頼まれた時のことを思い出したビカラは、今、艇には自分ひとりしかいないはずということに気付き、それを確かめるものの、空き巣は艇を修理するために戻ってきたと偽る。それを信じてしまったビカラは、空き巣のことをラカムだと勘違いしてしまう。空き巣は機転を利かせラカムになりきり、その場を逃れる算段を始めるのだった。
0-chapter_name,碧卡拉漫长的一天
