id,trans
filename,scene_evt141130_cp2_q1_s10
info,scene_evt141130_cp2_q1_s10
51,是！拜托你了！
50,等讨伐法夫纳事毕，<br>也让我协助调查路弗鲁斯村的事情吧。
49,没错……眼下，要尽全力打倒法夫纳，<br>救出西尔芙大人。
48,正因如此……才更应该打倒法夫纳，<br>让西尔芙大人能够再度制作灵药！
47,虽然遗憾，但这也是事实……<br>现在的状况而言，很难承诺能将灵药送到<br>这个国家所有的病人手中。
46,即便如此，生病的村民们也依然相信着<br>西尔芙大人的守护，一边祈祷，一边迎来死亡。
45,但是……我路过的路弗鲁斯村的病人们说，<br>他们并没有得到过灵药……
44,呜哇~<br>真的是很厉害的药呢！
43,原来如此啊~<br>守护这个国家的星晶兽的力量，<br>原来是这么回事啊。
42,对吧？虽然伊莎贝拉大人平时的态度比较<br>严厉，但其实总是把国民放在第一位，<br>是个温柔的人。
41,确实，我一路上经过的村子里，<br>也有村民感谢灵药治好了自己的病。
40,而且，西尔芙大人制作的阿尔玛，<br>会由执政官伊莎贝拉大人无偿分送给病人。
39,"没错，灵药""阿尔玛""被称作是奇迹的万能药，<br>无论什么病都能很快治好。"
38,我也听说过这样的传闻。<br>不老的长寿灵药“阿尔玛”……
37,当然，西尔芙大人不仅仅是可爱而已。<br>她还可以利用法夫纳的力量来制作“灵药”。
36,哇！<br>能被大家喜欢的星晶兽，真是太厉害了！
35,西尔芙大人是少女姿态的星晶兽。<br>她可爱的身姿和神秘的力量，都受到国民的敬爱。
34,喂，兰斯洛特。<br>那个西尔芙大人，究竟是怎样的星晶兽？
29,<span class='scene-font-katari'>兰斯洛特愉快地笑着，同姬塔一行人一起</span><br><span class='scene-font-katari'>加快步伐追赶跑在前头的维恩。</span>
28,接下来……<br>在他走错之前，我们也快点赶上去吧。
27,哈哈哈！<br>看样子，你们也被那家伙搞得够呛啊。
26,哈哈哈……<br>怪不得那么久都没有到王都呢……
25,什！？维恩那家伙……<br>果然是个路痴啊！
24,啊，现在不是说这个的时候！<br>……要是让那家伙来带路，<br>可就不知道什么时候才能到了。
23,我和维恩在故乡的时候是邻居，<br>从很小的时候就在一起了。
22,呃……都跟他说不要在别人面前这么叫我了，<br>要订正称呼也很麻烦啊。
21,而且“兰酱”听起来……就像“汪酱”一样，<br>很可爱。
20,呵呵……<br>兰斯洛特和维恩的关系真的很好呢。
19,真是的……<br>那家伙热情过头了。
18,我要丢下你们了哦——！<br>快点快点！
17,知道了！<br>你先等一下，我们马上过去！
16,喂——兰酱！<br>姬塔！<br>快点过来啦~！
15,不要在意！<br>西尔芙大人也是星晶兽，<br>没有那么简单就能分辨的。
14,所以……没帮上忙真的很抱歉。<br>不过，可以确定那是星晶兽的气息。
13,唔~嗯……能感觉到前方的深山里有很强大<br>的力量，不过不知道是不是西尔芙大人。
12,听说你能感知到星晶兽的气息……<br>那么能感知到西尔芙大人的气息吗？
11,是的！<br>白龙骑士团团长……兰斯洛特先生！
10,那个，你是露莉亚……对吧。
9,<span class='scene-font-katari'>向着位于恸哭之谷中，被称作龙巢的洞窟进军。</span>
7,<span class='scene-font-katari'>共两队组成了法夫纳讨伐军。</span>
6,<span class='scene-font-katari'>先遣队的兰斯洛特、维恩、索菲娅、</span><br><span class='scene-font-katari'>姬塔等人，与压阵的伊莎贝拉——</span><br>
5,来了来了——！<br>热血沸腾——！
4,<span class='scene-font-4'>噢——！</span>
3,救出西尔芙大人，夺回人民的安宁！
2,为了我等白龙骑士团的名誉，与费德拉赫<br>的荣耀，誓击败真龙法夫纳！
1,诸位！准备好了吗！
0-synopsis,"加入了法夫纳讨伐军的姬塔一行人作为先遣队，和兰斯洛特、维恩、索菲娅一起向恸哭之谷的深处进发。途中，碧询问了有关星晶兽西尔芙的事情。听说西尔芙拥有制作万能灵药""阿尔玛""的能力，被国民们所信赖，姬塔一行人坚定了打倒法夫纳，救出西尔芙的决心。"
0-chapter_name,第2话  出阵，白龙骑士团
